\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_persistent_detected,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_persistent_detected,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_persistent_detected,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_persistent_detected,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_persistent_detected
IMG_8817.MOV,distance\300\IMG_8817.MOV,30.0,30.0,502,16.700000762939453,150,81,2,0.0666666030883789,0.024096385542168676,auto_platform,2.299999952316284,5.0,2.6999974250793457,True,0.00039338774513453245,0.0011370006250217557,0.0012509441003203392,0.0007436128798872232,0.0008695347933098674,0.0013875378062948585,19.290705412149716,22.557354770265796,26.100850336813636,25.70696217963008,27.065763399104746,28.33309312804548,0.8778409090909091,2.8902797280401282,True,True,False,0.0027750260196626186,0.003378458321094513,0.003366011194884777,0.0006034323014318943,0.0006445886101573706,0.0037202828098088503,4.235053957486617,4.523900258438309,7.010275948385871,12.537178958219592,13.110260423355811,16.914702272321847,0.4034090909090909,1.2174510426771632,True,False,True,0.0003795427328441292,0.003409136086702347,0.0033478811383247375,0.0030295933538582176,0.002980571036459878,0.0060396138578653336,62.41115121708254,61.40126675180827,116.85231848496406,35.905243870369546,35.763546620753424,41.35274667435731,0.8778409090909091,8.982219370018639,True,True,True,0.0003352152998559177,0.0048246742226183414,0.004098020493984222,0.004489458922762424,0.0037725463917013258,0.010132058523595333,209.32083432985442,175.8948175815154,457.23158810688136,46.41624914242361,44.90506087909729,53.202724524868415,0.8835227272727273,14.392762575849265,True,True,True,0.00011150132195325568,0.0004566176503431052,0.00037211496965028346,0.0003451163283898495,0.00027041631255997345,0.0009740093373693526,9.416698249274626,7.378465194443976,23.80150047994314,19.47797308031808,17.359320659483085,27.53208672904504,0.5767045454545454,4.09517701085671,True,True
IMG_8818.MOV,distance\300\IMG_8818.MOV,30.0,30.0,485,16.133333206176758,150,69,11,0.366666316986084,0.1375,auto_platform,2.700000047683716,5.0,2.2999978065490723,True,0.0003246356500312686,0.0010778497671708465,0.0011873142793774605,0.0007532141171395779,0.000875321653438732,0.0013862000778317451,27.673587026468972,32.15989902656146,39.467095382300364,28.84130911331093,30.146293530212343,31.924703305281984,0.9253731343283582,3.320183002288963,True,True,True,0.002676773816347122,0.003499254584312439,0.003457353450357914,0.0008224807679653168,0.0008415998890995979,0.003781041130423546,5.606051075164031,5.7363675199560245,7.942631468641822,14.973141003557966,15.172739362175843,17.99928824243104,0.8029850746268656,1.3072656953465425,True,True,True,0.0003080685273744166,0.0034772418439388275,0.003386804834008217,0.003169173316564411,0.0030847765738144517,0.006233103573322296,107.19541102850461,104.34074117461466,200.61511079522174,40.60352387734841,40.36907834734415,46.047272839672345,0.9194029850746268,11.287234933001447,True,True,True,0.0002832493628375232,0.004265249241143465,0.0032133902423083782,0.003981999878305942,0.0029385406523942947,0.009135449305176735,224.97104876644124,166.01873244988957,500.5973057664458,47.042532658230016,44.40314187413003,53.989770157784704,0.9432835820895522,15.058283621241847,True,True,True,0.00010110047878697515,0.0004925967077724636,0.0004421125922817737,0.0003914962289854884,0.00035232841764809564,0.000995540525764227,9.524264452408842,8.571395521420458,22.035111398061492,19.576628911950827,18.66103071597215,26.86230500836973,0.6119402985074627,4.87234792241088,True,True
IMG_8819.MOV,distance\300\IMG_8819.MOV,30.0,30.0,474,15.766666412353516,150,69,12,0.39999961853027344,0.14814814814814814,auto_platform,2.700000047683716,5.0,2.2999978065490723,True,0.0003290444437880069,0.0011120610870420933,0.0012357865925878286,0.0007830166432540864,0.0009115462598856539,0.0013708308106288314,21.186314856113295,24.66397902807177,28.317910713385746,26.521108443477928,27.841262848708496,29.041224161767456,0.8919753086419753,3.3796683336751907,True,True,True,0.002636234275996685,0.003433450125157833,0.0033887168392539024,0.0007972158491611481,0.0007902767974883318,0.003856485476717353,6.055728491868235,6.003018786001455,9.556234478427065,15.643327907361062,15.567394049006541,19.6057359472112,0.7098765432098766,1.302407057073766,True,True,True,0.0003190156421624124,0.0034297704696655273,0.003379689995199442,0.003110754827503115,0.0030694716842845082,0.006272052880376577,68.57917326864967,67.6690520958616,131.433593648494,36.7238449066174,36.60780185908567,42.374127650214895,0.8919753086419753,10.751104386033255,True,True,True,0.0002794913889374584,0.004231187514960766,0.00308206956833601,0.0039516961260233074,0.0028089646948501468,0.00897127203643322,211.38177221008183,150.25546406841144,465.2771699157992,46.50135069349783,43.53660548326083,53.35423486442686,0.9012345679012346,15.138883280255822,True,True,True,9.167741518467665e-05,0.00049208989366889,0.0004176453221589327,0.00040041247848421335,0.00033594598062336445,0.0010009020334109664,9.824051240764113,8.242376811697689,22.552479832339305,19.845812380345485,18.321049300350584,27.063886062450344,0.6141975308641975,5.3676239963530294,True,True
IMG_8820.MOV,distance\300\IMG_8820.MOV,30.0,30.0,459,15.266666412353516,150,69,7,0.23333311080932617,0.09210526315789473,auto_platform,2.700000047683716,5.0,2.2999978065490723,True,0.0003173783770762384,0.001111445832066238,0.0012615218292921782,0.0007940674549899995,0.0009487710194662213,0.0013843439519405365,41.73947165065999,49.871331234040895,56.327370294878115,32.41093894698202,33.95701922315276,35.014389523878904,0.9029126213592233,3.5019582691963107,True,True,True,0.0026734089478850365,0.003471124218776822,0.003462008200585842,0.0007977152708917856,0.0008099584374576807,0.003793837269768119,8.298503815980363,8.425867510990466,11.877832011787754,18.379995960685886,18.51229251927225,21.494743575126655,0.941747572815534,1.298388793649721,True,True,True,0.0003008035128004849,0.003755992278456688,0.00369242369197309,0.003455188765656203,0.0033973954268731177,0.006435830611735582,151.41152428864663,148.87893399839797,269.0991163496713,43.60317863201207,43.45666501004813,48.59824543315753,0.9029126213592233,12.486530637519314,True,True,True,0.0002764694218058139,0.004805604461580515,0.004057935439050198,0.004529135039774701,0.00378369347890839,0.009477180428802967,422.2082231394483,352.71778973357704,857.9025055319146,52.51053375183011,50.948547287383775,58.66875872398325,0.941747572815534,17.382046919300414,True,True,True,0.00010718721750890836,0.0005178574356250465,0.00046126090455800295,0.00041067021811613813,0.00036168983206152916,0.0009737538057379425,11.109380446598704,9.784371426957438,23.648241666943868,20.913796793351892,19.81065861404019,27.475977097897392,0.6796116504854369,4.831335747492533,True,True
IMG_8821.MOV,distance\300\IMG_8821.MOV,30.0,30.0,467,15.533333778381348,150,69,14,0.46666622161865234,0.1686746987951807,auto_platform,2.4666666984558105,4.766666412353516,2.2999978065490723,True,0.0003479123115539551,0.0011025561252608895,0.0011893711052834988,0.0007546438137069345,0.0008581496076658368,0.0013564251130446792,19.939328126975035,22.6741759469707,27.088105558762336,25.99421040582839,27.110630247002852,28.65557266312552,0.9526813880126183,3.1690632629133115,True,True,False,0.002717554336413741,0.003450249321758747,0.003430151380598545,0.000732694985345006,0.0007796464487910271,0.0037233508192002773,3.718870486068975,3.957177578623917,5.445342177204524,11.40822107637548,11.947710793978786,14.720503507373362,0.19242902208201892,1.2696155788045502,True,False,True,0.0003324899880681187,0.0036370661109685898,0.003713887184858322,0.003304576122900471,0.003399378969334066,0.006366188172250986,81.74588566257812,84.09104048934772,149.70148043522573,38.249318069703435,38.49499452396847,43.504521904211785,0.9558359621451105,10.938874075881792,True,True,True,0.00030411581974476576,0.004744810052216053,0.0041789710521698,0.004440694232471287,0.0038858696061652154,0.009568612091243267,163.46143228867803,143.0384030645853,341.4304556690503,44.26830599985876,43.10905305698567,50.666045153329435,0.9526813880126183,15.601983665954021,True,True,True,0.00011280526814516634,0.0005072409403510392,0.0004157304938416928,0.00039443567220587283,0.000311053212499246,0.001057155430316925,10.454233678357,8.244241581104989,25.244747989504656,20.385844068834697,18.323014188595753,28.04342079251856,0.61198738170347,4.496606840190152,True,True
IMG_8822.MOV,distance\300\IMG_8822.MOV,30.0,30.0,475,15.800000190734863,150,69,12,0.39999961853027344,0.14814814814814814,auto_platform,2.700000047683716,5.0,2.2999978065490723,True,0.0003293278568889946,0.001107729272916913,0.00121538364328444,0.0007784014160279185,0.0008959059487096965,0.0013675690861418843,34.27069552427519,39.44407005744154,46.14434175274302,30.69845837064551,31.91963442978976,33.282369103461626,0.9107692307692308,3.363606356841813,True,True,True,0.0026701665483415127,0.0034374624956399202,0.003426365787163377,0.0007672959472984076,0.0008110047783702612,0.003755191108211875,5.866823506425635,6.20102571155081,8.715257840402415,15.36806046779221,15.849270641651119,18.805604804267396,0.7230769230769231,1.2873588345172657,True,True,True,0.0003112592676188797,0.003504793858155608,0.0035180863924324512,0.0031935345905367285,0.00321116138366051,0.006321701221168041,116.12873705422939,116.7697124893622,218.71952390282001,41.29879405881391,41.34660421777349,46.79775103750684,0.9015384615384615,11.260046600273572,True,True,True,0.0002842083340510726,0.004645450506359339,0.003862145124003291,0.004361242172308266,0.0035843098594341427,0.00939067080616951,284.91067911394595,234.1553428723498,595.3221720400131,49.09417455820744,47.390081436127176,55.49504115230549,0.9323076923076923,16.3452297128083,True,True,True,0.00010599700181046501,0.0004963117535226047,0.00043147464748471975,0.0003903147517121397,0.00033190357498824596,0.0009909450309351087,9.681518370708943,8.232664905585054,22.109985123390317,19.71886947738406,18.310808773390043,26.891769007312256,0.6338461538461538,4.682318792469885,True,True
IMG_8823.MOV,distance\300\IMG_8823.MOV,30.0,30.0,468,15.566666603088379,150,68,11,0.366666316986084,0.13924050632911392,auto_platform,2.700000047683716,5.0,2.266664505004883,True,0.0003338868264108896,0.0010631204349920154,0.0011632980313152075,0.0007292336085811257,0.0008391325827687979,0.0013686424354091287,23.694295325059507,27.265138357637742,33.937199130339295,27.49287594377322,28.71215411733642,30.613519934393175,0.8867924528301887,3.1840742158653255,True,True,True,0.0026863757520914078,0.0034842458553612232,0.0034821932204067707,0.0007978701032698154,0.0008434867486357689,0.003760106163099408,6.637715097034843,7.017213331623136,9.329252506687293,16.44037215506121,16.923293595955855,19.396936958046886,0.9025157232704403,1.2970061439278011,True,True,True,0.0003243959799874574,0.003525590291246772,0.0034820421133190393,0.0032011943112593144,0.003168612136505544,0.006380621809512377,79.86343038305671,79.0505699340599,151.3643676196532,38.046959211189964,37.95810010859669,43.60047301616328,0.8836477987421384,10.868168869981332,True,True,True,0.0002875822829082608,0.004372229799628258,0.003351587802171707,0.004084647516719997,0.003070552775170654,0.009157680906355381,263.6559428644157,198.19812694698746,572.9699880380472,48.42075129746759,45.94199091817873,55.16263748748671,0.9056603773584906,15.203404588811216,True,True,True,0.00010440820187795907,0.0005038928939029574,0.000422538782004267,0.00039948469202499837,0.00032764840580057353,0.001010518753901124,9.108142604231917,7.470294766373993,20.876078615868096,19.188596433034665,17.466754774953216,26.39297847335749,0.6069182389937107,4.826181131746231,True,True
IMG_8824.MOV,distance\300\IMG_8824.MOV,30.0,30.0,473,15.733333587646484,150,58,19,0.6333327293395996,0.24675324675324675,auto_platform,3.0333333015441895,5.0,1.9333314895629883,True,0.00037012217217125,0.0010886192321777344,0.0012357429368421435,0.0007184970600064844,0.000893640419235453,0.0013544298708438873,10.520640058843446,13.085188118550281,14.823069289989988,20.440843248004374,22.335599412672078,23.418762774205426,0.8606811145510835,2.9412429571337504,True,True,False,0.002635566983371973,0.00343692977912724,0.0034232959151268005,0.0008013627957552671,0.0007958663627505302,0.003729687537997961,3.0282932325812015,3.0075226016513072,4.165354838155167,9.623958520431596,9.564177995287102,12.393040079747637,0.0,1.3040570779688532,False,False,True,0.000365561805665493,0.0035685731563717127,0.0035205839667469263,0.0032030113507062197,0.0031823821482248604,0.006254010833799839,41.67588395165422,41.407467716276614,76.97336756128142,32.3976964009568,32.34157343860349,37.72680974451668,0.8575851393188855,9.761887322651898,True,True,True,0.0003059854207094759,0.004367681220173836,0.0033003613352775574,0.00406169579946436,0.003003158053616062,0.009058663621544838,119.08706812461968,88.0512242613393,256.8820206831928,41.51729206474436,38.89470797523065,48.194674176309746,0.8668730650154799,14.274148127863974,True,True,True,0.00010131717135664076,0.0004985983832739294,0.0004310490912757814,0.0003972812119172886,0.00033871181949507445,0.0010298371780663729,10.834467638520064,9.237190526562465,25.56705953132847,20.69615153446759,19.310798029719052,28.15361565340818,0.6377708978328174,4.9211636744066,True,True
IMG_8825.MOV,distance\300\IMG_8825.MOV,30.0,30.0,481,16.0,150,69,10,0.33333301544189453,0.12658227848101267,auto_platform,2.700000047683716,5.0,2.2999978065490723,True,0.00031181503436528146,0.0011543578002601862,0.0012987194349989295,0.0008425427658949047,0.0009971510153263807,0.0013969120336696506,33.314306099374846,39.42754658465504,43.31010118155429,30.452615436368898,31.915995070809405,32.731783966695374,0.8882175226586103,3.702059468075207,True,True,True,0.00262970058247447,0.003383031813427806,0.0033551729284226894,0.0007533312309533358,0.0007687569595873356,0.003745508613064885,5.236885840836428,5.344119918687879,8.057592208279614,14.381462135905682,14.55752389743398,18.124105682552816,0.5770392749244713,1.286470344180581,True,True,True,0.0002974335802718997,0.003422542940825224,0.003474724479019642,0.0031251093605533242,0.0031802880694158375,0.0062006632797420025,103.58718009289791,105.41617427927183,195.77215254898883,40.30612021254305,40.4581450185406,45.83501831988184,0.8882175226586103,11.506915048719438,True,True,True,0.0002665998472366482,0.004092456307262182,0.0035106390714645386,0.003825856460025534,0.0032504356058780104,0.008132891729474068,236.08278944230887,200.57519479786245,485.80134282818693,47.46128655879819,46.045544453197564,53.7291742185245,0.8912386706948641,15.350557585389389,True,True,True,9.419968409929425e-05,0.000496698368806392,0.0003936035791411996,0.0004024986847070977,0.00030381940450752154,0.0010327307973057032,9.81759877274243,7.41065033541408,23.000004614284013,19.840105586149782,17.39712643944746,27.23455846292393,0.5861027190332326,5.272824145384934,True,True
IMG_8826.MOV,distance\300\IMG_8826.MOV,30.0,30.0,474,15.766666412353516,150,74,5,0.16666650772094727,0.06329113924050633,auto_platform,2.433333396911621,5.0,2.4666643142700195,True,0.0003277351497672498,0.001153317280113697,0.0012380057014524937,0.0008255821303464472,0.0009167364914901555,0.0013962800148874521,22.558757529301577,25.049520174462494,29.374313224909933,27.066303525882365,27.975988226756687,29.359354430791697,0.9351851851851852,3.5190527501635307,True,True,False,0.0026947222650051117,0.0034969625994563103,0.0035102865658700466,0.0008022403344511986,0.0008447775617241859,0.003791231196373701,4.225431625380027,4.449476886702142,5.9292233862631925,12.517421569602442,12.966179102436918,15.459956258017048,0.3271604938271605,1.2977079845553867,True,False,True,0.00031542684882879257,0.003664985066279769,0.0035914359614253044,0.0033495582174509764,0.003285940067144111,0.0062692295759916306,75.03624409154081,73.61108090727137,133.5985664934385,37.505421749653244,37.338863899427466,42.51603596408852,0.9351851851851852,11.619128428312868,True,True,True,0.00028200045926496387,0.005289135035127401,0.00482542859390378,0.0050071345758624375,0.0045490833290386945,0.01040391344577074,208.7100082492236,189.61727605784162,422.1426060267857,46.39086550485439,45.55755806877347,52.50918373716697,0.9351851851851852,18.755767451278512,True,True,True,9.879477875074372e-05,0.0005112407961860299,0.00046062259934842587,0.0004124460174352862,0.00037296601658454165,0.0010229437611997128,9.905684106561576,8.957495979091977,22.462719839345414,19.91768948329687,19.04373243777651,27.02924681028488,0.6265432098765432,5.174775455248249,True,True
