\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_persistent_detected,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_persistent_detected,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_persistent_detected,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_persistent_detected,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_persistent_detected
IMG_9708.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9708.MOV,30.0,30.0,500,16.633333206176758,150,38,0,0.0,0.0,auto_platform,3.7333333492279053,5.0,1.2666654586791992,True,0.0006587756215594709,0.0012739889789372683,0.0013245929731056094,0.0006152133573777974,0.0006726460997015238,0.0014365360839292407,10.982511608985746,12.007775042788063,14.00613300986246,20.814033420109848,21.58925086220103,22.926364926566766,0.9228571428571428,1.933873897642794,True,True,True,0.0030480045825242996,0.0037245212588459253,0.003728189505636692,0.0006765166763216257,0.0006722453981637955,0.004102013539522886,6.20517617451551,6.165998968117872,9.594804302443583,15.855082325990013,15.800068954223182,19.64072242408617,0.6371428571428571,1.2219539564344577,True,True,True,0.0006501582101918757,0.0026851166039705276,0.00289933942258358,0.002034958393778652,0.0022553371964022517,0.00415644608438015,31.61573397447455,35.03960623577585,54.57039856961813,29.998065372432173,30.891184341136277,34.739142515631286,0.9257142857142857,4.129943392052362,True,True,True,0.0006007691263221204,0.0028625247068703175,0.0030826102010905743,0.002261755580548197,0.0024877628311514854,0.004651621449738741,57.06067512419765,62.76249649397698,102.34627906327876,35.1267381157794,35.954004202439066,40.201441158502824,0.9428571428571428,4.764766665681633,True,True,False,0.00033833112684078515,0.0005692936247214675,0.000505089177750051,0.00023096249788068235,0.00019403596525080502,0.0008908632444217801,2.670953779720159,2.2439188160149977,6.7051829214421,8.533327454278695,7.020142805742166,16.52821260330286,0.24285714285714285,1.6826522290080945,True,False
IMG_9709.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9709.MOV,30.0,30.0,461,15.333333015441895,150,43,0,0.0,0.0,auto_platform,0.7666666507720947,2.200000047683716,1.4333319664001465,True,0.0006151916459202766,0.0013424849603325129,0.0013742592418566346,0.0007272933144122362,0.0007513340096920729,0.001453328412026167,15.2361548835226,15.739786292656587,17.396215823001146,23.65750757686049,23.939976628376975,24.8090957404512,1.0,2.1822223517425448,True,True,False,0.003064800752326846,0.0038257066626101732,0.0038559993263334036,0.0007609059102833271,0.0007870416156947613,0.0041310712695121765,4.257751093005039,4.403996938618929,5.943198896306894,12.583605382092696,12.876940168113409,15.480405293783207,0.3440514469453376,1.248272554000659,True,False,True,0.0006037835846655071,0.0030837790109217167,0.0033806180581450462,0.0024799954262562096,0.002767693717032671,0.0046178256161510944,47.58432897810005,53.10447226941671,76.84310131327106,33.549278987644044,34.50262194710619,37.712097684974914,1.0,5.107424397154014,True,True,True,0.0005595108959823847,0.0031942613422870636,0.003489108057692647,0.002634750446304679,0.002932173549197614,0.005074474960565567,69.51807433659916,77.36560365586816,119.19561998977902,36.8419546714095,37.770958370590094,41.52520593875231,1.0,5.709024373294117,True,True,False,0.00030106844496913254,0.0006010536453686655,0.0005642360192723572,0.0002999852003995329,0.0002663738268893212,0.0009399679256603122,3.7380028633180418,3.3191841674160716,8.00103827237714,11.452792594268512,10.42062700462613,18.062926956603338,0.3536977491961415,1.9964019989882675,True,False
IMG_9710.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9710.MOV,30.0,30.0,457,15.199999809265137,150,74,2,0.0666666030883789,0.02631578947368421,auto_platform,2.4666666984558105,5.0,2.4666643142700195,True,0.0007438206230290234,0.001298525370657444,0.0013262160355225205,0.0005547047476284206,0.0006113599520176649,0.0013951287837699056,7.228444242174278,7.966727063274217,8.864739853701781,17.18089670731922,18.02559877347484,18.953319904752142,0.9283387622149837,1.7457506964105463,True,True,True,0.003075911896303296,0.0036278869956731796,0.0036516340915113688,0.0005519750993698835,0.0006001123692840338,0.003972717560827732,4.842312931752788,5.264606844776507,8.0813763646653,13.701057040990683,14.42731888167619,18.149706662705086,0.5342019543973942,1.1794508809024278,True,True,True,0.0007549242000095546,0.0031674217898398638,0.003329256782308221,0.002412497589830309,0.0026004136307165027,0.005068568512797356,26.989291986307197,29.091561815619254,48.549733441267335,28.62382983601879,29.275340749930884,33.7237369957746,0.9478827361563518,4.195681884088198,True,True,True,0.0007171945180743933,0.003346248995512724,0.003551118541508913,0.0026290544774383307,0.0028640523087233305,0.005141186062246561,36.231622805152846,39.470183609508325,61.383280938029685,31.181755728187007,31.92538293348964,35.76100195536045,0.9576547231270358,4.66574814946595,True,True,False,0.0003116109874099493,0.0006249409052543342,0.0005740229389630258,0.0003133299178443849,0.0002810542064253241,0.0009737540385685861,3.2453770765578023,2.911074962384851,7.0513695003977235,10.225303284695508,9.28106777989212,16.965469456721262,0.24429967426710097,2.0055162702981786,True,False
IMG_9711.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9711.MOV,30.0,30.0,455,15.133333206176758,150,36,0,0.0,0.0,auto_platform,3.5,4.699999809265137,1.1999988555908203,True,0.0005974133964627981,0.0013519854983314872,0.0013912010472267866,0.0007545721018686891,0.0007913648150861263,0.0014669232768937945,10.41233518659414,10.9200375804349,11.964928101057879,20.350962803314033,20.764482659219464,21.558201864408872,0.9704918032786886,2.2630652515266747,True,True,False,0.0030401023104786873,0.003825514344498515,0.003926316741853952,0.0007854120340198278,0.0008857110515236855,0.0041738697327673435,3.505410387046215,3.9530597768436686,5.0579254882216675,10.894777384121248,11.938667632961437,14.079448543297318,0.11475409836065574,1.2583505269913626,True,False,True,0.0005880489479750395,0.00307123688980937,0.0030201433692127466,0.0024831879418343306,0.0024341059615835547,0.005035614129155874,32.897109526685334,32.24687470035816,58.94769795286746,30.343154815073873,30.16975260196218,35.40933699069574,0.9901639344262295,5.222757221801428,True,True,True,0.0005447349394671619,0.0031885188072919846,0.003433855948969722,0.0026437838678248227,0.002889410126954317,0.005023528356105089,49.43218693090188,54.024787447228135,83.74771016596947,33.880196490426634,34.651861337786734,38.45945882740055,0.9934426229508196,5.853339993962692,True,True,False,0.0003039139846805483,0.0006504054181277752,0.0005948733305558562,0.0003464914334472269,0.0003004152968060225,0.0010278798872604966,3.249859538898697,2.8176959766159246,6.879009916507554,10.237291817734649,8.99788263706362,16.75051871023467,0.26885245901639343,2.1400970370331356,True,False
IMG_9712.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9712.MOV,30.0,30.0,462,15.366666793823242,150,43,0,0.0,0.0,auto_platform,2.566666603088379,4.0,1.4333319664001465,True,0.0005984732997603714,0.001339284353889525,0.0013777210842818022,0.0007408110541291535,0.0007775768754072487,0.0014584689633920789,13.155665160213525,13.808569610516921,15.242527775761847,22.382256224576306,22.802973872176473,23.661139901793355,0.967948717948718,2.2378347612596485,True,True,False,0.003079304238781333,0.003851075191050768,0.003918221220374107,0.0007717709522694349,0.0008378594648092985,0.00422598235309124,3.5474892415707986,3.851268862373026,5.265910478615816,10.998421741034088,11.712076767516288,14.429469435037776,0.19230769230769232,1.250631601304479,True,False,True,0.0005792377633042634,0.003011041786521673,0.0028875155840069056,0.00243180402321741,0.002318690298125148,0.005287769716233015,39.02509103831772,37.20986523177084,75.72865010543492,31.826878497286366,31.41316194157325,37.58520430829053,0.9711538461538461,5.19828294575474,True,True,True,0.0005520534468814731,0.003266469342634082,0.00319591723382473,0.0027144158957526088,0.0026470571174286306,0.0056931022554636,53.577945676896945,52.24839814088695,101.53857642339803,34.57972115136698,34.36145960313065,40.132621405559874,0.9743589743589743,5.9169440225149055,True,True,False,0.000294537196168676,0.0006577803287655115,0.0006065750494599342,0.0003632431325968355,0.0003367970057297498,0.0010780056472867727,3.9368725194325083,3.650246233164867,8.759667441312128,11.903027041024913,11.24644322939172,18.8497523718899,0.33653846153846156,2.233267435562919,True,False
IMG_9713.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9713.MOV,30.0,30.0,463,15.399999618530273,150,41,0,0.0,0.0,auto_platform,0.699999988079071,2.066666603088379,1.3666653633117676,True,0.0006639519706368446,0.0013575886841863394,0.0013840259052813053,0.0006936367135494947,0.00072565081063658,0.001461755600757897,13.149881698748889,13.756801115158057,15.230391367851652,22.378436915357106,22.770349172836553,23.654221266608634,0.9904153354632588,2.044709172086917,True,True,True,0.0030855336226522923,0.003784649772569537,0.003900058101862669,0.0006991161499172449,0.0008278621826320887,0.004163816105574369,4.2884591597392605,5.078202185045453,6.696124224331593,12.646025570379805,14.114199760220538,16.516470039014987,0.5175718849840255,1.2265786847321054,True,True,True,0.0006493431865237653,0.0032886010594666004,0.0031141163781285286,0.002639257872942835,0.0024750190787017345,0.005532744340598583,42.865515708964104,40.19803077437783,79.48018504291812,32.642161060594894,32.0840955667795,38.00517739095603,0.9840255591054313,5.06450383667226,True,True,True,0.0006090543465688825,0.0035296797286719084,0.003971328027546406,0.002920625382103026,0.0033676738385111094,0.005742840003222227,68.02562118090556,78.43803118441902,119.6991266036432,36.65345032523078,37.89053368449587,41.56181963091817,0.987220447284345,5.795344452521218,True,True,False,0.0003296618233434856,0.0006601719069294631,0.0005765761015936732,0.00033051008358597755,0.00026382080977782607,0.0010700059356167912,3.7374592396491417,2.983326597535883,8.56310762049069,11.451529299736086,9.494016000821306,18.652628044727454,0.3610223642172524,2.0025731224619485,True,False
IMG_9714.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9714.MOV,30.0,30.0,466,15.5,150,63,0,0.0,0.0,auto_platform,1.600000023841858,3.700000047683716,2.0999979972839355,True,0.0006425784667953849,0.001341284834779799,0.0013821324100717902,0.0006987063679844141,0.00073916808469221,0.0014692542608827353,13.929964450082677,14.73664133347053,16.473571666770344,22.879000161713115,23.3679702721566,24.33575539202039,0.939873417721519,2.0873479335044416,True,True,True,0.0031133347656577826,0.0037706797011196613,0.0038757664151489735,0.0006573449354618788,0.0007588374428451061,0.0041578346863389015,5.4562911676373815,6.298729652734054,8.640037136426692,14.737950756150928,15.985059368631232,18.73031218316705,0.6170886075949367,1.211138533097322,True,True,True,0.000629375281278044,0.003130889032036066,0.0032127290032804012,0.002501513750758022,0.0025830951053649187,0.005139523185789585,37.98565104224418,39.22446928448335,68.48296583475872,31.592391484955407,31.871141524017162,36.711651206798535,0.939873417721519,4.974598026281412,True,True,True,0.0005921948468312621,0.003318513510748744,0.0037016919814050198,0.002726318663917482,0.0031069241231307387,0.0052201333455741405,84.42318387527553,96.20901254319935,143.22906789757735,38.529234535943495,39.664315144382826,43.120623312848466,0.9525316455696202,5.603752765674284,True,True,False,0.00030307643464766443,0.0006516610737890005,0.0005865757702849805,0.0003485846391413361,0.0002976494433823973,0.00106719764880836,4.238831784168221,3.6194535830872505,9.46387432368538,12.54492364319707,11.172860229659097,19.52137928816175,0.370253164556962,2.1501542162015213,True,False
IMG_9715.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9715.MOV,30.0,30.0,463,15.399999618530273,150,30,1,0.03333330154418945,0.03225806451612903,auto_platform,4.0,5.0,0.9999990463256836,True,0.0006300621316768229,0.0013386370847001672,0.001404974376782775,0.0007085749530233443,0.0007852625567466021,0.0014742540661245584,11.20696728503853,12.41987420819114,13.515616032903115,20.989762083182633,21.882343944242606,22.616716906863232,0.9105431309904153,2.1246112365737178,True,True,True,0.0029955508653074503,0.003859903896227479,0.003948874305933714,0.0008643530309200287,0.0009883739985525608,0.004267255775630474,5.943655176221677,6.796475539961828,8.985800506361231,15.481072113946329,16.645675164846768,19.071135451959137,0.6773162939297125,1.2885456030576583,True,True,True,0.000628080393653363,0.0032381033524870872,0.00315066147595644,0.0026100229588337243,0.00253618648275733,0.005743157584220171,35.04660494671476,34.055150906454806,68.86641056403803,30.892919062702774,30.64365618169594,36.76014894797233,0.9169329073482428,5.155555539079912,True,True,True,0.0005670587415806949,0.0035236049443483353,0.0038189052138477564,0.0029565462027676404,0.0032621840364299715,0.006033196579664946,65.0868121575479,71.81526857375341,120.5617302573594,36.26986002100823,37.12433577965558,41.62418944370138,0.9265175718849841,6.213827044665902,True,True,False,0.00031937917810864747,0.0006678652134723961,0.000614021613728255,0.00034848603536374867,0.000305947003653273,0.001090601203031838,3.9883580517265993,3.501506722209084,8.955871745196253,12.015882796748976,10.885099288908018,19.04215731057313,0.3801916932907348,2.0911357384895,True,False
IMG_9716.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9716.MOV,30.0,30.0,450,14.966666221618652,150,51,2,0.0666666030883789,0.03773584905660377,auto_platform,3.2333333492279053,5.0,1.699998378753662,True,0.0006477336282841861,0.001292458618991077,0.001352105988189578,0.0006447249907068908,0.0007127422140911222,0.001425958820618689,14.834666818902386,16.399695104444138,18.098996633793686,23.42555593339817,24.296715478407187,25.153089985245384,0.9533333333333334,1.9953551314214377,True,True,True,0.003088159253820777,0.003693621838465333,0.003792044473811984,0.000605462584644556,0.0006959133315831423,0.004025473725050688,6.801600785451364,7.817699693996335,10.439979945226995,16.652222755510746,17.86157967202634,20.373993288103378,0.6766666666666666,1.1960593787044684,True,True,True,0.0006400677375495434,0.0029088740702718496,0.002880518324673176,0.0022688063327223063,0.002250630292110145,0.004764953162521124,42.75796047640579,42.41541452397987,77.92950365312316,32.620339630001766,32.55047431398571,37.83403820298302,0.9533333333333334,4.544634731018126,True,True,True,0.000593990262132138,0.003099889261648059,0.0032463138923048973,0.002505898999515921,0.0026547644520178437,0.005179556552320719,80.27888007058128,85.04792774982265,146.98121224401905,38.09202610476953,38.59327472398499,43.34523649901614,0.9533333333333334,5.218754345434813,True,True,False,0.0003000314754899591,0.0006528061348944902,0.0005823204992339015,0.0003527746594045311,0.00027807557489722967,0.0010461771162226796,5.391457685740993,4.24983103385928,11.338955085363763,14.634124020934145,12.567433271494334,21.0914607003628,0.44666666666666666,2.175792169233048,True,False
IMG_9717.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_brightness\brightness_second_run\distance_1\IMG_9717.MOV,30.0,30.0,457,15.199999809265137,150,43,3,0.09999990463256836,0.06521739130434782,auto_platform,0.9333333373069763,2.4666666984558105,1.4333319664001465,True,0.0006543735507875681,0.0013341412413865328,0.001362485229037702,0.0006797676905989647,0.000720320560503751,0.0014314631698653102,14.188742125417578,15.035199262881147,16.474970861738502,23.03887791308973,23.542183764389222,24.336493103139013,0.993485342019544,2.0388067943467973,True,True,True,0.0031102269422262907,0.003668362507596612,0.003774960758164525,0.0005581355653703213,0.0006796908564865589,0.004043668042868376,5.58955229481524,6.80689033697153,9.497909352850655,14.94754047372883,16.658975078400847,19.55256040800565,0.5732899022801303,1.179451717105508,True,True,True,0.0006437430274672806,0.0029756848234683275,0.002659748075529933,0.002331941796001047,0.0020414874306879938,0.005143088288605213,37.69053320933663,32.995999271825134,73.13354341272228,31.524645629456188,30.369225706951507,37.282332321024626,0.9771986970684039,4.622473093302082,True,True,True,0.0006032167584635317,0.003123363945633173,0.0030576426070183516,0.0025201471871696413,0.0024627315578982234,0.005348277743905783,74.5600480812594,72.8613726622651,140.6311707171009,37.45012358815748,37.24994697633693,42.96163184327266,1.0,5.177846772010728,True,True,False,0.0003424524620641023,0.000650086672976613,0.0005638105212710798,0.00030763421091251075,0.00023743865313008428,0.0010804737685248256,2.8684323934195652,2.213917373064661,7.031371161822447,9.152892367542774,6.903228165617422,16.9408004689528,0.23778501628664495,1.898326760620357,True,False
