\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_active_p95,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_active_peak,highpass_abs_pre_transient_peak,highpass_abs_active_peak_over_pre,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_pulse_detected,highpass_abs_persistent_detected,highpass_abs_transient_suppressed,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_active_p95,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_active_peak,highpass_topk_pre_transient_peak,highpass_topk_active_peak_over_pre,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_pulse_detected,highpass_topk_persistent_detected,highpass_topk_transient_suppressed,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_active_p95,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_active_peak,mean_removed_abs_pre_transient_peak,mean_removed_abs_active_peak_over_pre,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_pulse_detected,mean_removed_abs_persistent_detected,mean_removed_abs_transient_suppressed,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_active_p95,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_active_peak,raw_abs_pre_transient_peak,raw_abs_active_peak_over_pre,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_pulse_detected,raw_abs_persistent_detected,raw_abs_transient_suppressed,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_active_p95,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_active_peak,temporal_abs_pre_transient_peak,temporal_abs_active_peak_over_pre,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_pulse_detected,temporal_abs_persistent_detected,temporal_abs_transient_suppressed
IMG_0381.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0381.MOV,30.0,30.0,483,16.066667556762695,150,89,0,0.0,0.0,auto_platform,2.0333333015441895,5.0,2.9666638374328613,True,0.000641664257273078,0.0009684775723144412,0.0009218372870236635,0.00032681331504136324,0.000275007972959429,0.0012807068414986134,0.0013357587158679962,3.8903856719102285,3.2736948845766203,7.545678027728083,11.799853141577792,10.300763995595227,17.553965400378647,0.2852852852852853,0.0006889294018037617,0.00023875391343608499,2.8855208774962753,1.5093213644628467,True,True,False,False,False,0.002916172379627824,0.0030402897391468287,0.003073724452406168,0.00012411735951900482,0.0001628291793167591,0.0031857481226325035,0.003208649344742298,1.5140606958823393,1.9862915348963202,3.352825892019898,3.602865711450269,5.960859834895793,10.508220033096219,0.003003003003003003,0.00029775407165288925,0.0005844985134899616,0.5094180135293073,1.0425617361943622,False,False,False,False,True,0.0006406547036021948,0.0010176125215366483,0.0009822690626606345,0.0003769578179344535,0.00034345092717558146,0.0013988135615363717,0.0014728934038430452,3.973759867921379,3.6205417319346527,8.011610796122746,11.984032387898456,11.175471154240741,18.074396862351204,0.33933933933933935,0.0008340752683579922,0.00025621592067182064,3.2553608150928857,1.5883946778427462,True,True,False,False,True,0.0005631297244690359,0.0008993033552542329,0.0008208302897401154,0.000336173630785197,0.00025464320788159966,0.0012791386106982827,0.0014377477345988154,7.410423090366955,5.6132121460075295,15.715903889566084,17.39686008554129,14.984229125524218,23.92678728449716,0.5675675675675675,0.0008715606527402997,0.00020824040984734893,4.185357939792757,1.596973692166878,True,True,True,False,False,0.0002582603774499148,0.0003132855927105993,0.0003093511622864753,5.502521526068449e-05,4.340280429460108e-05,0.0004177729715593159,0.00043658085633069277,0.8076009271416965,0.6370196794834567,2.228318382747031,-1.8560638229906607,-3.916943015489101,6.9595448610171005,0.0,0.00017063249833881855,0.00019284451263956726,0.884819049312211,1.2130610037978269,False,False,False,False
IMG_0382.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0382.MOV,30.0,30.0,486,16.16666603088379,150,111,6,0.19999980926513672,0.05128205128205128,auto_platform,1.2666666507720947,5.0,3.6999964714050293,True,0.0005982121219858527,0.0009344503050670028,0.0008653415134176612,0.00033623818308115005,0.00027358403895050287,0.0012914136750623584,0.0013656595256179571,6.476754636364407,5.269885402278415,13.477058136411603,16.22714889339709,14.436023424936877,22.59190203603612,0.5357142857142857,0.0007739020511507988,0.0006739726522937417,1.1482692191099533,1.562071831585355,True,True,True,False,False,0.0029750517569482327,0.0030812607146799564,0.0031384839676320553,0.00010620895773172379,0.00017998856492340565,0.0032214256934821606,0.0032468093559145927,1.251610401745794,2.1210598885873884,3.098479581142495,1.9493832755174545,6.531058621777152,9.822972770234461,0.0,0.0002883139532059431,0.0002554126549512148,1.1288162415484568,1.0356998689127586,False,False,False,False,True,0.0005868388689123094,0.0009668004931882024,0.0008782644290477037,0.000379961624275893,0.0003111493424512446,0.0014117007376626134,0.0014917987864464521,5.965081648521219,4.884786025805819,13.2592926387769,15.512327851190213,13.776910890892818,22.450407115960086,0.49107142857142855,0.000924683699849993,0.0007415785803459585,1.2469126325339832,1.6474718093914638,True,True,False,False,True,0.0005297312163747847,0.0008557244436815381,0.0007457355968654156,0.0003259932273067534,0.00022124138195067644,0.0012635127641260624,0.001424896763637662,10.56591806161739,7.170757297145286,23.952673807037826,20.4781447684619,17.111300470688953,27.587080004136517,0.7321428571428571,0.0009004025487229228,0.0005958278197795153,1.5111791004591137,1.6153936510249252,True,True,True,False,False,0.0002602134773042053,0.0003073223342653364,0.0003033938992302865,4.7108856961131096e-05,4.5104825403541327e-05,0.00040807120967656374,0.00043658085633069277,0.6493267832528171,0.6217041354373425,2.0645279621270607,-3.7507336619655014,-4.128324875842778,6.296415387374953,0.0,0.00017829178250394762,0.00021115876734256744,0.8443494189123627,1.181039266102493,False,False,False,False
IMG_0383.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0383.MOV,30.0,30.0,474,15.766666412353516,150,145,5,0.16666650772094727,0.03333333333333333,auto_platform,0.10000000149011612,5.0,4.833328723907471,True,0.0006431384827010334,0.001231804839335382,0.001332020852714777,0.0005886663566343486,0.0007049419800750911,0.0014109264593571424,0.001437054481357336,8.315360433198792,9.957842133754424,11.072443897617463,18.397621573231646,19.963304738481945,20.88486976917091,0.8425925925925926,0.0008099756087176502,0.0003185705281794071,2.5425315183628725,1.9153026486023441,True,True,True,False,False,0.0029781132470816374,0.002800073241814971,0.0027568326331675053,-0.0001780400052666664,-0.000210196478292346,0.0030629741959273815,0.003119624452665448,-2.1036277937856678,-2.4835718985143798,1.1336370500590993,-120.0,-120.0,1.0894806257562748,0.0,0.00015259534120559692,0.0003647725097835064,0.4183301567767887,0.9402171809815714,False,False,False,False,True,0.000638396420981735,0.0013572045136243105,0.0014918046072125435,0.0007188080926425755,0.0008750483975745738,0.0015906268963590264,0.0015954755945131183,8.574073452086646,10.437736179837106,11.616506389185057,18.663743993800825,20.372126311992716,21.301510712497873,0.8333333333333334,0.0009787193848751485,0.00035703828325495124,2.7412169248424036,2.125958838455238,True,True,True,False,True,0.000578858598601073,0.0016406907234340906,0.001678525935858488,0.0010618321248330176,0.0011113074142485857,0.0024507225025445223,0.0025982798542827368,22.447701191371536,23.49363537172227,39.818285365427286,27.023437453762142,27.419004481759032,32.001651094558014,0.8703703703703703,0.0020310613326728344,0.0002480327966623008,8.188680529366223,2.8343549312373457,True,True,True,False,False,0.0002721521304920316,0.0003092539554927498,0.00030977666028775275,3.7101825000718236e-05,3.914759145118296e-05,0.00040326284943148494,0.00043475115671753883,0.5388704259954533,0.5685833319947619,1.926385611737046,-5.37031300944598,-4.904117515802887,5.6948645164867,0.0,0.00016412208788096905,7.162307156249881e-05,2.2914695544403583,1.1363275199559921,False,False,False,False
IMG_0384.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0384.MOV,30.0,30.0,468,15.566666603088379,150,93,0,0.0,0.0,auto_platform,1.899999976158142,5.0,3.099997043609619,True,0.0006060785963200033,0.001003419398330152,0.0009608235559426248,0.00039734080201014876,0.0003671120502986014,0.0013531479053199291,0.0013800985179841518,8.095213523264874,7.479348758285404,15.47235970133003,18.164566168032966,17.477275692594066,23.791131066638528,0.6918238993710691,0.0007863870123401284,0.0004220496630296111,1.8632570553313184,1.6555928627454068,True,True,True,False,False,0.0029424477834254503,0.003026928985491395,0.00307566300034523,8.448120206594467e-05,0.00014438387006521225,0.003225092077627778,0.003250210778787732,0.9486070417588227,1.6212311438625089,3.299112986063345,-0.45827311580715746,4.1968987590012805,10.367943785193548,0.0031446540880503146,0.00031893164850771427,0.0004583476111292839,0.6958291933101289,1.0287111983912918,False,False,False,False,True,0.0005943081341683865,0.0010478005278855562,0.0009768749587237835,0.00045349239371716976,0.0003902335884049535,0.0014786585234105587,0.0015531075187027454,6.984522210781169,6.0102334755081035,13.738518450328483,16.882734054907115,15.57782686153682,22.758798026320477,0.5660377358490566,0.0009664661483839154,0.00046615954488515854,2.0732518704985665,1.7630593755068493,True,True,True,False,True,0.0005333604058250785,0.0009582447819411755,0.0008246503421105444,0.000424884376116097,0.00029441656079143286,0.0014250417007133365,0.0016183260595425963,14.8192581974214,10.26875846047322,31.20940740588008,23.416529297117794,20.230358771926635,29.885710450013086,0.7735849056603774,0.0010880922782234848,0.0003260541125200689,3.337152443235973,1.7966177681652704,True,True,True,False,False,0.00025818380527198315,0.000310124596580863,0.00030615978175774217,5.194079130887985e-05,5.93596778344363e-05,0.0004036458267364651,0.0004342192260082811,0.7999479153885038,0.9142072992190334,2.4156044958163663,-1.938765780054752,-0.7791063107282615,7.660516584534682,0.0,0.00018741912208497524,0.00017921102698892355,1.0458012837377413,1.2011775729084284,False,False,False,False
IMG_0385.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0385.MOV,30.0,30.0,477,15.866666793823242,150,50,2,0.0666666030883789,0.038461538461538464,auto_platform,1.100000023841858,2.8333332538604736,1.6666650772094727,True,0.0006712955073453486,0.0010557377245277166,0.0010132287861779332,0.00038444221718236804,0.00037256034556776285,0.0013667300809174776,0.0013960541691631079,4.444236071823957,4.306879038516243,8.393431283044317,12.95594240036959,12.683253489848603,18.478790784278193,0.41590214067278286,0.0007553857285529375,0.0006075542187318206,1.2433223328276666,1.5726870103788604,True,True,False,False,False,0.0028528787661343813,0.003002375364303589,0.003060203045606613,0.00014949659816920757,0.0002159357536584139,0.003183534601703286,0.003196906065568328,1.8244442686299638,2.6352622934501735,4.140390526583016,5.22261202985714,8.41647695969143,12.340826124549306,0.01529051987767584,0.00035263877362012863,0.0004138532094657421,0.8520865987130137,1.0524020157967573,False,False,False,False,True,0.0006686025881208479,0.0011401933152228594,0.0011029061861336231,0.00047159072710201144,0.000463121454231441,0.0015490432269871235,0.0015695698093622923,4.689323662336818,4.605108347250349,9.041329973522279,13.422204185234655,13.26479705139312,19.124646391979443,0.4648318042813456,0.0009297850774601102,0.0006585619412362576,1.4118414977256513,1.705337872573076,True,True,False,False,True,0.0005824158433824778,0.0010803573532029986,0.0009371786145493388,0.0004979415098205209,0.00037792028160765767,0.0017430167645215988,0.0018320422386750579,8.815108237169245,6.690360457383366,20.956193639690486,18.90455298390761,16.508990338720867,26.426248055358332,0.6269113149847095,0.0012727839057333767,0.0005626322817988694,2.2621949484732435,1.8549587300521255,True,True,True,False,False,0.0002799308567773551,0.00031282423879019916,0.0003165849484503269,3.2893382012844086e-05,3.3190357498824596e-05,0.00040679462836124003,0.0004241557326167822,0.5715184371796862,0.5766783494551094,2.144060361466924,-4.8593950941319015,-4.781327064678863,6.624740156636592,0.0,0.00014076114166527987,0.00023885152768343687,0.5893248539395503,1.117505381119903,False,False,False,False
IMG_0386.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0386.MOV,30.0,30.0,470,15.633333206176758,150,150,0,0.0,0.0,auto_platform,0.0,5.0,4.999995231628418,True,0.0007638423703610897,0.0010340720182284713,0.0009917354909703135,0.00027022964786738157,0.0002213687403127551,0.0013252082280814648,0.0013440046459436417,3.70343267142707,3.033805623390556,7.603969701958781,11.37208907132245,9.639755039936231,17.62080755498245,0.34375,0.0005736378952860832,0.0,57363.78952860832,1.3537767193244812,True,True,False,False,False,0.0028527681715786457,0.0028462535701692104,0.0028870704118162394,-6.514601409435272e-06,4.732026718556881e-05,0.0030077036935836077,0.0030399933457374573,-0.08329415275717451,0.6050257438247102,2.14741435175667,-120.0,-4.364522914780424,6.638317025839907,0.0,0.00020024320110678673,0.0,20024.320110678673,0.9977163929847723,False,False,False,False,True,0.0007775999838486314,0.001109855598770082,0.0010816678404808044,0.0003322556149214506,0.0002904960419982672,0.0014554979279637337,0.0014682362088933587,4.131266984279918,3.6120283705518603,8.260232430290062,12.321665245708429,11.155023056116924,18.339845357478332,0.390625,0.0006770644104108214,0.0,67706.44104108214,1.4272834642781165,True,True,False,False,True,0.0006854537059552968,0.001077354303561151,0.0009509050287306309,0.00039190059760585427,0.00026616634568199515,0.0016260806005448103,0.001688375836238265,7.919314412086426,5.3785449428983325,19.022126170437783,17.973751712760638,14.61329603845989,25.585181158948863,0.528125,0.0010036371531896293,0.0,100363.71531896293,1.5717389725972433,True,True,True,False,False,0.00027260062051936984,0.000312343065161258,0.00030828735907562077,3.974244464188814e-05,4.10624488722533e-05,0.0004161560209468007,0.0004433891153894365,0.5701546261650928,0.5890917228958498,2.136601372548078,-4.880146950289307,-4.596341586560472,6.594470060956363,0.0,0.000176164205186069,0.0,17616.4205186069,1.1457900006469877,False,False,False,False
IMG_0387.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0387.MOV,30.0,30.0,472,15.699999809265137,150,150,0,0.0,0.0,auto_platform,0.0,5.0,4.999995231628418,True,0.0006767601589672267,0.0010152842151001096,0.0009679642971605062,0.00033852405613288283,0.00030036212410777807,0.0012927583884447813,0.001368366414681077,4.750947184518251,4.215371291975833,8.773628070423142,13.535604049344842,12.49671667034015,18.863584398992966,0.38509316770186336,0.0007007642416283488,0.0,70076.42416283488,1.5002127439793282,True,True,False,False,False,0.0029411998111754656,0.0029409872367978096,0.0029963767156004906,-2.1257437765598297e-07,6.159674376249313e-05,0.0031124285887926817,0.0031251623295247555,-0.0024749017633590355,0.7171414139180865,2.068277843301344,-120.0,-2.887903937449663,6.312177590830638,0.0,0.00019038235768675804,0.0,19038.235768675804,0.9999277252851546,False,False,False,False,True,0.0006729212473146617,0.0010947323171421885,0.0010345822665840387,0.0004218110698275268,0.00036937627010047436,0.0015353040071204305,0.0015529980883002281,4.258574586042594,3.7291965741446083,8.784447684076804,12.585285160422877,11.432305531619818,18.87428921463809,0.33229813664596275,0.0008877920918166637,0.0,88779.20918166637,1.626835712961647,True,True,False,False,True,0.0006018379935994744,0.0010096220066770911,0.0008693580166436732,0.0004077840130776167,0.0002732214634306729,0.0016030390979722142,0.0018377464730292559,9.902383094771427,6.634746615458016,24.451019210035,19.914794478541765,16.436486831545885,27.76593933714254,0.6273291925465838,0.0012416099198162556,0.0,124160.99198162556,1.6775644233404756,True,True,True,False,False,0.00025910037220455706,0.0002973018563352525,0.0002938197576440871,3.820148413069546e-05,3.936036955565214e-05,0.0003930504317395389,0.0004144113918300718,0.5688590892853719,0.5861160760865007,2.063762093764522,-4.899905966461583,-4.640327331114983,6.2931926253788,0.0,0.00015995200374163687,0.0,15995.200374163687,1.147438939611155,False,False,False,False
IMG_0388.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0388.MOV,30.0,30.0,466,15.5,150,149,1,0.03333330154418945,0.006666666666666667,auto_platform,0.0,5.0,4.9666619300842285,True,0.0005977305117994547,0.0009455711115151644,0.0008744557853788137,0.0003478405997157097,0.00028210575692355633,0.0013155036140233278,0.001356571214273572,8.859546746710675,7.1852714807390194,18.41881885446394,18.948230080093914,17.12886363412171,25.30523553411588,0.8069620253164557,0.0007642211858183146,0.0,76422.11858183146,1.5819354924153748,True,True,True,False,False,0.003014997346326709,0.0030679204501211643,0.0031112979631870985,5.292310379445553e-05,9.861914440989494e-05,0.003221957478672266,0.0032410109415650368,0.693743175643379,1.2927503021718298,2.7433319609119673,-3.176025520124097,2.230292959151619,8.765567264516728,0.0,0.00022833212278783321,0.0,22833.21227878332,1.0175532837065127,False,False,False,False,True,0.0005729017429985106,0.0009823921136558056,0.000903771840967238,0.000409490370657295,0.00033681525383144617,0.0014606363838538527,0.0016077890759333968,9.273662653324054,7.627800955399338,20.239022816462096,19.34502587159993,17.647987035409166,26.1237908000516,0.7120253164556962,0.001040832488797605,0.0,104083.2488797605,1.714765447411738,True,True,True,False,True,0.0005376123008318245,0.0008823390817269683,0.0007554135518148541,0.00034472678089514375,0.00022115383762866259,0.001367439515888691,0.0017050146125257015,14.631402670868775,9.386537483831667,35.36304648071976,23.30571925390403,19.45010837570755,30.97099343721313,0.9050632911392406,0.00117075489833951,0.0,117075.489833951,1.6412181796468621,True,True,True,False,False,0.0002613904944155365,0.0002984748862218112,0.0002863731933757663,3.708439180627465e-05,2.4254462914541364e-05,0.00039339083014056087,0.00042551738442853093,0.5818919628915493,0.3805772818912665,2.059793245480149,-4.7031528250596315,-8.391142799368636,6.276472593271972,0.0,0.00016339865396730602,0.0,16339.865396730602,1.1418735286805075,False,False,False,False
IMG_0389.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0389.MOV,30.0,30.0,479,15.933333396911621,150,140,10,0.33333301544189453,0.06666666666666667,auto_platform,0.30000001192092896,5.0,4.666662216186523,True,0.000553879130166024,0.0009495911072008312,0.0009312251931987703,0.0003957119770348072,0.00038463243981823325,0.0012411294737830758,0.001277230796404183,12.248012488026172,11.905080461538098,21.497187142593816,21.761312409908093,21.514646699368857,26.647632744015617,0.8844984802431611,0.0007306380430236459,0.0003690678859129548,1.9796846892172242,1.7144374205184323,True,True,True,False,False,0.003017453709617257,0.003089127829298377,0.0030919264536350965,7.167411968111992e-05,8.8162487372756e-05,0.003241922240704298,0.0032572937197983265,0.77592002116629,0.9544175690289098,2.578221737052011,-2.2036608365947323,-0.4052314944223685,8.226405312612634,0.0,0.00025352975353598595,0.0006973659619688988,0.3635533813841245,1.0237531795277188,False,False,False,False,True,0.0005347683909349144,0.0010021408088505268,0.000995489303022623,0.00046737241791561246,0.0004697861731983721,0.0013610381865873933,0.001397796906530857,11.341992493134745,11.400568466486831,20.27155129374903,21.09378711011715,21.13853014199812,26.137739692691934,0.7963525835866262,0.0008720937767066061,0.00035372981801629066,2.4654234172207747,1.8739716592046958,True,True,True,False,True,0.0005019960226491094,0.0008607975323684514,0.0008008198929019272,0.000358801509719342,0.0003034741966985166,0.0011770991841331124,0.001226221676915884,15.690568733871691,13.271077777736238,29.72595860255113,23.912773713683464,22.458123888963705,29.462717372852797,0.8875379939209727,0.0007288759807124734,0.000321416009683162,2.2677027862767876,1.7147497062345074,True,True,True,False,False,0.00025853828992694616,0.0002945097512565553,0.000292755983537063,3.5971461329609156e-05,3.0424504075199366e-05,0.00038968882290646434,0.00041436884202994406,0.4811697120285956,0.4069712300630511,1.703586510107214,-6.354034356188185,-7.808725823676987,4.627283848870173,0.0,0.00015203736256808043,0.000227064621867612,0.6695775031687872,1.1391339802695122,False,False,False,False
IMG_0390.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_3\IMG_0390.MOV,30.0,30.0,464,15.433333396911621,150,143,7,0.23333311080932617,0.04666666666666667,auto_platform,0.1666666716337204,5.0,4.766662120819092,True,0.0005549421766772866,0.0009144378709606826,0.0009225442772731185,0.000359495694283396,0.00037378654815256596,0.0011720447801053524,0.0012084749760106206,9.03147782996645,9.390501684613657,15.658610860125632,19.11517640358233,19.453775898653866,23.895064627565358,0.8121019108280255,0.000659717246890068,0.0001619037939235568,4.074748533697456,1.6478074822783781,True,True,True,False,False,0.0030169037636369467,0.0031058890745043755,0.0031075403094291687,8.898531086742878e-05,0.00010753702372312546,0.003231694456189871,0.003262040438130498,0.7992617804058116,0.965892372602224,2.081038944743322,-1.9462190779153656,-0.3014252685646785,6.365604154245635,0.0,0.0002620371524244547,0.0006264606490731239,0.4182819029609444,1.029495574880438,False,False,False,False,True,0.0005310223787091672,0.0009646215476095676,0.0009886027546599507,0.0004335991689004004,0.0004639067337848246,0.0012910482473671436,0.0013340919977054,9.823221642610267,10.509841794725638,17.36176708140365,19.84507886398876,20.431923572334988,24.791878512024482,0.7579617834394905,0.0008093959768302739,0.00015463016461580992,5.234398985743034,1.8165365270563785,True,True,True,False,True,0.0005014960188418627,0.0008163515012711287,0.0007991474121809006,0.000314855482429266,0.0003041315940208733,0.0010897198226302862,0.0011473397025838494,10.99850475831501,10.623898806475365,20.774149373195602,20.826672940706253,20.525678507047644,26.350465000419753,0.8121019108280255,0.0006523238844238222,0.00016170099843293428,4.034136404509428,1.627832466459818,True,True,True,False,False,0.00025133794406428933,0.00029239009018056095,0.0002872242475859821,4.1052146116271615e-05,4.1275168769061565e-05,0.0003872208180837333,0.0004171559994574636,0.5862351186201901,0.5894199389933564,2.0173964740404706,-4.6385633711035394,-4.591503537067579,6.0958251488580775,0.0,0.0001712069206405431,0.00013116144691593945,1.3053143638333644,1.1633344550068052,False,False,False,False
