\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_active_p95,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_active_peak,highpass_abs_pre_transient_peak,highpass_abs_active_peak_over_pre,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_pulse_detected,highpass_abs_persistent_detected,highpass_abs_transient_suppressed,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_active_p95,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_active_peak,highpass_topk_pre_transient_peak,highpass_topk_active_peak_over_pre,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_pulse_detected,highpass_topk_persistent_detected,highpass_topk_transient_suppressed,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_active_p95,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_active_peak,mean_removed_abs_pre_transient_peak,mean_removed_abs_active_peak_over_pre,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_pulse_detected,mean_removed_abs_persistent_detected,mean_removed_abs_transient_suppressed,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_active_p95,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_active_peak,raw_abs_pre_transient_peak,raw_abs_active_peak_over_pre,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_pulse_detected,raw_abs_persistent_detected,raw_abs_transient_suppressed,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_active_p95,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_active_peak,temporal_abs_pre_transient_peak,temporal_abs_active_peak_over_pre,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_pulse_detected,temporal_abs_persistent_detected,temporal_abs_transient_suppressed
IMG_0271.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0271.MOV,30.0,30.0,485,16.133333206176758,150,146,4,0.1333332061767578,0.02666666666666667,auto_platform,0.10000000149011612,5.0,4.86666202545166,True,0.0005336483591236174,0.0006828992045484483,0.0006774754147045314,0.0001492508454248309,0.00014835683396086097,0.0008225704077631235,0.0008613091777078807,5.476245680987401,5.443443009723577,10.767204002891244,14.769658473328548,14.717473608440137,20.642058831487397,0.5940298507462687,0.00033219059696421027,0.00016141310334205627,2.0580150563133235,1.279680135567057,True,True,True,False,False,0.0030106764752417803,0.003214145079255104,0.0032167902681976557,0.00020346860401332378,0.0002192885149270296,0.0032882567029446363,0.0033040582202374935,1.985495723707893,2.1398702308753275,2.837256942043245,5.957379120649105,6.60774874059499,9.057973345868888,0.0,0.00030655646696686745,0.0005683454219251871,0.539384070216405,1.0675823542272118,False,False,False,False,True,0.0005191979580558836,0.0006682153325527906,0.0006618432817049325,0.000149017374496907,0.00014353066217154264,0.0008424161933362484,0.0008921476546674967,4.332628955777373,4.173104680348755,9.423200034693538,12.735029957201169,12.409185578382873,19.483968207466837,0.36716417910447763,0.0003738350351341069,0.00016875792061910033,2.215214751181258,1.2870145619503142,True,True,False,False,True,0.0004841517366003245,0.0005835809279233217,0.0005749514675699174,9.942919132299721e-05,9.556481381878257e-05,0.0006815553060732782,0.0007117701461538672,4.893899217780482,4.7036947738596915,9.95072972327627,13.793100429810764,13.448782646016113,19.957098606214323,0.43582089552238806,0.00023238349240273237,0.00014492141781374812,1.6035137932571832,1.2053678295593468,True,True,False,False,False,0.0002208901714766398,0.00023671214876230806,0.000229353885515593,1.5821977285668254e-05,8.723101927898824e-06,0.00030186204821802676,0.0003457754210103303,0.279076518577682,0.15386274883869233,1.4328005990269086,-11.085534067873395,-16.257330258606054,3.123715088226908,0.0,0.00012514463742263615,8.33163212519139e-05,1.5020422834590934,1.0716282538960387,False,False,False,False
IMG_0272.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0272.MOV,30.0,30.0,476,15.833333015441895,150,149,1,0.03333330154418945,0.006666666666666667,auto_platform,0.03333333507180214,5.0,4.9666619300842285,True,0.0005237423465587199,0.0006799905095249414,0.0006760857068002224,0.00015624816296622157,0.00015383603749796748,0.0007868269458413124,0.0008161396253854036,7.056890296612915,6.947947544979956,11.949534510152182,16.972267322620674,16.837130619762167,21.547019756545446,0.7607361963190185,0.0002938899560831487,0.00010614865459501743,2.7686639760476415,1.2983302075779424,True,True,True,False,False,0.0030143307521939278,0.0032238198909908533,0.0032251011580228806,0.00020948913879692554,0.00022513256408274174,0.00328895915299654,0.0033148247748613358,2.202306795017421,2.366762203074146,3.038085294353867,6.857556375386534,7.483092500527714,9.65199925062243,0.0,0.00031485618092119694,0.0004510781727731228,0.6980080170706,1.0694977280261804,False,False,False,False,True,0.0005028725136071444,0.0006639215280301869,0.0006567565724253654,0.00016104901442304254,0.00015782041009515524,0.0008022915571928024,0.0008364740060642362,5.728630873302769,5.613787063195181,10.790572589459794,15.16101678413545,14.985118707353571,20.660889812740525,0.5674846625766872,0.00033753784373402596,0.0001082248636521399,3.1188567242639524,1.3202581371326605,True,True,True,False,True,0.0004783383628819138,0.0005792087758891284,0.0005760645726695657,0.00010087041300721467,9.83821228146553e-05,0.0006532430998049676,0.0006720412638969719,5.243242042622986,5.113900768378967,9.125639059121518,14.391998128332244,14.175045931907375,19.205265747790943,0.5184049079754601,0.00019435881404206157,9.912875248119235e-05,1.9606704329194213,1.210876694897491,True,True,True,False,False,0.0002270378463435918,0.00023949058959260583,0.00023360905470326543,1.245274324901402e-05,1.404207432642579e-05,0.00031020218739286065,0.00033945648465305567,0.20836250351000848,0.2349555999525932,1.5165315996940107,-13.623608661756455,-12.58028399009002,3.617029281126985,0.0,0.00011988950427621603,0.0,11988.950427621603,1.0548487551725998,False,False,False,False
IMG_0273.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0273.MOV,30.0,30.0,451,15.0,150,58,0,0.0,0.0,auto_platform,3.066666603088379,5.0,1.9333314895629883,True,0.00048683834029361606,0.000671367219183594,0.0006578846951015294,0.00018452887888997793,0.0001767511130310595,0.0007834841962903738,0.000841795583255589,5.184209866892545,4.9656989717376145,8.494329163699147,14.293651486064388,13.91960776842308,18.582581726472874,0.49169435215946844,0.00036066200118511915,0.0002425505081191659,1.486956279670726,1.3790352230243146,True,True,False,False,False,0.002927698427811265,0.003330359933897853,0.003335357643663883,0.0004026615060865879,0.00042347353883087635,0.003399607492610812,0.0034330440685153008,3.3066484684579183,3.4775564771926764,4.005174989038529,10.38776054584725,10.825483837459743,12.052429909596764,0.0,0.0005211599636822939,0.0006799802649766207,0.7664339548151631,1.1375351717449997,False,False,False,False,True,0.00047096872003749013,0.000649601046461612,0.0006180954515002668,0.00017863232642412186,0.00015380617696791887,0.0008119411068037152,0.0008530023042112589,5.161501652776571,4.444161101850586,10.045245128807524,14.2555214148618,12.955795876558343,20.039210781445504,0.46179401993355484,0.00038871302967891097,0.0002798322821035981,1.3890928764787887,1.379287028679744,True,True,False,False,True,0.0004328567301854491,0.0005640239687636495,0.0005547699984163046,0.00013116723857820034,0.00012692325981333852,0.0006337279337458313,0.0006799449911341071,5.145526915781334,4.979040930398774,8.076462099408001,14.22859708595006,13.942913928494793,18.14442318780365,0.49169435215946844,0.00025209825253114104,0.00016817479627206922,1.4990251697602919,1.3030269126738638,True,True,False,False,False,0.00021902407752349973,0.0002450216852594167,0.00024126835342030972,2.5997607735916972e-05,2.8296897653490305e-05,0.00031318081892095506,0.0003519029123708606,0.4303039327927544,0.46836103036160637,1.658632729053329,-7.324493692692997,-6.588384945050004,4.3950046173690485,0.0,0.00013893145660404116,0.00017291757103521377,0.8034548240083045,1.1186974876455198,False,False,False,False
IMG_0274.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0274.MOV,30.0,30.0,466,15.5,150,83,0,0.0,0.0,auto_platform,2.2333333492279053,5.0,2.7666640281677246,True,0.0005009855958633125,0.0006996973534114659,0.0006805392913520336,0.0001987117575481534,0.0001820232137106359,0.0008293301798403263,0.0009202215587720275,6.8630156625075465,6.286634379615558,11.425505932729935,16.730299800435716,15.968364064542357,21.157508803158038,0.629746835443038,0.0004217054811306298,0.0002891248441301286,1.458558438308503,1.3966416583409502,True,True,True,False,False,0.0029651361983269453,0.0032908727880567312,0.0032911929301917553,0.0003257365897297859,0.00034614093601703644,0.003354787826538086,0.0033764394465833902,3.2423499440088777,3.4454527980569467,4.07847013509859,10.217197721355834,10.744926091057842,12.209945730022522,0.015822784810126583,0.0004313874524086714,0.0007830876857042313,0.5508801380534089,1.1098555236395482,False,False,False,False,True,0.00048270061961375177,0.0006834470550529659,0.0006573136197403073,0.0002007464354392141,0.00017787300748750567,0.0008541313000023365,0.0009542143670842052,5.750964169527084,5.095688451695641,10.734102028703356,15.194813236061101,14.144057351045285,20.615314379654347,0.5126582278481012,0.0004747737548314035,0.00030648079700767994,1.5491142005203882,1.41588186814396,True,True,True,False,True,0.0004460676573216915,0.0005878180963918567,0.0005723127396777272,0.00014175043907016516,0.00013125824625603855,0.0006762752891518176,0.0007419010507874191,6.894313152590647,6.38400458922779,11.440428942603457,16.769820119742516,16.101863810824604,21.168846160317383,0.6677215189873418,0.0003008465573657304,0.00024248173576779664,1.2406978051898498,1.3177778902897206,True,True,True,False,False,0.00022189448645804077,0.00024397496599704027,0.00023977906676009297,2.2080479538999498e-05,1.7658996512182057e-05,0.0003129680408164859,0.00033754168543964624,0.36679891792120634,0.2933496440057946,1.5091582246225443,-8.711439083897597,-10.652288689700413,3.574695497674123,0.0,0.00011542161519173533,0.00015425872697960585,0.7482339408064409,1.0995089147614978,False,False,False,False
IMG_0275.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0275.MOV,30.0,30.0,475,15.800000190734863,150,145,5,0.16666650772094727,0.03333333333333333,auto_platform,0.10000000149011612,5.0,4.833328723907471,True,0.0005269618122838438,0.0006811746279709041,0.0006519295857287943,0.00015421281568706036,0.0001262964215129614,0.0008175488328561187,0.0009447095217183232,6.870859017520087,5.627060907789785,13.006126600415918,16.74022074773206,15.005632320402935,22.282959541483795,0.5938461538461538,0.0004190763575024903,0.00012996402801945806,3.2245565475990534,1.292645144472053,True,True,True,False,False,0.0030173934064805508,0.003227024106308818,0.0032316751312464476,0.0002096306998282671,0.0002265146467834711,0.0032872117590159178,0.003304816083982587,2.3692931105743207,2.5601192597644835,3.1878066627380504,7.492375831851961,8.165203936324767,10.06983948000116,0.0,0.0002996555995196104,0.00047627114690840244,0.6291701722112527,1.0694741028392376,False,False,False,False,True,0.0005069157923571765,0.0006597412284463644,0.0006152330315671861,0.00015282543608918786,0.00011272128904238343,0.0008370663854293525,0.0009855260141193867,5.838335492857172,4.306251102288326,12.780871404351116,15.325780951478393,12.68198700839623,22.13120930367706,0.4461538461538462,0.000483014271594584,0.00012196681927889585,3.9602104445316204,1.3014809133851288,True,True,False,False,True,0.0004801668110303581,0.0005851797759532928,0.0005620247102342546,0.00010501296492293477,8.388111018575728e-05,0.0006830664933659136,0.0007876887102611363,6.006312656045141,4.797656880572446,11.720752466603036,15.57215870931042,13.62058369630224,21.37910988142871,0.4676923076923077,0.000309545110212639,0.00012064029579050839,2.5658517179878553,1.21870100663058,True,True,False,False,False,0.00022537748736795038,0.00023593829246237874,0.00023020491062197834,1.056080509442836e-05,5.53172139916569e-06,0.0002965005405712873,0.0003420308348722756,0.16728997038846297,0.08762603805195458,1.1377916146286433,-15.530601914226864,-21.14733648348647,1.1212545750311105,0.0,0.00011735764564946294,0.00010203057900071144,1.150220324130912,1.046858296353206,False,False,False,False
IMG_0276.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0276.MOV,30.0,30.0,461,15.333333015441895,150,36,1,0.03333330154418945,0.02702702702702703,auto_platform,3.7666666507720947,5.0,1.1999988555908203,True,0.0004473720910027623,0.0006982135819271207,0.0006646118708886206,0.00025084149092435837,0.0002261173794977367,0.0009138947352766991,0.0009898869320750237,6.465831260133516,5.828528667359974,12.254183893839667,16.212487331371804,15.311178737402617,21.765687866712526,0.639871382636656,0.0005513924406841397,0.0003696305211633444,1.4917394779758257,1.5606999094693403,True,True,True,False,False,0.0028764514718204737,0.003432611236348748,0.0034415083937346935,0.0005561597645282745,0.0006120731122791767,0.0035188766196370125,0.0035328904632478952,2.975419462871855,3.2745523267414036,3.688467427832689,9.4709639899917,10.303038695317628,11.336919052756686,0.0,0.0007034551817923784,0.0010003710631281137,0.703194252333436,1.193349260356646,False,False,False,False,True,0.00042538924026302993,0.0006709321169182658,0.0006154797738417983,0.0002455428766552359,0.00019851900287903845,0.0009296521893702447,0.0010218922980129719,5.62736969748713,4.549673101473945,11.749899615939254,15.00610895282038,13.159603865774175,21.40068312546594,0.42443729903536975,0.000604931527050212,0.00038353833951987326,1.577238739176601,1.5772192933309972,True,True,False,False,True,0.00039652647683396935,0.000578097125981003,0.000550000520888716,0.0001815706491470337,0.00016098294872790575,0.0007172346231527627,0.0007850588881410658,6.1671432144815315,5.467871071444873,11.148065881854158,15.801680676120952,14.756365313160085,20.94399053207968,0.6366559485530546,0.0003960413159802556,0.00030705914832651615,1.2897883620751753,1.4579029642529007,True,True,True,False,False,0.00022713172074873,0.0002425298880552873,0.00023701318423263729,1.5398167306557298e-05,1.1488969903439283e-05,0.0003021173761226237,0.0003546687657944858,0.3109268841089738,0.23199057021395803,1.546604389104332,-10.146834506360296,-12.690593352809067,3.7875847665378384,0.0,0.0001291445514652878,0.0001851001288741827,0.697701034844069,1.067793997490962,False,False,False,False
IMG_0277.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0277.MOV,30.0,30.0,470,15.633333206176758,150,96,1,0.03333330154418945,0.010309278350515464,auto_platform,0.03333333507180214,3.2333333492279053,3.1999969482421875,True,0.0005199221195653081,0.0007117899367585778,0.000665864790789783,0.00019186781719326973,0.00015473389066755772,0.0009168474352918565,0.0009876270778477192,6.416346747930314,5.174532710607263,13.56776769078985,16.145756515259087,14.27742273333154,22.650167978512513,0.525,0.0004764961777254939,0.00012549792882055044,3.7968449535676085,1.3690318414490326,True,True,True,False,False,0.0029838632326573133,0.0032715543638914824,0.0032754610292613506,0.000287691131234169,0.00030791759490966797,0.003336347173899412,0.00335051235742867,2.7949369894588236,2.991438324936499,3.5829509553899705,8.927440427355466,9.517601066737873,11.084817268824407,0.003125,0.00038296892307698727,0.0004534756299108267,0.8445193033907816,1.0964156560815164,False,False,False,False,True,0.0004980442463420331,0.000695433875080198,0.0006348407478071749,0.0001973896287381649,0.00014531536726281047,0.0009569126996211708,0.001033228705637157,5.933950977852093,4.368488208718978,14.050654316546881,15.466879083174707,12.806623356316965,22.95393098225834,0.440625,0.0005437033250927925,0.00013537064660340548,4.016404876056156,1.3963295032277254,True,True,False,False,True,0.00047070730943232775,0.0006018661661073565,0.00056688510812819,0.0001311588566750288,0.00010048868716694415,0.0007447818643413484,0.0008112444775179029,6.121421494173237,4.68998911045019,12.992753062754861,15.737045682750775,13.423436686809627,22.274023688559005,0.4625,0.00034484805655665696,0.00010013245628215373,3.443918878659507,1.2786420649239676,True,True,False,False,False,0.00021182787895668298,0.0002424957201583311,0.00023701319878455251,3.0667841201648116e-05,3.5956225474365056e-05,0.00030726613476872444,0.00034939232864417136,0.4920890747729858,0.5769452635961311,1.7042075981447757,-6.159125538923197,-4.777307752336616,4.6304499452000245,0.003125,0.0001483353553339839,0.0,14833.53553339839,1.1447771716957023,False,False,False,False
IMG_0278.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0278.MOV,30.0,30.0,462,15.366666793823242,150,141,9,0.2999997138977051,0.06,auto_platform,0.30000001192092896,5.0,4.699995517730713,True,0.0004996625357307494,0.000681178760714829,0.0006584800430573523,0.0001815162249840796,0.00016713986406102777,0.000813970051240176,0.0008459498058073223,5.88413508410296,5.418102641567999,10.458556807338883,15.393652688339937,14.676944562648632,20.389435193776947,0.5801282051282052,0.0003546096268109977,0.0002493367064744234,1.4222118829799055,1.363277636412373,True,True,True,False,False,0.0030287590343505144,0.0032517306972295046,0.0032495716586709023,0.00022297166287899017,0.0002458945382386446,0.003312519518658519,0.003342841984704137,1.903521350812896,2.099215198657615,2.6366045418919537,5.591155048678559,6.441139241385024,8.420899917420911,0.0,0.0003391648642718792,0.0007660218980163336,0.4427613168111381,1.0736181585758948,False,False,False,False,True,0.00048273010179400444,0.0006780806579627097,0.0006551027181558311,0.00019535055616870522,0.00018081284360960126,0.0008399100042879581,0.0008766414248384535,5.678189934701011,5.255627057248069,10.627359252720368,15.084198310513768,14.412490796461675,20.528507238821025,0.5288461538461539,0.0004023515502922237,0.0002444804413244128,1.645741263033488,1.4046786298238083,True,True,True,False,True,0.00045655990834347904,0.0005703960778191686,0.0005540243582800031,0.00011383616947568953,0.00010354610276408494,0.0006553495186381042,0.0006857215776108205,4.727393177749545,4.300066859628696,8.507902330705052,13.492434482385697,12.66950416527575,18.596449912626717,0.3782051282051282,0.0002352433220949024,0.0002365093387197703,0.9946470755373936,1.2493345722989946,True,True,False,False,False,0.0002072088682325557,0.00023656722623854876,0.00023190697538666427,2.9358358005993068e-05,2.6382069336250424e-05,0.00029837278998456895,0.00035313688567839563,0.46164607822756404,0.4148453684678648,1.4599883781368477,-6.713816990060801,-7.642275084338406,3.286987974166477,0.0,0.00014761197962798178,0.00019372958922758698,0.7619485501235034,1.1416848528560246,False,False,False,False
IMG_0279.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0279.MOV,30.0,30.0,470,15.633333206176758,150,93,0,0.0,0.0,auto_platform,1.899999976158142,5.0,3.099997043609619,True,0.0004950683796778321,0.0007123761461116374,0.0007096963236108422,0.00021730776643380523,0.00022062764037400484,0.0008533840882591903,0.0008814079337753356,7.496873829262645,7.611405750818771,12.568472219520354,17.497604036540483,17.629297480858266,21.98564979085991,0.765625,0.00039233925053849816,0.00017348461551591754,2.261521861011937,1.4389449525643694,True,True,True,False,False,0.0029745162464678288,0.0032881691586226225,0.003289839718490839,0.00031365291215479374,0.0003348181489855051,0.0033594754058867693,0.0033827731385827065,3.0596413229211583,3.2661053176973267,3.9453919381941227,9.713410355734897,10.280603694708319,11.921803056561266,0.003125,0.00042775156907737255,0.000715076457709074,0.5981899760030998,1.1054466965938579,False,False,False,False,True,0.00048062059795483947,0.0007139298249967396,0.000715962378308177,0.00023330922704190016,0.00024275359464809299,0.0008826279663480818,0.0009243296808563173,6.697105788318934,6.968204920420927,11.752315212703412,16.5177431832041,16.862418277705782,21.40246862586498,0.646875,0.00045112089719623327,0.00018293294124305248,2.4660451755206565,1.4854332669775059,True,True,True,False,True,0.0004422837228048593,0.000587203074246645,0.0005845973500981927,0.0001449193514417857,0.00014621857553720474,0.0006777256494387984,0.0007011928246356547,7.944460947570615,8.01568425201899,13.120966119929564,18.001288690558937,18.07881202897987,22.359316281748104,0.78125,0.00026281405007466674,0.00015937606804072857,1.6490182830179032,1.3276615076918077,True,True,True,False,False,0.00021192600252106786,0.00023648263595532626,0.000232119724387303,2.45566334342584e-05,1.8084479961544275e-05,0.0003070533857680857,0.0003490944509394467,0.39596247186205036,0.29160248724985866,1.4998673687305328,-8.046919465103569,-10.704175519681954,3.5210571334446468,0.0,0.00013505920651368797,0.00016019883332774043,0.8430723477079204,1.1158736216515819,False,False,False,False
IMG_0280.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\sparse_back\distance_5\IMG_0280.MOV,30.0,30.0,479,15.933333396911621,150,37,0,0.0,0.0,auto_platform,3.7666666507720947,5.0,1.2333321571350098,True,0.00044492873712442815,0.0007361509487964213,0.0007016544113866985,0.00029122221167199314,0.00026047727442346513,0.0009809787152335048,0.0010742213344201446,6.891077664214249,6.163572199762839,12.773114309411042,16.76574289105134,15.796649753004557,22.125935975798917,0.6899696048632219,0.0006330441974569112,0.000262107903836295,2.4152045329098213,1.6545367547040468,True,True,True,False,False,0.002874123863875866,0.0034045237116515636,0.003417707746848464,0.0005303998477756977,0.0005764132365584373,0.003493419848382473,0.0035186600871384144,2.59023308303901,2.8149416729596295,3.184685350304599,8.266776919641032,8.989388009507772,10.061330602332731,0.0,0.0006773655768483877,0.0008387675043195486,0.8075725077092747,1.1845431418047632,False,False,False,False,True,0.00043399265268817544,0.0007386064971797168,0.0006918744766153395,0.0003046138444915414,0.0002667043008841574,0.001016966998577118,0.0011380993528291583,7.107357675662538,6.222838831193911,13.808012233677585,17.034163434662123,15.879771061857022,22.802623262985136,0.6656534954407295,0.0007129291770979762,0.00027811224572360516,2.563458416737618,1.7018871001726543,True,True,True,False,True,0.00039195767021737993,0.0005974288797006011,0.000565510883461684,0.00020547120948322117,0.00018153191194869578,0.0007708585471846163,0.0008715016301721334,6.973317384427928,6.160861371303955,13.129985838387594,16.86878864374801,15.792828732417195,22.36528515345228,0.7386018237082067,0.00048752265865914524,0.00021662071230821311,2.25058192018816,1.5242178558956807,True,True,True,False,False,0.00022076301684137434,0.00023070414317771792,0.0002259497414343059,9.941126336343586e-06,7.2338152676820755e-06,0.0002994790847878903,0.00034671160392463207,0.17508587064816697,0.12740395820338812,1.4224231203867208,-15.13497799747735,-17.896341581428445,3.0605760560824864,0.0,0.00012799567775800824,0.0001839257893152535,0.6959093568907859,1.0450307595836428,False,False,False,False
