\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_active_p95,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_active_peak,highpass_abs_pre_transient_peak,highpass_abs_active_peak_over_pre,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_pulse_detected,highpass_abs_persistent_detected,highpass_abs_transient_suppressed,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_active_p95,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_active_peak,highpass_topk_pre_transient_peak,highpass_topk_active_peak_over_pre,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_pulse_detected,highpass_topk_persistent_detected,highpass_topk_transient_suppressed,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_active_p95,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_active_peak,mean_removed_abs_pre_transient_peak,mean_removed_abs_active_peak_over_pre,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_pulse_detected,mean_removed_abs_persistent_detected,mean_removed_abs_transient_suppressed,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_active_p95,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_active_peak,raw_abs_pre_transient_peak,raw_abs_active_peak_over_pre,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_pulse_detected,raw_abs_persistent_detected,raw_abs_transient_suppressed,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_active_p95,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_active_peak,temporal_abs_pre_transient_peak,temporal_abs_active_peak_over_pre,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_pulse_detected,temporal_abs_persistent_detected,temporal_abs_transient_suppressed
IMG_0170.MOV,data/distance_layout\sparse_front\distance_2\IMG_0170.MOV,30.0,30.0,475,15.800000190734863,150,105,8,0.2666664123535156,0.07079646017699115,auto_platform,0.20000000298023224,3.7666666507720947,3.4999966621398926,True,0.0005320181953720748,0.0011384569806978106,0.0011379284551367164,0.0006064387853257358,0.0006132242269814014,0.0012922511668875813,0.0013499167980626225,18.278926273906322,18.483449122314152,23.134954828645576,25.23901362334663,25.335660327960923,27.285373117402028,1.0,0.0008252125699073076,0.00019455444999039173,4.2415507327026525,2.1398835427078087,True,True,True,False,False,0.0030338650103658438,0.0030659118201583624,0.003079318441450596,3.2046809792518616e-05,8.0442288890481e-05,0.0032184114679694176,0.0032747548539191484,0.26459934808960744,0.6641839651766573,1.812626645710888,-11.548224602927649,-3.5542322681991116,5.16616719712998,0.0,0.0002758787013590336,0.0006838343106210232,0.40342915977482136,1.0105630308807492,False,False,False,False,True,0.0005171607481315732,0.0017773800063878298,0.001674699829891324,0.0012602192582562566,0.0011638570576906204,0.002479006303474307,0.0025817095302045345,32.35444268966155,29.880472168083813,50.52996433698768,30.198678468644825,29.50774911746773,34.07097983444404,1.0,0.002070866758003831,0.00021029077470302582,9.847634832903745,3.436803765191473,True,True,True,False,True,0.0004841619520448148,0.0016916432650759816,0.0016150852898135781,0.0012074813130311668,0.0011368894774932414,0.002394674811512232,0.002499317517504096,49.00956986936365,46.1443698379713,77.78655487286946,33.80561781920521,33.28237439002787,37.81809074464473,1.0,0.0020211217051837593,0.00018694656318984926,10.811226859149349,3.49396159266848,True,True,True,False,False,0.0002454505884088576,0.00031590284197591245,0.0003055214765481651,7.045225356705487e-05,5.1487586461007595e-05,0.0004272194637451321,0.000468920188723132,1.1395347971810537,0.8327894911032713,2.8012019142182627,1.1345518293446373,-1.5892952757298513,8.9468882890763,0.006153846153846154,0.00021488629863597453,8.746510138735175e-05,2.456823295548698,1.2870323270510948,False,False,False,False
IMG_0171.MOV,data/distance_layout\sparse_front\distance_2\IMG_0171.MOV,30.0,30.0,467,15.533333778381348,150,116,2,0.0666666030883789,0.01694915254237288,auto_platform,1.0666667222976685,4.9666666984558105,3.8666629791259766,True,0.0005359846400097013,0.0011326682288199663,0.0011445387499406934,0.0005966835888102651,0.000614746764767915,0.0012802224373444915,0.00132531498093158,13.72903708816585,14.144651020412775,17.266584339108736,22.75280156489393,23.011844738541463,24.744128686044977,0.9779179810725552,0.0007955229957588017,0.00010238686809316278,7.769775661415367,2.1132475527646934,True,True,True,False,False,0.0029755914583802223,0.0030576535500586033,0.0030499265994876623,8.206209167838097e-05,7.479987107217312e-05,0.0032098570372909307,0.0033427607268095016,0.8981972389572226,0.8187097878847004,2.5692023079036543,-0.9325656856995592,-1.7374003495581563,8.195966069342989,0.012618296529968454,0.00036763399839401245,0.0004807885270565748,0.7646480265340289,1.0275784135107888,False,False,False,False,True,0.0005200987216085196,0.0016443594358861446,0.0016094339080154896,0.001124260714277625,0.0010979855433106422,0.0022765251342207193,0.002380465855821967,22.395165849974326,21.871766958534717,35.16016035181277,27.003085660206203,26.797677397692198,30.921016941088524,0.9779179810725552,0.0018690174911171198,9.664869867265224e-05,19.33825821543087,3.161629451425302,True,True,True,False,True,0.0004794615088030696,0.0015734219923615456,0.0015499074943363667,0.001093960483558476,0.001073546416591853,0.002220764057710767,0.0023325025103986263,41.717130766355304,40.93865995875394,66.52112971005883,32.40628861484525,32.24267245678699,36.45919232227813,0.9905362776025236,0.0018561414326541126,0.00010312773520126939,17.998469849372448,3.281644018285107,True,True,True,False,False,0.00022356168483383954,0.0003213904856238514,0.00031232976471073925,9.782880079001188e-05,9.191173012368381e-05,0.00043896373244933784,0.0004787071084138006,1.5390777635888366,1.4459882867212115,3.438239262789621,3.7452112717994144,3.203295499101823,10.726721908298577,0.015772870662460567,0.00025828907382674515,0.0001750535739120096,1.47548586443927,1.4375919821087517,False,False,False,False
IMG_0172.MOV,data/distance_layout\sparse_front\distance_2\IMG_0172.MOV,30.0,30.0,492,16.366666793823242,150,148,2,0.0666666030883789,0.013333333333333334,auto_platform,0.03333333507180214,5.0,4.933328628540039,True,0.0005475666257552803,0.0011015112977474928,0.0011159621644765139,0.0005539446719922125,0.0005736591410823166,0.0012701555388048291,0.0013090758584439754,18.260788046833255,18.910675589239833,23.99366071248147,25.2303903128224,25.53414088831047,27.601930266521606,0.9678362573099415,0.0007667728350497782,0.0001611513434909284,4.758091483692419,2.0116479820663553,True,True,True,False,False,0.0029986202716827393,0.003070001257583499,0.003069773316383362,7.13809859007597e-05,7.952703163027763e-05,0.003238665172830224,0.0032690304797142744,0.8112857417878485,0.903870211852437,2.8234227833161656,-1.8165231321691326,-0.877878521531906,9.015518297712532,0.0,0.0002787841949611902,0.0003419721033424139,0.8152249620257646,1.0238046099317213,False,False,False,False,True,0.0005341939395293593,0.0016601050738245249,0.001703433459624648,0.0011259111342951655,0.0011774723534472287,0.0022509628906846046,0.002369277412071824,25.440726654141972,26.605787414663826,38.97758672137758,28.110590234949807,28.49952233327197,31.81629892958083,0.9590643274853801,0.0018433163058944046,0.0001911925501190126,9.641151314457526,3.107682343395971,True,True,True,False,True,0.0004935507313348353,0.001612229272723198,0.0017537057865411043,0.0011186785413883626,0.0012648942647501826,0.002212157007306814,0.0022775207180529833,54.96101628722715,62.144639156370786,84.66848678478071,34.801095093786095,35.86807341249845,38.55443596054653,0.9678362573099415,0.0017887091962620616,0.00011304212966933846,15.82338550675086,3.2665928148112244,True,True,True,False,False,0.0002345865941606462,0.0003213950549252331,0.0003016918490175158,8.680846076458693e-05,7.169970194809139e-05,0.00045470785698853433,0.0004977064090780914,1.406191319630895,1.1614478313692083,3.640120765761285,2.9608882544637574,1.2999941482902235,11.222315843495984,0.029239766081871343,0.000267714262008667,0.0,26771.4262008667,1.3700486853274318,False,False,False,False
IMG_0173.MOV,data/distance_layout\sparse_front\distance_2\IMG_0173.MOV,30.0,30.0,504,16.766666412353516,150,145,5,0.16666650772094727,0.03333333333333333,auto_platform,0.1666666716337204,5.0,4.833328723907471,True,0.0005483048735186458,0.0011125780874863267,0.0011232940014451742,0.0005642732139676809,0.0005831564776599407,0.0012735024793073535,0.0013185619609430432,15.106749581951403,15.612293224335362,19.63368180699454,23.583420603156547,23.86933398889306,25.860034966556007,0.980225988700565,0.0007784244371578097,0.0002258032327517867,3.4473573636276926,2.029123105083056,True,True,True,False,False,0.0029994254000484943,0.0030444907024502754,0.003063174895942211,4.506530240178108e-05,9.593390859663486e-05,0.003192966105416417,0.003250301582738757,0.34859072885789366,0.7420713794781018,1.7460369560670845,-9.153683351944524,-2.591086362815971,4.841068632135048,0.0,0.00028306059539318085,0.000633688410744071,0.4466873475890363,1.0150246451873923,False,False,False,False,True,0.0005335138994269073,0.0015687743434682488,0.0016190633177757263,0.0010352604440413415,0.0010915393941104412,0.0020806181710213423,0.00215083546936512,24.432333042564444,25.760526406165216,36.6533041190733,27.759298794346932,28.21909466828728,31.28226260601046,0.9689265536723164,0.0016233115456998348,0.00018055521650239825,8.99066544376619,2.9404563689032335,True,True,True,False,True,0.0004950142465531826,0.0015174478758126497,0.00159488245844841,0.0010224336292594671,0.0011069950414821506,0.0020797927863895893,0.002191620646044612,34.36288934734156,37.20490702761643,53.50221911279749,30.721793472712733,31.412004472085826,34.56743591274445,0.9745762711864406,0.0017037332290783525,0.00020477530779317021,8.320013030082606,3.065463037435268,True,True,True,False,False,0.00023363546642940491,0.00032635501702316105,0.0003136063169222325,9.271955059375614e-05,8.765659003984183e-05,0.0004544100083876401,0.0004940257058478892,1.4064717258222488,1.3296711932222411,3.4655358481878067,2.9626201201018647,2.474885200940096,10.795407912686217,0.022598870056497175,0.0002680759789654985,2.5156608899123967e-05,10.656284399875286,1.3968556315989473,False,False,False,False
IMG_0174.MOV,data/distance_layout\sparse_front\distance_2\IMG_0174.MOV,30.0,30.0,476,15.833333015441895,150,61,1,0.03333330154418945,0.016129032258064516,auto_platform,2.933333396911621,5.0,2.0333313941955566,True,0.00048630897072143853,0.0011424145195633173,0.0011637916322797537,0.0006561055488418788,0.000685554085066542,0.0013287203619256616,0.0013761240988969803,19.25240648515885,20.116528410039535,24.95610787988049,25.689700451336236,26.0710606982046,27.943537086478216,0.9815950920245399,0.0008978865516837686,0.0003667163255158812,2.4484499031251454,2.3491537033926133,True,True,True,False,False,0.0029209116473793983,0.003122375812381506,0.003126931842416525,0.00020146416500210762,0.00023611076176166534,0.003280350472778082,0.003388187848031521,1.750567958887199,2.0516201195587125,3.384709498528371,4.863579503926927,6.241938987933615,10.590428003406425,0.009202453987730062,0.0004973667673766613,0.0007891908753663301,0.6302236669244198,1.068973043119212,False,False,False,False,True,0.0004648272006306797,0.0015466008335351944,0.001550985500216484,0.0010817736329045147,0.0010993328469339758,0.0020818416960537434,0.0021718572825193405,25.44219218101524,25.855166655800357,38.34035296849575,28.11109057592779,28.250946829368274,31.67312213514154,0.9815950920245399,0.0017202046292368323,0.00042333893361501396,4.06342174707983,3.3272597460664075,True,True,True,False,True,0.0004300494911149144,0.0014554538065567613,0.0014361348003149033,0.0010254043154418468,0.0010121138184331357,0.0020655333064496517,0.0021571265533566475,45.6317450511279,45.040301693643144,73.04930432313365,33.18534154796434,33.07202581779192,37.272321686703265,0.9815950920245399,0.00173310557147488,0.0002364572137594223,7.329467957100207,3.384386766238136,True,True,True,False,False,0.00021920424478594214,0.00033003182034008205,0.0003191380528733134,0.00011082757555413991,8.638002327643335e-05,0.0004546653653960675,0.0004936001496389508,1.8443304009595538,1.4374879371650104,3.6928575182126107,5.316774499861637,3.152084178959928,11.347251031179544,0.018404907975460124,0.00026084212004207075,0.00015673507004976273,1.6642230737463828,1.5055904627319856,False,False,False,False
IMG_0175.MOV,data/distance_layout\sparse_front\distance_2\IMG_0175.MOV,30.0,30.0,473,15.733333587646484,150,37,0,0.0,0.0,auto_platform,3.7666666507720947,5.0,1.2333321571350098,True,0.0004349452501628548,0.0011495633516460657,0.0011758687905967236,0.0007146181014832109,0.0007573891198262572,0.001330995699390769,0.0013510361313819885,16.8980145904325,17.909387364937334,21.577551889079405,24.556713615265075,25.061614599640848,26.680043393244517,0.978328173374613,0.0009325564606115222,0.000502544455230236,1.855669584861463,2.643007024943115,True,True,True,False,False,0.002864711917936802,0.003192114643752575,0.0031918170861899853,0.000327402725815773,0.0003688028082251549,0.0033566071651875973,0.003406637581065297,2.0283361864394585,2.284819345103739,3.3057322882206304,6.142798774716841,7.177037343905491,10.385353594168752,0.0,0.0005836233031004667,0.0009491192176938057,0.6149104266570111,1.114288185058263,False,False,False,False,True,0.00042231931001879275,0.0016409332165494561,0.0016070506535470486,0.0012186139065306634,0.001202433864818886,0.0022398268338292837,0.0024541630409657955,24.056993889479756,23.73757921473678,36.229388655674775,27.62482715768574,27.50872854065454,31.181220113918965,0.9721362229102167,0.002049546252237633,0.0005257200391497463,3.898550748707221,3.885527319308313,True,True,True,False,True,0.00038171507185325027,0.0015404123114421964,0.001461188425309956,0.001158697239588946,0.0010937315237242728,0.0021595018915832043,0.002418957883492112,42.10474806311714,39.74402344432673,65.11934286508223,32.48662146129303,31.985436606870138,36.27420018666816,0.9752321981424149,0.002051500981906429,0.00040944639476947486,5.010426292949674,4.0355029838444665,True,True,True,False,False,0.00021676087635569274,0.00032064778497442603,0.000311053212499246,0.00010388690861873329,9.57414013100788e-05,0.00044517629430629313,0.00047351577086374164,1.850245844214084,1.705172790763577,4.0939307009390395,5.344588748514622,4.635367880915044,12.242809739394914,0.02786377708978328,0.00025820395967457443,0.00019696350500453264,1.3109228517670444,1.4792696466509045,False,False,False,False
IMG_0176.MOV,data/distance_layout\sparse_front\distance_2\IMG_0176.MOV,30.0,30.0,462,15.366666793823242,150,80,0,0.0,0.0,auto_platform,1.899999976158142,4.566666603088379,2.6666641235351562,True,0.0005511414492502809,0.0011729717953130603,0.0011748394463211298,0.0006218303460627794,0.0006324353162199259,0.0013086734106764197,0.0013713521184399724,18.088216544602258,18.396701001602597,22.289752769836277,25.147914971225184,25.29479899795674,26.962105029280554,1.0,0.0008289479883387685,0.00016157107893377542,5.130546839255413,2.128259082870027,True,True,True,False,False,0.0029054605402052402,0.0030552055686712265,0.0030554686672985554,0.00014974502846598625,0.0001575574278831482,0.003232433693483472,0.003286736784502864,1.9247592414311796,2.025176518251489,4.2998100940626385,5.687528270063483,6.129257662732507,12.668985498001252,0.05128205128205128,0.0003888255450874567,0.0005524689331650734,0.7037962168476878,1.0515391712927578,False,False,False,False,True,0.0005403221002779901,0.0018946398049592972,0.0017724824137985706,0.001354317704681307,0.001243585953488946,0.0026501817628741264,0.0026997681707143784,24.164736278003584,22.18897862829127,37.84953835402942,27.663641196505825,26.922746237244088,31.56121173668469,0.9903846153846154,0.0021708717104047537,0.00019357696874067187,11.214514435924414,3.5065006668883703,True,True,True,False,True,0.0004833446000702679,0.0018408176256343722,0.0017654664115980268,0.0013574730255641043,0.0012846738973166794,0.0025589051656425,0.002601787680760026,68.71178418193537,65.02688002946321,105.18870380259645,36.74062451304174,36.261858343730715,40.4393820701928,1.0,0.0021209951664786786,0.00010491229477338493,20.21684084844507,3.8084994129793874,True,True,True,False,False,0.00023130595218390226,0.00032688872306607664,0.00031169148860499263,9.558277088217437e-05,8.021004032343626e-05,0.0004284109454602003,0.0004770687664858997,1.4429426307952422,1.2108718499400202,2.9728994474372423,3.184981290971135,1.6619636587510813,9.463604405681968,0.022435897435897436,0.0002455873182043433,0.0001639433903619647,1.4980007285570949,1.4132309176643247,False,False,False,False
IMG_0177.MOV,data/distance_layout\sparse_front\distance_2\IMG_0177.MOV,30.0,30.0,466,15.5,150,65,0,0.0,0.0,auto_platform,2.8333332538604736,5.0,2.1666646003723145,True,0.0004931652802042663,0.0011474527418613434,0.0011683715274557471,0.0006542874616570771,0.0006806313176639378,0.0013264648150652647,0.0014485863503068686,21.175721031632683,22.0283281476027,27.14494668544566,26.516764138948012,26.859630747533743,28.673779860162213,0.9873417721518988,0.0009608461405150592,0.00017947476590052247,5.353655906410975,2.3267103097486403,True,True,True,False,False,0.0029297771397978067,0.0031010909005999565,0.003106643445789814,0.00017131376080214977,0.00018863542936742306,0.0032561603002250195,0.003298779483884573,1.5143739127501588,1.6674934454586203,2.9891877612738895,3.604662393570204,4.441282709561869,9.511063908842427,0.006329113924050633,0.00038077146746218204,0.0006118379533290863,0.6223403850486182,1.0584733079096837,False,False,False,False,True,0.0004797227738890797,0.0016926095122471452,0.001655207946896553,0.0012128867383580655,0.0011806944385170937,0.002312043681740761,0.002422649646177888,30.724625436350053,29.909135973675646,46.5479788994528,29.749731942207852,29.51607734301694,33.35801657557574,0.9746835443037974,0.0019481361377984285,0.00020226568449288607,9.631570192851704,3.5283076067564516,True,True,True,False,True,0.000439678318798542,0.0016215416835621,0.0016164658591151237,0.001181863364763558,0.0011809879215434194,0.00225286977365613,0.00236610509455204,52.068117621672506,52.02954913574064,80.06693049906188,34.33143754494936,34.3250012503027,38.069063588284536,0.9841772151898734,0.0019306271569803357,0.00013069674605503678,14.771807372827347,3.6880182948140336,True,True,True,False,False,0.00022934733715374023,0.0003271084278821945,0.0003157338942401111,9.776109072845429e-05,8.97841528058052e-05,0.0004557291395030916,0.0004960468504577875,1.528908797660833,1.4041555806349642,3.5935743004790806,3.687631593740451,2.9483046069847925,11.110532574530033,0.015822784810126583,0.0002700971090234816,0.00015179062029346824,1.779405792672054,1.4262577971983226,False,False,False,False
IMG_0178.MOV,data/distance_layout\sparse_front\distance_2\IMG_0178.MOV,30.0,30.0,467,15.533333778381348,150,56,2,0.0666666030883789,0.034482758620689655,auto_platform,3.066666603088379,4.933333396911621,1.8666648864746094,True,0.0004998826771043241,0.001165255205705762,0.001186426728963852,0.0006653725286014378,0.0007035587332211435,0.0013362776953727007,0.0014301348710432649,15.021022311403007,15.883089509737832,19.266028559752222,23.53398982392527,24.018699667773795,25.69584399488126,0.9652996845425867,0.0009472668753005564,0.00031596049666404724,2.9980547736249483,2.3310573842161295,True,True,True,False,False,0.0028819579165428877,0.003094049170613289,0.0031129159033298492,0.0002120912540704012,0.0002695242874324322,0.003241639817133546,0.0032872306182980537,1.9288600194834078,2.451183687827158,3.6218609605682666,5.706014226576066,7.787517156257888,11.178635483796054,0.006309148264984227,0.0004438390024006367,0.0006834554951637983,0.6494043950795441,1.0735927658252622,False,False,False,False,True,0.00048263539792969823,0.001844781800173223,0.0017060635145753622,0.0013621464022435248,0.0012351945333648473,0.002737957052886486,0.002819865243509412,27.196363706885826,24.66166611960245,45.26426208760722,28.69021681038662,27.840448275775408,33.115108895149824,0.9652996845425867,0.002348996262298897,0.00034583485103212297,6.792248540852552,3.822309362484718,True,True,True,False,True,0.00044260421418584883,0.0017550209304317832,0.0016471466515213251,0.0013124167162459344,0.0012155434815213084,0.0026537429075688124,0.0027903809677809477,47.8323470972812,44.301704634086306,80.98811750134264,33.594433837965475,32.92840874519924,38.1684260856837,0.9716088328075709,0.002358777797780931,0.0002244248171336949,10.510325140983648,3.9652151384506533,True,True,True,False,False,0.00022609411098528653,0.00031717956881038845,0.00030254284502007067,9.108545782510191e-05,7.638034003321081e-05,0.000432921398896724,0.00048211109242402017,1.4597196485298898,1.2240579975121535,3.3134819449231654,3.285389077500242,1.7560399150595132,10.405692169484816,0.022082018927444796,0.0002559485874371603,0.00014576951798517257,1.7558443697618247,1.4028652379673412,False,False,False,False
IMG_0179.MOV,data/distance_layout\sparse_front\distance_2\IMG_0179.MOV,30.0,30.0,477,15.866666793823242,150,150,0,0.0,0.0,auto_platform,0.0,5.0,4.999995231628418,True,0.0005765986279584467,0.001126380288042128,0.001140809734351933,0.0005497816600836813,0.0005678179441019893,0.0012730893213301897,0.0013381042517721653,14.880031504253594,15.368189793075446,18.948382739683595,23.452077014128662,23.732454306172688,25.551442969771344,0.9694189602446484,0.0007651124615222216,0.0,76511.24615222216,1.9534911000920765,True,True,True,False,False,0.0029661410953849554,0.0030270428396761417,0.003020540112629533,6.090174429118633e-05,6.22777733951807e-05,0.003196333535015583,0.003250101115554571,0.6654772211051349,0.6805131783661896,2.601419050268452,-3.5373361116044038,-3.343269202415,8.304206325427566,0.0,0.00029183877632021904,0.0,29183.877632021904,1.0205323153325188,False,False,False,False,True,0.0005695777363143861,0.0017802015645429492,0.0016334098763763905,0.001210623828228563,0.0010682757711037993,0.0026103768032044172,0.0026745502837002277,22.77780098230306,20.099532440249202,38.48109548790771,27.15023588094609,26.063719097681908,31.704948542565596,0.9571865443425076,0.0021094161784276366,0.0,210941.61784276366,3.125476034337731,True,True,True,False,True,0.0005128646153025329,0.0017110937042161822,0.001615428482182324,0.0011982290889136493,0.0011058892705477774,0.002535585779696703,0.0025823654141277075,52.00883576384212,48.000848900321955,87.94004767800655,34.32154264096551,33.624978359789026,38.88373393485945,0.9785932721712538,0.002072826202493161,0.0,207282.6202493161,3.336345798016944,True,True,True,False,False,0.00023036378843244165,0.0003218511992599815,0.0003067980578634888,9.148741082753986e-05,7.978451321832836e-05,0.0004495165776461363,0.000493089493829757,1.3621185203159734,1.1878788797940887,3.312756359980761,2.684297958874388,1.4954432149453294,10.403789928584938,0.009174311926605505,0.00026607594918459654,0.0,26607.594918459654,1.3971431944668258,False,False,False,False
