\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_persistent_detected,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_persistent_detected,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_persistent_detected,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_persistent_detected,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_persistent_detected
IMG_9922.MOV,data/distance_material\foam_board\distance_2\IMG_9922.MOV,30.0,30.0,495,16.46666717529297,150,136,14,0.46666622161865234,0.09333333333333334,auto_platform,0.4333333373069763,5.0,4.533329010009766,True,0.0007471761200577021,0.0010781477903947234,0.0010866117663681507,0.00033097167033702135,0.00035292445681989193,0.0012424602173268795,6.693558580703774,7.1375309067434864,10.289404102240677,16.51314137201084,17.070960036564152,20.247804477556915,0.8028985507246377,1.4429633943754272,True,True,False,0.003227307926863432,0.003151394659653306,0.003158812876790762,-7.591326721012592e-05,-4.649674519896507e-05,0.0032935626804828644,-0.7169494109862693,-0.4391302773322086,0.833490384879018,-120.0,-120.0,-1.5819881163133054,0.0,0.9764778357285836,False,False,True,0.0007411651313304901,0.0011992722284048796,0.0011645935010164976,0.00045810709707438946,0.00043820985592901707,0.001552862348034978,8.427634828850913,8.06159229524756,15.204437448679835,18.514114185491877,18.12841660965361,23.639407124981165,0.7942028985507247,1.6180904601543062,True,True,True,0.0007115768385119736,0.0011510252952575684,0.001078373403288424,0.00043944845674559474,0.00037580798380076885,0.0015397914685308933,10.752284738755133,9.195149936008622,20.48498005131772,20.630015134345214,19.27117630465275,26.228710907294715,0.8463768115942029,1.6175699277460394,True,True,False,0.000335044926032424,0.00040941438055597246,0.0004182835982646793,7.436945452354848e-05,6.233828025870025e-05,0.0005198972066864371,0.6785926236780112,0.5688127932003575,1.4959978261156774,-3.3678173091834047,-4.900612888539068,3.498619248822173,0.0,1.2219686040443167,False,False
IMG_9923.MOV,data/distance_material\foam_board\distance_2\IMG_9923.MOV,30.0,30.0,506,16.83333396911621,150,129,21,0.6999993324279785,0.14,auto_platform,0.699999988079071,5.0,4.2999958992004395,True,0.0006899544387124479,0.0010645673610270023,0.0010855874279513955,0.00037461292231455445,0.00040666747372597456,0.0012453636154532433,9.359639469675534,10.160516926650047,14.152497506542797,19.425182403509815,20.138316073683946,23.016661740809646,0.8904494382022472,1.5429531303742823,True,True,False,0.0032250499352812767,0.003221717430278659,0.0032307030633091927,-3.332505002617836e-06,2.223299816250801e-05,0.0033869054168462753,-0.03802494698071297,0.2536856135812396,2.0360043818484543,-120.0,-11.914083215237275,6.17557416691482,0.0,0.9989666811151787,False,False,True,0.0006820338894613087,0.0011764343362301588,0.0011324225924909115,0.0004944004467688501,0.00046344997826963663,0.0015428019687533379,11.280373642493036,10.57419942407739,19.937525710830805,21.04646970249511,20.484949934432098,25.99342520909321,0.8567415730337079,1.7248913205168481,True,True,True,0.0006543079507537186,0.0011030164314433932,0.001047685625962913,0.0004487084806896746,0.0003994091530330479,0.001549124252051115,15.277565410535175,13.599028597921613,30.671942837600433,23.681083036348063,22.670157741478455,29.734825723057266,0.8848314606741573,1.6857756812717815,True,True,False,0.0003347898309584707,0.00040358773549087346,0.00041445397073403,6.879790453240275e-05,5.02110633533448e-05,0.0005180674488656223,0.6415335723377289,0.4682131390902454,1.4343984498185756,-3.855612229288132,-6.591128064205005,3.1333961440830533,0.0,1.2054958011581207,False,False
IMG_9924.MOV,data/distance_material\foam_board\distance_2\IMG_9924.MOV,30.0,30.0,511,17.0,150,129,21,0.6999993324279785,0.14,auto_platform,0.699999988079071,5.0,4.2999958992004395,True,0.0007008607499301434,0.0010783500038087368,0.0011028274893760681,0.00037748925387859344,0.00041072512976825237,0.0012665308313444257,10.25566817811494,11.158623987402631,15.606133784372664,20.219279216301118,20.952212867797513,23.865906512138544,0.8947368421052632,1.5386080671748543,True,True,False,0.0032225672621279955,0.0032007053960114717,0.0032067005522549152,-2.1861866116523743e-05,-6.824266165494919e-06,0.003384404582902789,-0.24347800720060483,-0.07600260278446076,1.903106729559188,-120.0,-120.0,5.589262899306721,0.0,0.9932160093682304,False,False,True,0.0006917522405274212,0.001222682185471058,0.0012015928514301777,0.0005309299449436367,0.0005212533287703991,0.0016992047894746065,12.964910210962307,12.728614516913089,24.879924041061038,22.255390267817184,22.095622683590722,27.916981002209702,0.8614958448753463,1.7675146010930636,True,True,True,0.0006648139096796513,0.001166556146927178,0.0011058665113523602,0.0005017422372475266,0.00044589239405468106,0.0017169539351016283,17.505196110871857,15.556660816702694,36.876781786189845,24.863339610667023,23.83832765704775,31.335060268519204,0.8864265927977839,1.754710799431524,True,True,False,0.00033150112722069025,0.00041668646736070514,0.0004233898362144828,8.518534014001489e-05,5.7870347518473864e-05,0.0005242374609224498,0.7612656619742542,0.5171630275810442,1.418395958689327,-2.3692751853350873,-5.727450615178684,3.0359497039521903,0.0,1.2569684780688677,False,False
IMG_9925.MOV,data/distance_material\foam_board\distance_2\IMG_9925.MOV,30.0,30.0,505,16.799999237060547,150,122,28,0.9333324432373047,0.18666666666666668,auto_platform,0.699999988079071,5.0,4.066662788391113,True,0.0006841435097157955,0.0010766376508399844,0.0010792597895488143,0.0003924941411241889,0.0004048679256811738,0.001279676565900445,11.612809226873079,11.97891507258869,17.908689675007437,21.298745831722407,21.56834971778607,25.06127621979278,0.9323943661971831,1.5737014757141194,True,True,False,0.003216942772269249,0.0032125303987413645,0.0032297722063958645,-4.412373527884483e-06,2.4075154215097427e-05,0.0033580707386136055,-0.05830303847211028,0.31811781880075707,2.0133945700853704,-120.0,-9.948240079650484,6.078577860602826,0.0028169014084507044,0.9986283953926939,False,False,True,0.000674948503728956,0.0011702695628628135,0.0011275330325588584,0.0004953210591338575,0.0004641520790755749,0.001528578344732523,12.530837832315733,11.742312032116567,21.88812287053791,21.959602192088706,21.39507233675158,26.804170359797908,0.8901408450704226,1.733864963619161,True,True,True,0.0006472489912994206,0.0010961570078507066,0.0010343596804887056,0.000448908016551286,0.00039247050881385803,0.0014934279024600983,18.005129485436182,15.741492844561883,34.15413524454355,25.107924979692555,23.940918325914797,30.66886587640444,0.9267605633802817,1.6935630994960005,True,True,False,0.0003258870274294168,0.00041866840911097825,0.00042764501995407045,9.278138168156147e-05,6.872109952382743e-05,0.0005261097103357315,0.8808758236855174,0.652445070880595,1.5872788023028344,-1.1017061879259673,-3.709120910984881,4.013064328003201,0.0,1.2847041271124449,False,False
IMG_9926.MOV,data/distance_material\foam_board\distance_2\IMG_9926.MOV,30.0,30.0,516,17.16666603088379,150,131,19,0.6333327293395996,0.12666666666666668,auto_platform,0.4333333373069763,5.0,4.366662502288818,True,0.0007087625563144684,0.0010718784760683775,0.0010910490527749062,0.0003631159197539091,0.0003925649798475206,0.0012168071698397398,8.457363510181581,9.143264052393137,12.072306962695937,18.54469995242639,19.22202524265391,21.635805394380018,0.8961748633879781,1.5123237909774674,True,True,False,0.0032185453455895185,0.0031868505757302046,0.003201034851372242,-3.1694769859313965e-05,1.3049226254224777e-05,0.0033191365655511618,-0.2920591432208774,0.12024525990947707,1.2085221462575282,-120.0,-18.39864069172002,1.6450922659004998,0.0,0.990152455082621,False,False,True,0.0007008073152974248,0.001171762472949922,0.001153027405962348,0.0004709551576524973,0.0004638391546905041,0.001536280382424593,10.219283732986499,10.064873165161188,18.381102097660087,20.188409145498895,20.056166127925792,25.287430946859267,0.8852459016393442,1.6720180388708163,True,True,True,0.0006737321964465082,0.0010850748512893915,0.00104603823274374,0.00041134265484288335,0.00038053689058870077,0.0014347182586789131,11.173968565562925,10.337141561697115,20.89548833349178,20.964148905505702,20.28800927495883,26.40105050367052,0.8852459016393442,1.6105432648349653,True,True,False,0.0003364055883139372,0.0004162432160228491,0.0004236025852151215,7.98376277089119e-05,5.212589167058468e-05,0.0005235992139205337,0.720098611929337,0.470151522718367,1.3720750341598618,-2.8521605245901798,-6.55524305935904,2.7475572424369825,0.0,1.2373255096892344,False,False
IMG_9927.MOV,data/distance_material\foam_board\distance_2\IMG_9927.MOV,30.0,30.0,509,16.933332443237305,150,133,17,0.5666661262512207,0.11333333333333333,auto_platform,0.4333333373069763,5.0,4.433329105377197,True,0.0007348246872425079,0.0010875655570998788,0.0011053221533074975,0.00035274086985737085,0.00038796139415353537,0.0012402159627526999,7.1103521051878955,7.8203076291290685,10.539421187910431,17.03782215117437,17.864476746632853,20.456335212219297,0.8272980501392758,1.4800340489118036,True,True,False,0.0032213120721280575,0.003171100514009595,0.0031664432026445866,-5.021155811846256e-05,-3.19948885589838e-05,0.003334796754643321,-0.49490932204113064,-0.3153570452474348,1.3440167205762874,-120.0,-120.0,2.5680934340115673,0.0,0.9844126998582624,False,False,True,0.00073063193121925,0.0012118828017264605,0.0011938682291656733,0.0004812508705072105,0.00047733011888340116,0.0015302094398066401,8.762580940378255,8.69119217922227,14.81526854446622,18.852640851841894,18.781587062564682,23.41419055988915,0.8133704735376045,1.6586775775103586,True,True,True,0.000695659255143255,0.0011441196547821164,0.0010954246390610933,0.0004484603996388614,0.00041344837518408895,0.0014978296821936965,11.290984824309536,10.409479484918284,20.540918601715887,21.054636473769698,20.34858027228659,26.2523972319006,0.8746518105849582,1.6446552623619035,True,True,False,0.00033330489532090724,0.00041858109761960804,0.0004221132548991591,8.527620229870081e-05,5.4466217989102006e-05,0.0005381092778407037,0.7466791229221285,0.47690664899142365,1.492568772042689,-2.537319826695102,-6.431332452553274,3.478687018883085,0.0,1.2558504345296115,False,False
IMG_9928.MOV,data/distance_material\foam_board\distance_2\IMG_9928.MOV,30.0,30.0,516,17.16666603088379,150,136,14,0.46666622161865234,0.09333333333333334,auto_platform,0.4333333373069763,5.0,4.533329010009766,True,0.0006998954922892153,0.0010940247448161244,0.0010997949866577983,0.0003941292525269091,0.0004051355645060539,0.0012595662847161293,12.898241361431388,13.258433018092374,18.487095320555827,22.210609990337886,22.44984397789194,25.337373609499277,0.9426229508196722,1.5631258621737836,True,True,False,0.0032305384520441294,0.003198938211426139,0.0032225996255874634,-3.1600240617990494e-05,1.0267365723848343e-05,0.003361749229952693,-0.41129724951669233,0.13363630147792618,1.9447569900391362,-120.0,-17.48151104827988,5.777306822966185,0.0,0.9902182744186204,False,False,True,0.0006909588701091707,0.0012420114362612367,0.0011985097080469131,0.000551052566152066,0.0005104291485622525,0.001689234864898026,15.406971028709846,14.27117408965572,27.991440973555513,23.75434531840827,23.089194079929097,28.940505122417548,0.9180327868852459,1.7975186222951307,True,True,True,0.0006663435488007963,0.0011715041473507881,0.0010859956964850426,0.0005051605985499918,0.00042646133806556463,0.0016847664956003428,21.33846309882011,18.014131647452583,43.306778457689575,26.583262723757557,25.11226664495426,32.73111756511358,0.9426229508196722,1.758108335346111,True,True,False,0.00035255993134342134,0.00043115377775393426,0.00042700671474449337,7.859384641051292e-05,4.957278724759817e-05,0.0005418964428827167,0.7893065007439762,0.4978522495279406,1.6516729801554944,-2.055086406438974,-6.057990523737724,4.358481283745477,0.0,1.2229233654290574,False,False
IMG_9929.MOV,data/distance_material\foam_board\distance_2\IMG_9929.MOV,30.0,30.0,517,17.200000762939453,150,135,15,0.4999995231628418,0.1,auto_platform,0.4333333373069763,5.0,4.499995708465576,True,0.000703957979567349,0.0010756029514595866,0.001079057576134801,0.00037164497189223766,0.00037803954910486937,0.0012489466462284327,12.85810301775952,13.079341400553723,18.957131576842425,22.183538019216044,22.331717519969118,25.555452488530953,0.9237057220708447,1.5279363011420792,True,True,False,0.003217335557565093,0.003176731988787651,0.0031851239036768675,-4.060356877744198e-05,-1.813657581806183e-05,0.0033147905487567186,-0.5058401959941857,-0.22594587970229593,1.3894441743251822,-120.0,-120.0,2.856822043936415,0.0,0.9873797531992059,False,False,True,0.0006946754874661565,0.0011918741511180997,0.0011798670748248696,0.0004971986636519432,0.0004925801767967641,0.0015108637744560838,14.41704480015511,14.283124625448735,23.88088623694668,23.17752496007495,23.096464511755144,27.561008794769563,0.9209809264305178,1.7157279515727348,True,True,True,0.0006695960182696581,0.00109880103264004,0.0010585568379610777,0.00042920501437038183,0.00038947362918406725,0.0014617203269153833,19.155761659210555,17.38251829173546,35.37602592918347,25.645988496067055,24.802253901375238,30.97418087109778,0.9155313351498637,1.640990989581323,True,True,False,0.00035131347249262035,0.0004285737231839448,0.000419560179580003,7.726025069132447e-05,4.638140671886504e-05,0.0005391305894590914,0.7540167814791913,0.4526565562718655,1.6195967979931076,-2.4523797663523195,-6.884623698642401,4.188138189597323,0.0,1.2199182688416466,False,False
IMG_9930.MOV,data/distance_material\foam_board\distance_2\IMG_9930.MOV,30.0,30.0,522,17.366666793823242,150,132,18,0.5999994277954102,0.12,auto_platform,0.4333333373069763,5.0,4.399995803833008,True,0.0006876556435599923,0.0010753653477877378,0.001091298065148294,0.00038770970422774553,0.0004108492285013199,0.001230271765962243,13.351084864265907,14.147912358977667,18.933579710698687,22.510331128875887,23.01384721718524,25.544654647609583,0.8951612903225806,1.5638137458169803,True,True,False,0.003220159560441971,0.0031914697028696537,0.003194486489519477,-2.8689857572317123e-05,-1.0629650205373764e-05,0.003337391884997487,-0.40906717093784606,-0.15156021345211426,1.8860206874844516,-120.0,-120.0,5.510929042798907,0.002688172043010753,0.9910905478334808,False,False,True,0.000679456046782434,0.0011828286806121469,0.0011749151162803173,0.0005033726338297129,0.0005001532845199108,0.001498780446127057,15.026373309647227,14.93027125464436,24.598101846276112,23.537083481777042,23.48135396203579,27.81803190670682,0.8924731182795699,1.7408464995100645,True,True,True,0.0006533106788992882,0.0010856575099751353,0.0010521975345909595,0.00043234683107584715,0.0004039197228848934,0.0014065805589780211,20.31654448485118,18.980717397371336,35.63364037987554,26.156996868716607,25.566252460910533,31.037203854334855,0.8951612903225806,1.6617783009521203,True,True,False,0.00034706745645962656,0.00042442273115739226,0.0004187091253697872,7.735527469776571e-05,4.084967076778412e-05,0.0005361518706195056,0.7683538714263104,0.40575129237856195,1.5722856798023255,-2.2887743230147244,-7.834801764132743,3.9306291787185814,0.0,1.22288253553604,False,False
IMG_9931.MOV,data/distance_material\foam_board\distance_2\IMG_9931.MOV,30.0,30.0,532,17.700000762939453,150,133,17,0.5666661262512207,0.11333333333333333,auto_platform,0.4333333373069763,5.0,4.433329105377197,True,0.0007085835095494986,0.001070785103365779,0.0010887706885114312,0.00036220159381628036,0.00038608250906690955,0.0012126453220844269,10.150193295816003,10.819422559334475,14.290835984014354,20.129486256820954,20.68408165536169,23.101152697057987,0.8952879581151832,1.5111628889678226,True,True,False,0.0032172217033803463,0.0031678483355790377,0.003163210116326809,-4.937336780130863e-05,-4.158751107752323e-05,0.0033200441394001245,-0.5960313436648113,-0.5020411045680058,1.391246667109354,-120.0,-120.0,2.868082738837323,0.0,0.9846534145441603,False,False,True,0.0007015611627139151,0.0011680778115987778,0.0011812674347311258,0.00046651664888486266,0.0004886831156909466,0.0014601272996515036,10.643382274521802,11.149100945991716,17.51117216137851,20.541593216588364,20.944796953177303,24.866304356483763,0.8691099476439791,1.664969319396462,True,True,True,0.0006717499345541,0.001079642679542303,0.0010637086816132069,0.00040789274498820305,0.0003954604035243392,0.001369926263578236,15.16968906256321,14.707325471536649,26.095675867506074,23.619533580405715,23.35067406833801,28.331370987789928,0.8900523560209425,1.6072092068888069,True,True,False,0.0003554029972292483,0.00042150390800088644,0.0004161560209468007,6.610091077163815e-05,2.978622796945274e-05,0.0005267905653454363,0.6437856652733204,0.2901010949084338,1.3676192854512295,-3.825173953505322,-10.749012641334266,2.719304327223457,0.0,1.1859886137341733,False,False
