\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_active_p95,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_active_peak,highpass_abs_pre_transient_peak,highpass_abs_active_peak_over_pre,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_pulse_detected,highpass_abs_persistent_detected,highpass_abs_transient_suppressed,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_active_p95,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_active_peak,highpass_topk_pre_transient_peak,highpass_topk_active_peak_over_pre,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_pulse_detected,highpass_topk_persistent_detected,highpass_topk_transient_suppressed,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_active_p95,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_active_peak,mean_removed_abs_pre_transient_peak,mean_removed_abs_active_peak_over_pre,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_pulse_detected,mean_removed_abs_persistent_detected,mean_removed_abs_transient_suppressed,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_active_p95,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_active_peak,raw_abs_pre_transient_peak,raw_abs_active_peak_over_pre,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_pulse_detected,raw_abs_persistent_detected,raw_abs_transient_suppressed,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_active_p95,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_active_peak,temporal_abs_pre_transient_peak,temporal_abs_active_peak_over_pre,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_pulse_detected,temporal_abs_persistent_detected,temporal_abs_transient_suppressed
IMG_9610.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9610.MOV,30.0,30.0,498,16.566667556762695,150,93,0,0.0,0.0,auto_platform,1.899999976158142,5.0,3.099997043609619,True,0.0005779878119938076,0.0007726472103968263,0.0007505865069106221,0.0001946593984030187,0.00018636492313817143,0.0009171842830255628,0.0009635842288844287,4.847434140387929,4.640884017941848,8.789523920651751,13.710238345069916,13.332014298795327,18.879307048157415,0.4425287356321839,0.00039936264511197805,0.00025698053650557995,1.5540579475103808,1.3367880677821355,True,True,False,False,False,0.0030099451541900635,0.0032969291787594557,0.003292588284239173,0.0002869840245693922,0.0002993326634168625,0.0033706959802657366,0.003394113155081868,3.511711407555558,3.662816877532545,4.61859024354457,10.910376367597145,11.27630413324109,13.2901886761443,0.040229885057471264,0.0004008575342595577,0.0008451184257864952,0.47432113894157074,1.095345267062388,False,False,False,False,True,0.0005606045015156269,0.0007797488360665739,0.0007613511988893151,0.00021914433455094695,0.00021594285499304533,0.0009579926845617592,0.0009978048037737608,4.3186161028101,4.255525440667716,8.130684195036935,12.706891995553644,12.579063823754105,18.20254185807206,0.3649425287356322,0.000452396459877491,0.00035104900598526,1.2886988772629837,1.3909071974243472,True,True,False,False,True,0.0005184518522582948,0.0006602375069633126,0.0006461495067924261,0.0001417856547050178,0.00013317493721842766,0.0007624157587997615,0.0007954909815452993,5.7147144599838695,5.367656840975596,10.053803919372054,15.139890708444367,14.595694864401693,20.04660821747286,0.5660919540229885,0.00028251641197130084,0.00031751266214996576,0.8897799856494047,1.2734789240069675,True,True,True,False,False,0.00023350381525233388,0.00025683766580186784,0.0002525445888750255,2.3333850549533963e-05,1.9786559278145432e-05,0.00033194609568454325,0.00036820018431171775,0.37510902734102186,0.31808367802367893,1.594522040629228,-8.516849680610383,-9.949172309529299,4.052610535016308,0.0,0.00013544215471483767,0.00021335450583137572,0.6348220966183113,1.0999292046869489,False,False,False,False
IMG_9611.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9611.MOV,30.0,30.0,487,16.200000762939453,150,47,0,0.0,0.0,auto_platform,3.433333396911621,5.0,1.5666651725769043,True,0.0005467127775773406,0.0007958898786455393,0.000796404667198658,0.0002491771010681987,0.00026444863760843873,0.0009453854872845113,0.0010222091805189848,5.028785832146007,5.3369894602460075,8.34365674266287,14.029262802306093,14.545926902758954,18.427128578950004,0.5905044510385756,0.0004902531509287655,0.00027015176601707935,1.8147323563961861,1.4557733261190313,True,True,True,False,False,0.0029274425469338894,0.003405290190130472,0.0034103889483958483,0.0004778476431965828,0.0004882286302745342,0.0034923844505101442,0.0035125520080327988,2.3266925821725155,2.377238746779132,2.7764838393459246,7.334780105048525,7.521456004794542,8.869902999691861,0.0,0.0005903916899114847,0.0008555392269045115,0.6900813794916496,1.1632304086367349,False,False,False,False,True,0.0005432270118035376,0.0008062005508691072,0.0008097985992208123,0.00026297353906556964,0.00027818960370495915,0.0010036397725343704,0.001080632908269763,3.6319294700307982,3.842078649975146,6.519220511336794,11.202748123666812,11.691325018429135,16.283913424261634,0.258160237388724,0.0005490239127539098,0.000302436004858464,1.8153391260767568,1.484095108217255,True,True,False,False,True,0.00047946296399459243,0.0006759141688235104,0.0006741800461895764,0.00019645120482891798,0.00019729972700588405,0.0007868672255426645,0.0008504100260324776,4.5942285018432445,4.614072130561421,7.249386338113032,13.244251835559428,13.281687588963504,17.206024900382616,0.4094955489614243,0.0003735297068487853,0.0002482618729118258,1.5045794284386569,1.4097317615362959,True,True,False,False,False,0.00023365432571154088,0.00025404273765161633,0.0002480766561347991,2.0388411940075457e-05,1.1063471902161837e-05,0.0003432223165873438,0.0003813486546278,0.27794808801220283,0.1508244423852479,1.447911948914468,-11.120726182003352,-16.430565432872637,3.2148430429782824,0.0,0.0001443354703951627,0.00021031644428148866,0.6862776274497269,1.087258867893788,False,False,False,False
IMG_9612.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9612.MOV,30.0,30.0,469,15.600000381469727,150,90,0,0.0,0.0,auto_platform,2.0,5.0,2.999997138977051,True,0.000546799972653389,0.0008354190504178405,0.0007780096493661404,0.0002886190777644515,0.00023468455765396357,0.0010975500335916877,0.001146711758337915,11.979352964008115,9.740759942533538,23.003525101864504,21.56866722625848,19.77185680897737,27.235887863813154,0.8401253918495298,0.0006033866666257381,0.00014312495477497578,4.215803369680683,1.5278330142627938,True,True,True,False,False,0.0030333700124174356,0.0033252418506890535,0.003334246575832367,0.0002918718382716179,0.00031633838079869747,0.0034090967383235693,0.003423538524657488,3.2743484330215966,3.548825017194293,4.3885275171538884,10.302497841695416,11.001691720169974,12.846376516701113,0.012539184952978056,0.0004056303296238184,0.0005413095932453871,0.74934997399896,1.096220321647807,False,False,False,False,True,0.000523900322150439,0.0008498209062963724,0.0007927688420750201,0.0003259205841459334,0.00027486070757731795,0.0011562913423404098,0.0012197112664580345,12.7995304705524,10.794310555783197,25.070540856091167,22.143880771413208,20.663898174014662,27.98327406510943,0.8025078369905956,0.0007018031319603324,0.0001841505290940404,3.8110296799741565,1.622104187315893,True,True,True,False,True,0.0004995473427698016,0.0007141691166907549,0.0006608791300095618,0.00021462177392095327,0.0001619491376914084,0.0009276724886149168,0.0009872656082734466,10.917920973727771,8.238436644966768,21.8103531954352,20.76279892927948,18.316896125008554,26.773253971442447,0.786833855799373,0.0004883356159552932,0.00012074445839971304,4.044372904789589,1.4296325003571362,True,True,True,False,False,0.0002412494650343433,0.0002582877641543746,0.0002493531792424619,1.7038299120031297e-05,1.3403769116848707e-05,0.00033556297421455383,0.00039305046084336936,0.25487186564526043,0.2005037954447697,1.4900956218730463,-11.873562040663536,-13.957548039417764,3.464282773873981,0.003134796238244514,0.00015710105071775615,0.00018595531582832336,0.8448322653104153,1.0706252306822972,False,False,False,False
IMG_9613.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9613.MOV,30.0,30.0,476,15.833333015441895,150,115,3,0.09999990463256836,0.025423728813559324,auto_platform,1.1333333253860474,5.0,3.833329677581787,True,0.0005384617252275348,0.0008355050231330097,0.0008004779228940606,0.0002970432979054749,0.0002687183441594243,0.0010989746078848839,0.0011369750136509538,9.891569141889782,8.948345576855678,18.888312642368124,19.905303821041617,19.03485495601853,25.523863252836072,0.8190184049079755,0.0006052154349163175,0.0003684204421006143,1.6427303313181392,1.5516516476263098,True,True,True,False,False,0.003052040236070752,0.003310601459816098,0.003324460471048951,0.00025856122374534607,0.0002913570497184992,0.0033943234011530876,0.0034190588630735874,2.718339236289253,3.0631325476681446,3.797624523352979,8.686073074825343,9.723315799503167,11.590240463960068,0.0,0.00038595544174313545,0.0008453456684947014,0.45656523257569,1.0847175016533275,False,False,False,False,True,0.0005176839185878634,0.0008506869780831039,0.000817678461316973,0.00033300305949524045,0.0003121875342912972,0.0011603290913626552,0.0012167199747636914,9.060548115783941,8.494186749760706,17.81723178465763,19.143089420335524,18.582436099655492,25.01680459554802,0.7269938650306749,0.0007112290477380157,0.0004154960624873638,1.7117588154271517,1.6432555610450583,True,True,True,False,True,0.0004936187760904431,0.0007108841091394424,0.0006692045135423541,0.0002172653330489993,0.00018057244597002864,0.0009314350318163633,0.0009842413710430264,10.17879529567605,8.459747985445627,20.745144501917043,20.153927608344322,18.54714851335604,26.33832928575019,0.7975460122699386,0.000495609303470701,0.0004023921210318804,1.2316575737113782,1.440148032394114,True,True,True,False,False,0.00022154656471684575,0.0002545533934608102,0.0002468000748194754,3.3006828743964434e-05,2.297791070304811e-05,0.0003261591191403568,0.00039019944961182773,0.5115126380636501,0.35609272893435245,1.585933815143125,-5.822872632056947,-8.968737882085131,4.005701183996258,0.0,0.00016637728549540043,0.00040236106724478304,0.4135024460360675,1.1489837081705592,False,False,False,False
IMG_9614.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9614.MOV,30.0,30.0,477,15.866666793823242,150,58,0,0.0,0.0,auto_platform,3.066666603088379,5.0,1.9333314895629883,True,0.0004934445605613291,0.0008885428542271256,0.0008637833525426686,0.0003950982936657965,0.0003736320650205016,0.0011616264237090945,0.001209139358252287,11.359347866046345,10.742179018538607,19.30537230262016,21.107067989635425,20.62184771244787,25.713563627530228,0.8318042813455657,0.0007189880707301199,0.00019481993513181806,3.690526178666685,1.8006943945563882,True,True,True,False,False,0.0029885515104979277,0.0033757782075554132,0.003391649341210723,0.0003872266970574856,0.00042208260856568813,0.003486160421743989,0.0035086404532194138,2.494822192694036,2.7193916819313277,3.3283071904993786,7.940791973268028,8.689435295924087,10.44446806500537,0.0,0.000539073720574379,0.0006628111004829407,0.8133142613055159,1.129570026046822,False,False,False,False,True,0.0004696958349086344,0.000908824906218797,0.0009062604513019323,0.00043912907131016254,0.0004449507687240839,0.0012427809415385127,0.0012884919997304678,14.251274011349128,14.440208451078709,25.361475181350997,23.07707380810708,23.191469250406218,28.08349022432616,0.8287461773700305,0.0008271823171526194,0.00022621313109993935,3.656650315260329,1.9349222170462343,True,True,True,False,True,0.00044714342220686376,0.000750576495192945,0.0007110305596143007,0.00030343307298608124,0.0002679216559045017,0.000995740876533091,0.0010446362430229783,10.433100889438068,9.2120929304407,19.001439330441997,20.368268141726258,19.28716620845357,25.57572998704927,0.7492354740061162,0.0006015273393131793,0.0001814946299418807,3.314298277066401,1.678603459016563,True,True,True,False,False,0.00021696252224501222,0.0002585297916084528,0.0002489276812411845,4.156726936344057e-05,2.6807610993273556e-05,0.00034832849632948637,0.0003929652739316225,0.6239050600860717,0.4023695663355933,1.8943288039759825,-4.097629841534508,-7.907497501008337,5.549107258485285,0.0,0.0001708452036837116,0.00018094286497216672,0.9441942002520608,1.1915873254667428,False,False,False,False
IMG_9615.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9615.MOV,30.0,30.0,487,16.200000762939453,150,85,5,0.16666650772094727,0.05555555555555555,auto_platform,2.0,5.0,2.8333306312561035,True,0.0005725352675653994,0.0008085978333838284,0.0007804889464750886,0.000236062565818429,0.0002218864974565804,0.0009612691355869174,0.0009858140256255865,5.307863678494306,4.989114968376565,9.053955135860235,14.498395207593461,13.960470237357455,19.136766762988934,0.49851632047477745,0.0004272115766070783,0.0002167025813832879,1.971418955325951,1.4123109600256443,True,True,False,False,False,0.0030169417150318623,0.0033239664044231176,0.003321566851809621,0.0003070246893912554,0.000329276779666543,0.0033876411616802216,0.0034099631011486053,3.2894886105852597,3.5278993965953522,4.235825167003485,10.342567740983968,10.95032384140393,12.538760527421893,0.011869436201780416,0.0004176730290055275,0.0005829657893627882,0.7164623321414207,1.1017668614085283,False,False,False,False,True,0.0005580461001954973,0.0008178208372555673,0.0007828164380043745,0.00025977473706007004,0.00024180859327316284,0.001005560508929193,0.001043437048792839,4.542871261044512,4.228684134132087,8.123972990255261,13.146608593170427,12.524104925795971,18.195369416756325,0.4065281899109792,0.0005024292040616274,0.0002627763315103948,1.9120032659476887,1.465507664992309,True,True,False,False,True,0.0005222820327617228,0.0006910553784109652,0.0006679092184640467,0.0001687733456492424,0.0001539553632028401,0.0008048067102208734,0.0008421856327913702,5.68942435312351,5.189903591297003,9.804778768930307,15.10136654790539,14.303185807618068,19.828755977380016,0.5400593471810089,0.0003282317775301635,0.00017553847283124924,1.869856631632561,1.3231459921314979,True,True,True,False,False,0.00023228744976222515,0.0002601439191494137,0.0002540338900871575,2.7856469387188554e-05,2.3828979465179145e-05,0.00034509459510445595,0.00038475272594951093,0.407588807309797,0.34865959445990835,1.681036775319002,-7.795555010993013,-9.151967586455719,4.511544288342218,0.0,0.0001545478153275326,0.00023097936355043203,0.6690979356421537,1.1199224039684583,False,False,False,False
IMG_9616.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9616.MOV,30.0,30.0,483,16.066667556762695,150,147,3,0.09999990463256836,0.02,auto_platform,0.03333333507180214,5.0,4.89999532699585,True,0.0005845812847837806,0.0007944361423142254,0.0007838944438844919,0.00020985485753044486,0.0002115705283358693,0.0009450394427403808,0.0009884434984996915,4.801935809546388,4.841194091079213,8.528542335677953,13.62832700552337,13.699049890764305,18.617496192710103,0.4894894894894895,0.0004161195829510689,0.00016444572247564793,2.530437257270041,1.3589831953105787,True,True,False,False,False,0.0030974794644862413,0.0032873833552002907,0.003287503495812416,0.00018990389071404934,0.0002111776266247034,0.0033551491796970367,0.0033767609857022762,1.6632667874321172,1.8495920820416558,2.442064510570461,4.419238309908301,5.341519151277372,7.755142645205312,0.0,0.00030043511651456356,0.0005280452314764261,0.5689571623903134,1.0613091685970377,False,False,False,False,True,0.0005722978385165334,0.0008049435564316809,0.0007988509023562074,0.00023264571791514754,0.00024662440409883857,0.0009916501585394144,0.0010416731238365173,4.224800356592324,4.478650540910308,7.979847010688586,12.516123822737304,13.022943534782502,18.039891303078125,0.43843843843843844,0.0004894466255791485,0.00021768879378214478,2.2483776820821073,1.4065116138096798,True,True,False,False,True,0.0005387542187236249,0.0006859202985651791,0.000675299612339586,0.00014716607984155416,0.00014632841339334846,0.0008030036115087569,0.0008413710747845471,4.285055234854057,4.260664784263744,7.979039906715975,12.639128488020837,12.589547332348264,18.039012743555173,0.3843843843843844,0.0003123998758383095,0.00015764421550557017,1.9816767449185044,1.2731599581534763,True,True,False,False,False,0.0002338724589208141,0.00025717096286825836,0.0002519063127692789,2.329850394744426e-05,2.4680004571564496e-05,0.00033309502759948373,0.0003882420714944601,0.3258177643078102,0.34513735005271695,1.4805203605959083,-9.740504813654233,-9.240160794230261,3.408287686497559,0.0,0.00016101576329674572,0.0,16101.576329674572,1.0996205541043753,False,False,False,False
IMG_9617.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9617.MOV,30.0,30.0,458,15.233333587646484,150,90,0,0.0,0.0,auto_platform,2.0,5.0,2.999997138977051,True,0.0005331264110282063,0.0008659108425490558,0.0008339676423929632,0.00033278443152084947,0.00030691485153511167,0.0011337210889905691,0.0012027625925838947,10.195556189455095,9.402986792092321,18.586568769776413,20.168218449115123,19.465316521542153,25.38398445827611,0.8344155844155844,0.0006757098017260432,0.00013424153439700603,5.033537531891572,1.624212990834631,True,True,True,False,False,0.0030217263847589493,0.00331761222332716,0.003321886993944645,0.0002958858385682106,0.00032194284722208977,0.003418967127799988,0.0034419859293848276,3.209832419731773,3.4925043838351564,4.545650294665708,10.129647183389798,10.862739198368473,13.151920431831648,0.00974025974025974,0.00044204178266227245,0.0006255055777728558,0.7066951892518442,1.097919467513871,False,False,False,False,True,0.000517738051712513,0.0008859973168000579,0.0008561385329812765,0.0003682592650875449,0.00034203415270894766,0.0012237768387421966,0.0012884569587185979,9.662472825399583,8.974372186190935,18.6205521353807,19.70176571049015,19.06008153362057,25.39985109015025,0.724025974025974,0.000774352578446269,0.000149966508615762,5.163503408819654,1.711284913035579,True,True,True,False,True,0.0004835218715015799,0.000742604024708271,0.000702308549080044,0.00025908215320669115,0.0002219154266640544,0.000989190535619855,0.0010603625560179353,11.636694700787148,9.967348339213308,22.852674677596116,21.316592807211148,19.9715927252763,27.17874074434626,0.8474025974025974,0.0005799694336019456,0.00013381888857111335,4.3339878233538105,1.535823027823147,True,True,True,False,False,0.0002216378488810733,0.0002580984146334231,0.0002491404302418232,3.6460565752349794e-05,3.48924077115953e-05,0.00033615875872783363,0.00038066779961809516,0.5657559021274631,0.5414229097912616,1.8916798769655554,-4.947418133305831,-5.329267428442877,5.536952879895466,0.0,0.00016641977708786726,0.00020605255849659443,0.80765693132909,1.1645051417725762,False,False,False,False
IMG_9618.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9618.MOV,30.0,30.0,455,15.133333206176758,150,146,4,0.1333332061767578,0.02666666666666667,auto_platform,0.03333333507180214,5.0,4.86666202545166,True,0.0005827112472616136,0.0007706683245487511,0.0007612810586579144,0.0001879570772871375,0.0001878045150078833,0.0009130363469012082,0.0010038182372227311,4.109334089047366,4.105998596796206,7.4238474810853425,12.2754290171651,12.268375932334088,17.41258081916377,0.32131147540983607,0.0004303416935727,0.00016506901010870934,2.6070410992910804,1.3225561170655633,True,True,False,False,False,0.0030672375578433275,0.0032491046003997326,0.003254145151004195,0.00018186704255640507,0.00018454180099070072,0.0033200792968273163,0.0033373830374330282,1.532868878457011,1.5554131168395677,2.1111399749840984,3.710100138208686,3.836915141025864,6.490340586076019,0.0,0.00026777968741953373,0.00046724313870072365,0.5731056600727329,1.0592934323236058,False,False,False,False,True,0.0005697932792827487,0.0007749500800855458,0.0007682976429350674,0.00020515680080279708,0.00021522160386666656,0.0009708194411359727,0.001073605613783002,3.559626203430866,3.7342581755532964,7.248165083932284,11.028087901532889,11.44408680971219,17.204561525120095,0.29508196721311475,0.000520529574714601,0.00021865416783839464,2.380606689826831,1.3600547922591275,True,True,False,False,True,0.0005331526044756174,0.0006678728968836367,0.0006565828225575387,0.0001347202924080193,0.0001301967422477901,0.0007812614785507321,0.000872547272592783,3.8694873076900973,3.739560185221467,7.320627805267725,11.753068529364189,11.456410544740308,17.290966541036784,0.2721311475409836,0.0003461611922830343,0.00015223369700834155,2.2738802189377734,1.2526861751721603,True,True,False,False,False,0.00022970068675931543,0.00025468264357186854,0.00024850215413607657,2.4981956812553108e-05,2.4254477466456592e-05,0.00032926537096500397,0.0003644981188699603,0.3757066876235534,0.36476603723786655,1.5793738801820203,-8.503021487491594,-8.759712098036356,3.9696990267558045,0.0,0.00014025044220034033,0.0,14025.044220034033,1.1087587380125234,False,False,False,False
IMG_9619.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_material\white_wall\distance_4\IMG_9619.MOV,30.0,30.0,472,15.699999809265137,150,137,13,0.4333329200744629,0.08666666666666667,auto_platform,0.4333333373069763,5.0,4.566662311553955,True,0.0005438430234789848,0.0008043709676712751,0.0007917759940028191,0.0002605279441922903,0.00025524053489789367,0.0009963741758838296,0.0010433861752972007,9.072916789400555,8.888782128881543,16.01393826222496,19.154938556860273,18.976845228541215,24.089962997190092,0.7981366459627329,0.0005068507161922753,0.00024781719548627734,2.045260479999023,1.4790498966515797,True,True,True,False,False,0.0030728348065167665,0.0032807018142193556,0.0032823216170072556,0.00020786700770258904,0.00023221108131110668,0.0033420175313949585,0.003368087112903595,2.164376240988686,2.4178543427302692,3.0394268578342603,6.7066551581018174,7.668602687700478,9.655833935681258,0.0,0.0003179765772074461,0.0007032856810837984,0.45213003159317605,1.067646658799149,False,False,False,False,True,0.0005285848747007549,0.0008178993593901396,0.0007921541109681129,0.0002893144846893847,0.00027173414127901196,0.0010847370140254498,0.0011233161203563213,7.663106148636363,7.197453563603142,14.947130686792196,17.688096828105532,17.143577431722164,23.491156633822754,0.6770186335403726,0.0006028961506672204,0.0003502049366943538,1.721552404023951,1.547337804270644,True,True,True,False,True,0.0005016785580664873,0.0006918600993230939,0.0006697979988530278,0.00019018154125660658,0.00017590494826436043,0.0008652384858578444,0.0009030676446855068,7.181462745186928,6.64236299857337,14.022409279892079,17.1242582371093,16.446452113502716,22.936452779129795,0.6770186335403726,0.00040917459409683943,0.0002571929944679141,1.590924336579804,1.3790904319083972,True,True,True,False,False,0.00022080627968534827,0.0002546272298786789,0.00024828940513543785,3.3820950193330646e-05,3.382863360457122e-05,0.00033611617982387543,0.00038290180964395404,0.4925566796391992,0.4926685781963754,1.7717475004818737,-6.150875740354966,-6.148902712329668,4.968036574936693,0.0,0.00016844103811308742,0.0001502076629549265,1.1213877827500205,1.153170237012851,False,False,False,False
