\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_active_p95,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_active_peak,highpass_abs_pre_transient_peak,highpass_abs_active_peak_over_pre,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_pulse_detected,highpass_abs_persistent_detected,highpass_abs_transient_suppressed,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_active_p95,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_active_peak,highpass_topk_pre_transient_peak,highpass_topk_active_peak_over_pre,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_pulse_detected,highpass_topk_persistent_detected,highpass_topk_transient_suppressed,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_active_p95,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_active_peak,mean_removed_abs_pre_transient_peak,mean_removed_abs_active_peak_over_pre,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_pulse_detected,mean_removed_abs_persistent_detected,mean_removed_abs_transient_suppressed,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_active_p95,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_active_peak,raw_abs_pre_transient_peak,raw_abs_active_peak_over_pre,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_pulse_detected,raw_abs_persistent_detected,raw_abs_transient_suppressed,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_active_p95,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_active_peak,temporal_abs_pre_transient_peak,temporal_abs_active_peak_over_pre,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_pulse_detected,temporal_abs_persistent_detected,temporal_abs_transient_suppressed
IMG_0359.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0359.MOV,30.0,30.0,466,15.5,150,92,1,0.03333330154418945,0.010752688172043012,auto_platform,1.9333332777023315,5.0,3.0666637420654297,True,0.0005140465218573809,0.0013114894973114133,0.0013481120113283396,0.0007974429754540324,0.0008459417731501162,0.001503379549831152,0.0015417414251714945,18.764668472770488,19.90589598132911,23.55950379313477,25.466817917248726,25.97963460649044,27.44332278327509,0.9462025316455697,0.0010395711869932711,0.0003924781922250986,2.6487361784347097,2.551305069768137,True,True,True,False,True,0.0029702368192374706,0.0038817517925053835,0.003902912838384509,0.0009115149732679129,0.0009545953944325447,0.0045263879001140594,0.004665542393922806,9.003161154487223,9.428672512745912,15.586823087531,19.087900479682798,19.489011031899818,23.855152122696257,0.7246835443037974,0.0017172249499708414,0.000574891921132803,2.987039627530535,1.3068829284467358,True,True,True,False,True,0.0004946235567331314,0.005568123888224363,0.006316706538200378,0.005073500331491232,0.005826600769069046,0.009138686582446098,0.009949475526809692,116.24042899646993,133.4949302720703,198.15012876028715,41.30714408196858,42.509295456832554,45.93988717759938,0.9430379746835443,0.00945936975767836,0.00035122159169986844,26.932768318417434,11.257296205220129,True,True,True,False,True,0.0004536195774562657,0.006321493070572615,0.007017877418547869,0.005867873493116349,0.006572665413841605,0.010659754276275635,0.011285904794931412,235.58430362800394,263.8803999977507,410.0950422243136,47.442927023249226,48.428142674507875,52.25769037976881,0.9588607594936709,0.010840692790225148,0.0003477352438494563,31.175133904225042,13.935670735423852,True,True,True,False,True,0.00021756894420832396,0.0009560231119394302,0.0008403968531638384,0.0007384541677311063,0.0006278509099502116,0.001699516549706459,0.001814299845136702,13.43113718609221,11.419465245708711,27.045288767012924,22.562255700487537,21.1529153421624,28.641832456734342,0.7721518987341772,0.0016017539019230753,0.00013049767585471272,12.274194857741065,4.394115692467721,True,True,True,False
IMG_0360.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0360.MOV,30.0,30.0,472,15.699999809265137,150,144,6,0.19999980926513672,0.04,auto_platform,0.1666666716337204,5.0,4.799995422363281,True,0.0005925456061959267,0.0013002881314605474,0.001334933564066887,0.0007077425252646208,0.000751071609556675,0.0014998669503256679,0.0015458057168871164,14.420660372882963,15.303515347027847,18.664127804924334,23.179702974287153,23.695824067927486,25.42015399362151,0.9285714285714286,0.0009619437623769045,0.00025004835333675146,3.8470309823692825,2.19441021562584,True,True,True,False,True,0.0029940695967525244,0.0038632953073829412,0.003960962872952223,0.0008692257106304169,0.000982671044766903,0.004498341120779514,0.0046882349997758865,10.220648614436634,11.55457705554941,17.87325145382623,20.189569150283752,21.255081063281768,25.044071307533635,0.7329192546583851,0.0017099431715905666,0.000487068435177207,3.510683608492201,1.2903158001314365,True,True,True,False,True,0.000584996014367789,0.0054528373293578625,0.0060175685212016106,0.0048678413149900734,0.005442718509584665,0.009302091784775257,0.010256398469209671,83.70610105963517,93.5915359852625,150.07132208403738,38.45514226857933,39.42473149589344,43.5259541712355,0.9285714285714286,0.009681548457592726,0.0002176849520765245,44.47504692097089,9.321152957342449,True,True,True,False,True,0.0005244623171165586,0.006410787347704172,0.007459074258804321,0.005886325030587614,0.006938178732525557,0.010829659178853035,0.011668424122035503,217.07584255172742,255.86609409285563,380.16649504075923,46.732229907113805,48.16025478972654,51.59947677662197,0.9316770186335404,0.01114752859575674,0.00023487681755796075,47.461170121678165,12.223542356579669,True,True,True,False,True,0.00023111209156922996,0.0009698374196887016,0.0007999727386049926,0.0007387253281194717,0.0005721081688534468,0.0018313843756914139,0.001988549018278718,11.821256098831784,9.155009206827316,25.65990032292299,21.45327252211907,19.23317570781119,28.18509930010119,0.6801242236024845,0.0017606844485271722,0.00011200472363270819,15.719733877482719,4.196394109471271,True,True,True,False
IMG_0361.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0361.MOV,30.0,30.0,466,15.5,150,136,14,0.46666622161865234,0.09333333333333334,auto_platform,0.46666666865348816,5.0,4.533329010009766,True,0.0005525152664631605,0.0013112856540828943,0.0013557623606175184,0.0007587703876197338,0.0008100983104668558,0.001506259897723794,0.001548207364976406,22.742633913748644,24.28108635985313,28.79195084161801,27.13681521228045,27.70536227206359,29.185421842921922,0.9430379746835443,0.0010025433148257434,0.00039003026904538274,2.570424385982952,2.3733021215447727,True,True,True,False,True,0.003016343805938959,0.003895859234035015,0.003956328146159649,0.000879515428096056,0.000960934441536665,0.004529251717031002,0.004710913635790348,9.143729936104917,9.990188618673606,15.946489371028777,19.222467810142923,19.99147375906584,24.053301754630347,0.7246835443037974,0.0017155199311673641,0.0006313333287835121,2.7172966370600498,1.2915832825039224,True,True,True,False,True,0.0005299797048792243,0.005691844038665295,0.006573865655809641,0.00516186433378607,0.006049389252439141,0.009492093697190285,0.010458577424287796,129.2161009131117,151.43336623350035,224.48488884218065,42.22633264191953,43.60443152898174,47.02374223744748,0.939873417721519,0.009934101020917296,0.00046645221300423145,21.29714629701452,10.73973962826066,True,True,True,False,True,0.0004979450022801757,0.006502073723822832,0.007411306723952293,0.006004128721542656,0.006918497092556208,0.0102442791685462,0.011718903668224812,254.81255786887826,293.6179456708405,413.8480387381238,48.12441654852265,49.355651915047076,52.336818027607876,0.9430379746835443,0.011226094036828727,0.0003171809366904199,35.393344108147964,13.057815007779412,True,True,True,False,True,0.00022917240858078003,0.0009829344926401973,0.0008320992346853018,0.0007537620840594172,0.0006044474139343947,0.001822278369218111,0.0019670608453452587,10.953300466610475,8.78353300212857,23.172329952349315,20.790900024548428,18.87338474797167,27.299394076381915,0.6930379746835443,0.0017394090245943516,0.00013102529919706285,13.275367698098288,4.2890612300464905,True,True,True,False
IMG_0362.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0362.MOV,30.0,30.0,465,15.466666221618652,150,142,8,0.2666664123535156,0.05333333333333334,auto_platform,0.0,5.0,4.733328819274902,True,0.000704535748809576,0.0013012333074584603,0.0013195514911785722,0.0005966975586488843,0.0006801803829148412,0.0014917862135916948,0.0015393057838082314,4.8370217255057675,5.513760265538284,6.90995014787188,13.691560760570766,14.828957587164254,16.789498282991197,0.7111111111111111,0.0008999346755445004,0.0,89993.46755445004,1.8469372344229498,True,True,True,False,True,0.0028832668904215097,0.003917275462299585,0.00407774094492197,0.0010340085718780756,0.0012225457467138767,0.004521151538938284,0.004707652609795332,8.575442478730512,10.13905591664446,13.816435531148263,18.66513076348149,20.119950363694027,22.807920298068645,0.7873015873015873,0.0018524574115872383,0.0,185245.74115872383,1.358623953721784,True,True,True,False,True,0.0007074527675285935,0.00575029943138361,0.006297548767179251,0.005042846663855016,0.005651201994623989,0.009510844945907593,0.010846004821360111,36.83524481482875,41.27894874576499,64.75032499330881,31.325271212269747,32.314572570965055,36.22483905118825,0.8761904761904762,0.01019965804880485,0.0,1019965.8048804849,8.128174339428528,True,True,True,False,True,0.0006301096873357892,0.006513134576380253,0.00746997632086277,0.005883024889044464,0.006879220949485898,0.01043438445776701,0.011503368616104126,70.85665631598255,82.85509643978413,118.55918617227589,37.007613087580665,38.366384543001416,41.47870419021807,0.9047619047619048,0.010912613244727254,0.0,1091261.3244727254,10.336509194008574,True,True,True,False,True,0.00023514332133345306,0.0009988595265895128,0.0008923099958337843,0.0007637162052560598,0.0006544457573909312,0.0017473448533564806,0.001959890592843294,10.769405569078314,9.228548164618964,21.28566714806867,20.643834650558126,19.302667663662234,26.561745332860433,0.7206349206349206,0.001722026354400441,0.0,172202.6354400441,4.2478753847873305,True,True,True,False
IMG_0363.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0363.MOV,30.0,30.0,456,15.166666984558105,150,118,0,0.0,0.0,auto_platform,1.0666667222976685,5.0,3.9333295822143555,True,0.0004953665193170309,0.0012948336079716682,0.00135161227080971,0.0007994670886546373,0.0008588639320805669,0.0014933689963072538,0.0015183378709480166,32.1521091588866,34.5408676464155,40.24188745934274,30.14418935299384,30.766664851842336,32.093566843518865,0.9411764705882353,0.0010255895322188735,0.0004980710800737143,2.0591228305548013,2.61389003390232,True,True,True,False,True,0.0030074315145611763,0.003854376031085849,0.003928578924387693,0.0008469445165246725,0.000927196117118001,0.0044548166915774345,0.004560151137411594,9.45602972426919,10.352028819634473,16.22740775118256,19.51417657418226,20.300509447695745,24.204982979059686,0.7352941176470589,0.001558768330141902,0.0006341750267893076,2.4579465672648957,1.2816172246729458,True,True,True,False,True,0.0004790110979229212,0.00556245818734169,0.006382492370903492,0.005083447089418769,0.005904257821384817,0.009109843522310257,0.010336398147046566,146.53116479928974,170.19116371716865,248.8074911820841,43.31860003796005,44.61874015745144,47.917269042084996,0.9411764705882353,0.009858163597527891,0.0005679585156030953,17.35718952476635,11.612378526221033,True,True,True,False,True,0.00044821418123319745,0.006192672532051802,0.006990368478000164,0.005744458350818604,0.006544806354213506,0.01011949684470892,0.011530796997249126,348.68972620224304,397.27100386622186,587.2096972652023,50.848783030146116,51.981737355954934,55.37586437937256,0.9411764705882353,0.011085234873462468,0.00039730779826641083,27.900874137963367,13.81632440770514,True,True,True,False,True,0.00021637199097312987,0.0009450407815165818,0.0008252909756265581,0.0007286687905434519,0.0006095536518841982,0.0016722833970561624,0.0018440859857946634,11.296083854133709,9.449518429548728,22.579897472061084,21.058558152292647,19.508193527394205,27.074439312080834,0.6993464052287581,0.0016283486620523036,0.00021730747539550066,7.493293358126319,4.367666892864805,True,True,True,False
IMG_0364.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0364.MOV,30.0,30.0,467,15.533333778381348,150,137,13,0.4333329200744629,0.08666666666666667,auto_platform,0.4333333373069763,5.0,4.566662311553955,True,0.0005414292681962252,0.001297346199862659,0.0013385872589424253,0.0007559169316664338,0.0008058064850047231,0.0015250848373398185,0.0015699180075898767,19.888568427976505,21.20118857688937,26.10803706013677,25.972070477767303,26.527204178871973,28.33548441003407,0.943217665615142,0.0010371372336521745,0.00037174735916778445,2.7898980532745976,2.3961508475239537,True,True,True,False,True,0.0030264798551797867,0.00388359185308218,0.0039284080266952515,0.0008571119979023933,0.0009193040896207094,0.004586274269968271,0.004728949628770351,10.838131820663836,11.624547236496909,19.943227971811794,20.699088577813754,21.307520931850128,25.99590907438322,0.7255520504731862,0.0017198456916958094,0.0004900307394564152,3.509668992609754,1.2832042633409424,True,True,True,False,True,0.0005336327594704926,0.005463671404868364,0.006031740922480822,0.004930038645397872,0.0055062161409296095,0.009421768598258495,0.01032252050936222,103.05206789872088,115.09584415728604,185.95722828637332,40.26113421982873,41.221192851024576,45.38826128701338,0.943217665615142,0.009796995727811009,0.0004341663443483412,22.565074090475015,10.238635668263315,True,True,True,False,True,0.0004895137972198427,0.0061682541854679585,0.0066532897762954235,0.005678740388248116,0.006170010776259005,0.010186918079853058,0.010755307041108608,229.89012518726912,249.77802343215842,392.82845319845904,47.23040633545219,47.95108449165046,51.88405873807987,0.943217665615142,0.01027202804107219,0.00027800846146419644,36.9486165527918,12.60077697605277,True,True,True,False,True,0.00022926069505047053,0.0009944556513801217,0.0008357162005268037,0.0007651949563296512,0.0006106174987507984,0.001818065531551838,0.0019681877456605434,12.149761452801366,9.695381402295002,25.293118863245223,21.691355022474163,19.731297965363126,28.060047699250774,0.7066246056782335,0.0017430890438845381,0.00014091435878071934,12.369846898263976,4.337663074611187,True,True,True,False
IMG_0365.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0365.MOV,30.0,30.0,466,15.5,150,121,0,0.0,0.0,auto_platform,0.9666666388511658,5.0,4.033329486846924,True,0.0006186671671457589,0.0013122844975441694,0.0013362483587116003,0.0006936173303984106,0.0007363565964624286,0.0014930239412933588,0.0015333727933466434,7.901391209542271,8.38825860223926,10.174178814715562,17.954071297792474,18.47343621792216,20.149987324766187,0.9145569620253164,0.0009334810310974717,0.00035098165972158313,2.659629086710563,2.1211477951843425,True,True,True,False,True,0.0029386321548372507,0.0038471941370517015,0.0038979146629571915,0.0009085619822144508,0.0009682152885943651,0.004464688245207071,0.004673081915825605,10.641604192426257,11.340298269100431,17.97867875066802,20.54014203174413,21.092489547788386,25.09515544718979,0.7373417721518988,0.001743382541462779,0.0006178496405482292,2.821693866999492,1.3091785342098285,True,True,True,False,True,0.0006155023002065718,0.005414918996393681,0.005864773411303759,0.004799416696187109,0.005262009508442134,0.00921754352748394,0.010075556114315987,47.4244392044768,51.99545399438765,85.12515549909209,33.520044080896156,34.31930749136629,38.60115836504495,0.9145569620253164,0.009472792211454362,0.0004009646945632994,23.625003248157334,8.797560942625807,True,True,True,False,True,0.0005388716817833483,0.006049636751413345,0.006643730215728283,0.005510765069629997,0.006119384313933551,0.0098417978733778,0.01069876179099083,109.2867256878508,121.35655692908995,184.77902883936443,40.77134828737128,41.681264927111236,45.33305360433195,0.939873417721519,0.010174415889196098,0.00031770102214068174,32.02512796666656,11.226488523933204,True,True,True,False,True,0.0002263998903799802,0.0009833734948188066,0.0008627364877611399,0.0007569736044388264,0.0006329570896923542,0.0018163210479542613,0.0020034422632306814,12.50615810512297,10.457248959584811,26.211667880466855,21.942478296182028,20.38834895101904,28.369893130291842,0.7056962025316456,0.0017736628651618958,0.00014116964302957058,12.564052916039246,4.343524606696378,True,True,True,False
IMG_0366.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0366.MOV,30.0,30.0,455,15.133333206176758,150,63,2,0.0666666030883789,0.03076923076923077,auto_platform,2.866666555404663,5.0,2.0999979972839355,True,0.0005789812421426177,0.0013066654792055488,0.0013264860026538372,0.0007276842370629311,0.0007586026331409812,0.0015032427618280053,0.0015452763764187694,18.579498789785713,19.368918531558364,23.881936439460212,25.38067988124036,25.74210744908687,27.56139076311316,0.9442622950819672,0.0009773930069059134,0.00024460640270262957,3.99577850827617,2.2568356003555707,True,True,True,False,True,0.0028879940509796143,0.003904781537130475,0.003962899092584848,0.0010167874861508608,0.00108840293250978,0.004536568187177181,0.0047296625562012196,11.214781860755737,12.00467317995001,18.332026578510337,20.99581661037897,21.587006822927425,25.264209564616674,0.8098360655737705,0.001855166396126151,0.0005690304096788168,3.260223644590946,1.3520739545173108,True,True,True,False,True,0.0005811915616504848,0.005575408227741718,0.005933285225182772,0.0049942166660912335,0.005360555020160973,0.009313967078924179,0.01018435787409544,93.23283639864401,100.07169945066775,163.18280961249897,39.391377937026874,40.00622550359677,44.253488127124754,0.940983606557377,0.009611627669073641,0.0002619930310174823,36.6865776228692,9.593064654807636,True,True,True,False,True,0.0005028731538914144,0.006068346090614796,0.006082290783524513,0.005565472936723381,0.005590008047875017,0.01031569205224514,0.010921020992100239,215.91286400285432,216.86470514512692,381.0997670697876,46.68557036396325,46.72377752179672,51.62077366658284,0.9606557377049181,0.010428738256450742,0.00020143546862527728,51.772105119436176,12.067349477011724,True,True,True,False,True,0.00023368338588625193,0.0009749761084094644,0.0008582686423324049,0.0007412927225232124,0.0006259361543925479,0.0017702375771477818,0.0019013819983229041,11.519891455050546,9.727218866860142,23.899465295628016,21.22896774026006,19.75977375618602,27.56776369113354,0.6918032786885245,0.0016690495103830472,0.00016284555022139102,10.24927919807418,4.172209781674617,True,True,True,False
IMG_0367.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0367.MOV,30.0,30.0,467,15.533333778381348,150,148,2,0.0666666030883789,0.013333333333333334,auto_platform,0.0,5.0,4.933328628540039,True,0.0005808168207295239,0.0013050553388893604,0.0013447408564388752,0.0007242385181598365,0.0007717106491327286,0.0014950215118005872,0.001527493237517774,17.91955958374327,19.094144555690676,22.81248194111521,25.066546632526048,25.618004122932287,27.163450760063938,0.9274447949526814,0.0009544630302116275,0.0,95446.30302116275,2.2469310328343632,True,True,True,False,True,0.002985254628583789,0.0038842838257551193,0.003962832037359476,0.0008990291971713305,0.0009848803747445345,0.004490772727876902,0.004651716910302639,9.96061690519111,10.911788116712124,16.761003007008938,19.965724740810305,20.75791848672436,24.486000079889326,0.7602523659305994,0.0016737652476876974,0.0,167376.52476876974,1.3011566211348047,True,True,True,False,True,0.0005771698197349906,0.0057099792174994946,0.006582845468074083,0.005132809397764504,0.0060091406921856105,0.009930315427482128,0.010566791519522667,91.23168531668512,106.80779085464061,166.30645957138285,39.202913952603346,40.57205864968875,44.418182362829874,0.9274447949526814,0.009993086743634194,0.0,999308.6743634194,9.893066169193064,True,True,True,False,True,0.0005196909769438207,0.006240158807486296,0.007075900677591562,0.005720467830542475,0.0065606203861534595,0.0106864208355546,0.011228794232010841,247.48918735109658,283.8373811349941,440.04221022924105,47.871124592556846,49.06139182183564,52.869886747469,0.9274447949526814,0.010713513940572739,0.0,1071351.3940572739,12.00744112238236,True,True,True,False,True,0.00022759719286113977,0.0009725060081109405,0.0008293334394693375,0.0007449088152498007,0.0005991285142954439,0.001758067635819316,0.001924955751746893,12.173184449874064,9.790865357462152,24.968095705155864,21.708084051208694,19.81642156509632,27.94770840707489,0.750788643533123,0.0016947508265729994,0.0,169475.08265729994,4.272926198629699,True,True,True,False
IMG_0368.MOV,C:\Users\happen\master_project\mobicomexperiment_data\distance_layout\dense_uniform\distance_1\IMG_0368.MOV,30.0,30.0,464,15.433333396911621,150,148,2,0.0666666030883789,0.013333333333333334,auto_platform,0.03333333507180214,5.0,4.933328628540039,True,0.0006182932993397117,0.0012984408531337976,0.0013230531476438046,0.000680147553794086,0.0007140084635466337,0.0015003408771008253,0.0015408738981932402,11.93559892946994,12.529808576977903,15.640950008144472,21.536884336545484,21.958888722999937,23.885262558574798,0.9267515923566879,0.0009318292140960693,0.00020042731193825603,4.649212749922676,2.1000403118074056,True,True,True,False,True,0.0029795102309435606,0.003857783740386367,0.003912458661943674,0.0008782735094428062,0.0009567881934344769,0.00453191576525569,0.004640214145183563,8.791426383151784,9.577350194911869,15.778051300815685,18.881186875936322,19.624907352946835,23.96106727586723,0.7261146496815286,0.001684543676674366,0.0005022250115871429,3.35416125802025,1.2947711004048714,True,True,True,False,True,0.0006205054232850671,0.0058032250963151455,0.006582451052963734,0.005182719673030078,0.00597104977350682,0.009938310831785202,0.0106498459354043,74.791613741636,86.16797289194487,134.59624688384415,37.477058077632734,38.70691752510671,42.580659001568776,0.9267515923566879,0.010038444655947387,0.0002140185097232461,46.90456292275097,9.352416398863737,True,True,True,False,True,0.0005497375386767089,0.006250283215194941,0.006777193397283554,0.005700545676518232,0.00622938759624958,0.01035213004797697,0.01090013887733221,171.4920720831306,187.40146072161312,294.9478832191507,44.684880956364985,45.45545943443581,49.39490567346722,0.9267515923566879,0.010352333076298237,0.00016541843069717288,62.582706368735764,11.369576889801268,True,True,True,False,True,0.00023223762400448322,0.0009571065311320126,0.0008374182507395744,0.0007248689071275294,0.0006040219450369477,0.0017003247048705816,0.0018561921315267682,10.942809753770904,9.118472549518684,22.145133053243903,20.782576977212234,19.19844190061907,26.905565879469997,0.7038216560509554,0.0016227958258241415,0.0,162279.58258241415,4.121238043296276,True,True,True,False
