\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_persistent_detected,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_persistent_detected,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_persistent_detected,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_persistent_detected,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_persistent_detected
IMG_9397.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9397.MOV,30.00367692119132,30.00367692119132,408,13.565004348754883,151,150,1,0.03332924842834473,0.006622516556291391,auto_platform,0.0,5.032716751098633,4.999387264251709,True,0.0007686790777370334,0.0011675246059894562,0.0012474798131734133,0.0003988455282524228,0.00048353889724239707,0.0013504436938092113,19.2229341611607,23.304852950910288,28.267345340161565,25.676393569609175,27.348927339270645,29.02570049362939,0.8132295719844358,1.5188713206903084,True,True,False,0.003341595409438014,0.003494231728836894,0.0034903250634670258,0.00015263631939888,0.00016307714395225048,0.0037128764670342207,2.327230386109775,2.4864205726416384,5.879639112584733,7.336787575175805,7.911491809756972,15.387013405118132,0.20233463035019456,1.0456776780838797,False,False,True,0.0007697477121837437,0.001621012226678431,0.0014299670001491904,0.0008512645144946873,0.0006642942898906767,0.0024905919563025236,36.59748667147608,28.55927976117162,74.15757152045857,31.269025225818012,29.11494501467868,37.40310998569184,0.8132295719844358,2.1059006750142637,True,True,True,0.0007548592984676361,0.0017121689161285758,0.00139730388764292,0.0009573096176609397,0.0006477278657257557,0.0029486098792403936,48.35567015755826,32.71806158536602,111.07770559105272,33.68894813043076,30.29575131091688,40.91253800863026,0.8093385214007782,2.2681960990667767,True,True,False,0.0003473016549833119,0.00036998491850681603,0.00035743467742577195,2.2683263523504138e-05,1.893556327559054e-05,0.0004644097643904388,0.30360896241101176,0.253447071794279,1.6852778629640022,-10.35370824787657,-11.922254440828382,4.53343032258339,0.0,1.0653128575635324,False,False
IMG_9398.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9398.MOV,30.00367692119132,30.00367692119132,408,13.565004348754883,151,148,3,0.09998774528503418,0.019867549668874173,auto_platform,0.03332924842834473,5.032716751098633,4.9327287673950195,True,0.0007951549487188458,0.0011534560471773148,0.00123451161198318,0.0003583010984584689,0.000440901261754334,0.001353589934296906,10.764414599163105,13.245965472159739,16.823427100584798,20.639808331557784,22.44167237301243,24.51828941219219,0.7470817120622568,1.4506053807949808,True,True,False,0.003330616047605872,0.003476840676739812,0.0034847226925194263,0.00014622462913393974,0.00016017723828554153,0.0036523090675473213,2.1090594868879036,2.310303852302366,4.727472808169445,6.481776587324747,7.273382045462261,13.492580790337632,0.0622568093385214,1.0439031779838597,False,False,True,0.000798370863776654,0.001538616605103016,0.0014218271244317293,0.0007402457413263619,0.0006264590192586184,0.002332980278879404,19.038749495629006,16.112212027821514,39.54661453934282,25.592768392541515,24.143103366458746,31.942186216945146,0.7470817120622568,1.9271953360430338,True,True,True,0.0007722699083387852,0.001526980078779161,0.00142973056063056,0.0007547101704403758,0.0006606303504668176,0.002362229162827134,34.32824184321573,30.048990099815974,72.4639975933364,30.71303122299062,29.556597612334336,37.20244577830316,0.7587548638132295,1.9772621751685473,True,True,False,0.00035578146344050765,0.00037163402885198593,0.00036466846358962357,1.585256541147828e-05,2.127586049027741e-05,0.00045794181642122567,0.21583072331663458,0.28966821707453655,1.5595734144526225,-13.317734676180308,-10.761983075308484,3.8601164660084475,0.0,1.04455703020101,False,False
IMG_9399.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9399.MOV,30.003741114852225,30.003741114852225,401,13.331670761108398,151,149,2,0.0666583776473999,0.013245033112582781,auto_platform,0.033329177647829056,5.032705783843994,4.966049134731293,True,0.000773028121329844,0.0011705890065059066,0.0012474908726289868,0.0003975608851760626,0.000478314352221787,0.0013636999065056443,17.585705462572847,21.15775376888142,26.298143374715046,24.90319590043734,26.509391171268813,28.398501775438994,0.82,1.5142903268410683,True,True,False,0.0033672023564577103,0.003514648415148258,0.0034850030206143856,0.00014744605869054794,0.00013314257375895977,0.003782037878409028,2.356722197309,2.128100688287209,6.875793837605899,7.446167846614725,6.559843443635359,16.746456928268817,0.212,1.043788891513387,False,False,True,0.0007710857898928225,0.0015770525205880404,0.0014425457920879126,0.0008059667306952178,0.0006747392471879721,0.002362312749028206,34.28186112827455,28.700089332399312,67.82245243664835,30.701287826166187,29.157664970573713,36.62746979331404,0.82,2.0452361348887567,True,True,True,0.0007613692432641983,0.00161882268730551,0.0014266958460211754,0.0008574534440413117,0.0006697014905512333,0.002641617087647319,40.996967169030754,32.02008250357796,90.10846806204258,32.25503460245697,30.10844893192951,39.0953121258647,0.82,2.126199214936992,True,True,False,0.00035662928712554276,0.0003707397263497114,0.00035722189932130277,1.4110439224168658e-05,1.042519579641521e-05,0.0004743242752738297,0.18184195742956408,0.13435003546590843,1.6434543889567041,-14.806118046290512,-17.435244291702777,4.315153110862257,0.0,1.039566125760169,False,False
IMG_9400.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9400.MOV,30.00365898280278,30.00365898280278,410,13.631670951843262,151,148,3,0.09998774528503418,0.019867549668874173,auto_platform,0.03332927078008652,5.032719612121582,4.9327287673950195,True,0.0007700504502281547,0.0011506924638524652,0.0012199090560898185,0.0003806420136243105,0.00045492680510506034,0.001365895732305944,17.79555233989734,21.268471375468604,28.093554904203348,25.006229444377325,26.55472554130279,28.972133949282963,0.7722007722007722,1.494307890491502,True,True,False,0.003350340761244297,0.0034796092659235,0.003462152322754264,0.00012926850467920303,0.0001244505401700735,0.0037111102137714624,1.990033996243847,1.9158634688624268,5.748464982950353,5.977209912666451,5.647291130003117,15.191037803586266,0.14285714285714285,1.0385836886129736,False,False,True,0.0007658886606805027,0.00151566241402179,0.0015272835735231638,0.0007497737533412874,0.0007654028595425189,0.0022418536245822906,33.89583296499793,34.60239487227773,66.90673599458577,30.60292621683859,30.78212315725535,36.5093968719522,0.7799227799227799,1.9789592036460013,True,True,True,0.0007566422573290765,0.001503077452071011,0.00147702032700181,0.0007464351947419345,0.0007249197224155068,0.002244636183604598,37.51675704299007,36.435362765734915,75.0166860974543,31.48450581631333,31.230461958002618,37.503157500912145,0.7683397683397684,1.986510054800306,True,True,False,0.0003570494009181857,0.0003691437595989555,0.0003565835941117257,1.2094358680769801e-05,1.6807898646220565e-05,0.00046211190056055784,0.16348416130271493,0.22719891860057756,1.6536661773329036,-15.730486326988926,-12.87187480137879,4.368956876102873,0.0,1.033873068123537,False,False
IMG_9401.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9401.MOV,30.0036679300648,30.0036679300648,409,13.598337173461914,151,148,3,0.09998774528503418,0.019867549668874173,auto_platform,0.03332925960421562,5.032717704772949,4.9327287673950195,True,0.0007598414085805416,0.0011699151946231723,0.0012741975951939821,0.00041007378604263067,0.0005166170885786414,0.0013582889223471284,21.898454279539468,27.588000207094623,32.078582501417465,26.8082692177539,28.814404411540377,30.124303385874857,0.8217054263565892,1.5396833884174446,True,True,False,0.0033548015635460615,0.0034877436701208353,0.0034760599955916405,0.0001329421065747738,0.00013478263281285763,0.003717071609571576,2.2984173667309573,2.3302379657761256,6.497053833431819,7.228577890089662,7.348005475853622,16.2543293053413,0.18604651162790697,1.0396274128459189,False,False,True,0.0007548402645625174,0.0015748777659609914,0.0015245345421135426,0.000820037501398474,0.0007728850468993187,0.002323700347915292,42.68778309678099,40.23322004727638,81.83450842524806,32.60607202377407,32.091695850430945,38.25872955957759,0.8294573643410853,2.0863722298567935,True,True,True,0.0007453729631379247,0.0016036775195971131,0.0014917836524546146,0.0008583045564591885,0.0007486398098990321,0.0025485057849437,48.30745734431485,42.1352600435287,101.6101386933628,33.68028358127904,32.49291357146823,40.13874088315064,0.8062015503875969,2.1515101820246287,True,True,False,0.00035319096059538424,0.00036981425364501774,0.0003695618943311274,1.6623293049633503e-05,3.063725307583809e-05,0.00045896312803961337,0.24174035130092048,0.4455350873821955,1.7456316193326789,-12.333017022077533,-7.022361762668984,4.839051997347931,0.0,1.047066020663754,False,False
IMG_9402.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9402.MOV,30.00358037952023,30.00358037952023,419,13.931671142578125,151,148,3,0.09998810291290283,0.019867549668874173,auto_platform,0.03332935646176338,5.032732963562012,4.932746410369873,True,0.0007557451026514173,0.001130913384258747,0.001206389395520091,0.00037516828160732985,0.0004516983754001558,0.0013662339188158512,22.37325314506838,26.937144192326002,36.46951182273219,26.994582730866416,28.607031020570396,31.238598998596665,0.7686567164179104,1.49642171717833,True,True,False,0.003349531441926956,0.0034789242781698704,0.0034713728819042444,0.0001293928362429142,0.00013325782492756844,0.003731932258233428,2.2983759356497706,2.367028862985649,6.995286637926439,7.2284213175508905,7.48407107289491,16.896110295697103,0.1791044776119403,1.0386301303589125,False,False,True,0.0007518764468841255,0.0014663561014458537,0.0014344326918944716,0.0007144796545617282,0.0006834517698734999,0.0023080152459442616,39.86075392247867,38.129711102160464,86.86680108873145,32.01091017292701,31.625270295238504,38.77707657413173,0.7574626865671642,1.9502620510625457,True,True,True,0.0007420110050588846,0.001469884067773819,0.0013873656280338764,0.0007278730627149343,0.0006456634728237987,0.0023813340812921524,45.99440208505148,40.799566438027476,103.60857399835058,33.25409955036545,32.213110960536476,40.30791392789368,0.753731343283582,1.9809464519426794,True,True,False,0.0003532082191668451,0.00036877437378279865,0.00035317946458235383,1.5566154615953565e-05,1.021241769194603e-05,0.00045892054913565516,0.22636716287378586,0.14851169579406517,1.6862266870736642,-12.903731445172237,-16.56478685706223,4.538319167665886,0.0037313432835820895,1.0440707598839896,False,False
IMG_9403.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9403.MOV,30.0036679300648,30.0036679300648,409,13.598337173461914,151,149,2,0.06665849685668945,0.013245033112582781,auto_platform,0.03332925960421562,5.032717704772949,4.966058015823364,True,0.0007594864000566304,0.0011516229715198278,0.0012177308090031147,0.00039213657146319747,0.00046226108679547906,0.0013732250081375241,18.177891577551897,21.428585160866977,28.636677694181827,25.190870174708483,26.619869947096205,29.13845263111162,0.7751937984496124,1.516318095273277,True,True,False,0.0033614635467529297,0.0034867404028773308,0.0034706750884652138,0.0001252768561244011,0.00011957273818552494,0.003709817072376609,2.077658926774008,1.9830587594189986,5.949118357423071,6.351485086004722,5.946711656908432,15.489052185574135,0.2054263565891473,1.037268545198241,False,False,True,0.0007542587700299919,0.0015543521149083972,0.0015337252989411354,0.0008000933448784053,0.0007833223207853734,0.0024180710315704346,36.19344489940605,35.434782000503915,75.43951238706622,31.172598426242967,30.988595305365727,37.55197745240865,0.7868217054263565,2.060767705553614,True,True,True,0.0007459037005901337,0.0015977954026311636,0.0014739824691787362,0.0008518917020410299,0.0007336217095144093,0.0026558684185147285,42.06989461066527,36.22923891548929,94.59559840844337,32.47942848133643,31.181184214074623,39.51741857763467,0.7790697674418605,2.1420934114779726,True,True,False,0.0003543532220646739,0.0003686811833176762,0.0003570091212168336,1.4327961253002286e-05,2.127586049027741e-05,0.0004717710835393518,0.20116910220261175,0.29871980233896034,1.9100140067110851,-13.928774445816849,-10.494719735297316,5.620731041447006,0.0,1.0404341215511432,False,False
IMG_9405.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9405.MOV,30.003554923569144,30.003554923569144,422,14.031670570373535,151,149,2,0.06665876507759094,0.013245033112582781,auto_platform,0.03332938253879547,5.032736778259277,4.966077998280525,True,0.0007662192219868302,0.001155064208433032,0.0012234385358169675,0.0003888449864462018,0.0004594034398905933,0.0013811273965984583,20.336616857746574,24.0268283399313,32.273965518569966,26.16557413179546,27.6139289113952,30.177046613330354,0.8265682656826568,1.507485293096556,True,True,False,0.0033504790626466274,0.0034603136591613293,0.0034449552185833454,0.00010983459651470184,0.0001009062398225069,0.0036983233876526356,1.9803653853709808,1.8193832440189937,6.387721160319179,5.934906534629496,5.198483813391514,16.106918997238107,0.18081180811808117,1.0327817588055426,False,False,True,0.0007639294490218163,0.0015210261335596442,0.0014801532961428165,0.000757096684537828,0.0007175768841989338,0.0024121133610606194,35.34125773682229,33.49647426595394,77.00035101954451,30.965640025340097,30.499981939290308,37.729854099684374,0.7859778597785978,1.9910557650412124,True,True,True,0.0007497552433051169,0.001583554781973362,0.0014898917870596051,0.0008337995386682451,0.0007420761976391077,0.0026717418804764748,47.01475429945693,41.84282730499262,108.4828159160831,33.44468341628481,32.43242043949421,40.707218995235614,0.7896678966789668,2.1120956420293093,True,True,False,0.00035688915522769094,0.00036945746978744864,0.00036339188227429986,1.256831455975771e-05,1.4893128536641598e-05,0.00047147335135377944,0.17243888412103714,0.20433562938920907,1.6872272162932154,-15.267295923930151,-13.79311800283788,4.54347144594473,0.0,1.0352162972050503,False,False
IMG_9406.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9406.MOV,30.00364121859449,30.00364121859449,412,13.69833755493164,151,150,1,0.03332924842834473,0.006622516556291391,auto_platform,0.03332928940653801,5.032722473144531,4.999387264251709,True,0.0007663088035769761,0.001182259526103735,0.001256050425581634,0.0004159507225267589,0.0004922613734379411,0.0013740649446845055,17.384347700747682,20.573693978719408,25.50602207123489,24.80316799267131,26.266245513566652,28.132854623216517,0.8160919540229885,1.5427977867214682,True,True,False,0.003351709106937051,0.003457009792327881,0.003450535237789154,0.00010530068539083004,0.00010950258001685143,0.003667839802801609,1.6888040828862503,1.7561937373214975,5.241307203209849,4.551585405196468,4.8914484820682755,14.388792305858313,0.11877394636015326,1.0314170120470445,False,False,True,0.0007643367280252278,0.001560258911922574,0.0014955527149140835,0.0007959221838973463,0.00073506950866431,0.002308056689798832,28.67389210492757,26.48161366461044,55.75288136139682,29.149732934596567,28.458888908618825,34.92534634095777,0.8199233716475096,2.0413240064411453,True,True,True,0.0007518278434872627,0.0016078859334811568,0.0015129728708416224,0.0008560580899938941,0.000765304546803236,0.002564724301919341,41.22371465748799,36.85345262459909,87.50083437606618,32.30294246723459,31.329563621687477,38.84024388631911,0.8275862068965517,2.1386357893093875,True,True,False,0.0003581211785785854,0.00036870516487397254,0.0003553070710040629,1.0583986295387149e-05,1.6382429748773575e-05,0.00045062301796860993,0.14575367567489575,0.22560491725222562,1.5382152355942882,-16.727609684353794,-12.933028775313389,3.7403421721273538,0.0,1.0295542037960332,False,False
IMG_9407.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\bottom_to_top\IMG_9407.MOV,30.00353815308409,30.00353815308409,424,14.098337173461914,151,149,2,0.0666588544845581,0.013245033112582781,auto_platform,0.0,5.032739639282227,4.966084659099579,True,0.0007676156237721443,0.0011448257137089968,0.001229883055202663,0.00037721008993685246,0.0004673093790188432,0.0013485257513821125,17.078853712248037,21.158258316898117,26.5300161413368,24.649174372549915,26.50959830082447,28.474750284298956,0.7838827838827839,1.491404914458622,True,True,False,0.0033469232730567455,0.0034522120840847492,0.003460087813436985,0.00010528881102800369,0.00012668967247009277,0.003654883708804846,1.7208511984359773,2.0706290874690887,5.254393313898005,4.714866372360962,6.322046210682062,14.410451569466645,0.11721611721611722,1.0314583880292671,False,False,True,0.0007667004829272628,0.0014599947025999427,0.0014940256951376796,0.0006932942196726799,0.0007322715828195214,0.002143948106095195,28.17690817371096,29.761028668412983,56.17521700858498,28.99786673305105,29.472958764153347,34.99089517605527,0.7802197802197802,1.9042569231542443,True,True,True,0.0007513821474276483,0.0014641564339399338,0.0014570821076631546,0.0007127742865122855,0.0007103942334651947,0.0021836573723703623,35.90774121877193,35.787840247989074,72.39083936672544,31.103761732665298,31.074709800891632,37.19367224543643,0.7802197802197802,1.9486175429539594,True,True,False,0.00035353933344595134,0.0003673057071864605,0.00035913672763854265,1.3766373740509152e-05,1.1914497008547187e-05,0.00046270759776234627,0.18039759942273867,0.1561301980598283,1.5133457359090416,-14.875384919517316,-16.1302617872647,3.5987631479662685,0.0,1.0389387330861553,False,False
