\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_persistent_detected,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_persistent_detected,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_persistent_detected,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_persistent_detected,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_persistent_detected
IMG_9420.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9420.MOV,30.003650079085048,30.003650079085048,411,13.665003776550293,151,146,5,0.16664624214172363,0.033112582781456956,auto_platform,0.06665855646133423,5.032720565795898,4.86607027053833,True,0.0007661203271709383,0.0010988152353093028,0.0010975028853863478,0.00033269490813836455,0.0003349883481860161,0.0013513651210814714,20.009962261343613,20.147901399213062,35.41646617606596,26.024925391209308,26.084596336385243,30.98410450986568,0.8384615384615385,1.4342593406533293,True,True,False,0.003328816033899784,0.003413055557757616,0.003420526161789894,8.423952385783195e-05,9.939773008227348e-05,0.003608291270211339,1.9569766719558497,2.309118453051281,6.67110817189352,5.831712974056985,7.268924238135992,16.483959655730644,0.2,1.0253061517969029,False,False,True,0.0007607868756167591,0.0012401671847328544,0.0011956454254686832,0.0004793803091160953,0.0004387657390907407,0.0016811405075713992,24.599944852656343,22.515762077856326,47.429493449059365,27.818682670348977,27.049733017190857,33.52096972750798,0.8269230769230769,1.6301111710522984,True,True,True,0.0007492285221815109,0.0015658693155273795,0.0011125036980956793,0.0008166407933458686,0.00036601198371499777,0.0030166658107191324,57.46096360471782,25.753552169455137,159.73533552202733,35.18745809434471,28.216742788862526,44.06801996644369,0.8384615384615385,2.0899755804384954,True,True,False,0.00036010437179356813,0.00042064202716574073,0.00039807159919291735,6.0537655372172594e-05,4.212622297927737e-05,0.0005259820609353483,1.2146670333305492,0.8452480357404314,3.411727033670664,1.689144893581126,-1.46031659623252,10.659485534828526,0.057692307692307696,1.1681114146730665,False,False
IMG_9421.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9421.MOV,30.0037504688086,30.0037504688086,400,13.298337936401367,151,148,3,0.09998749941587448,0.019867549668874173,auto_platform,0.03332916647195816,5.032703876495361,4.932716637849808,True,0.0007736044353805482,0.0011068758321925998,0.0011455280473455787,0.00033327139681205153,0.00037370738573372364,0.0013571421150118113,19.323434485292736,21.667956668264843,33.93756819757591,25.7216863809775,26.71635916821627,30.613614392979557,0.8353413654618473,1.4308033687114399,True,True,False,0.003327149897813797,0.003442346351221204,0.0034191536251455545,0.00011519645340740681,9.572110138833523e-05,0.0037472883705049753,2.517079436949326,2.0915367518704233,9.261386132317543,8.017938434800113,6.409310005579373,19.333519829891785,0.20481927710843373,1.0346231630510847,False,False,True,0.0007667565951123834,0.0012635363964363933,0.0012572216801345348,0.0004967798013240099,0.0004930877475999296,0.0017315269215032458,26.454315798609496,26.257708056302054,51.51521773496127,28.449930672696247,28.385136307162778,34.23871079521976,0.8353413654618473,1.6478976568192374,True,True,True,0.0007589809829369187,0.0016967388801276684,0.0011799291241914034,0.0009377578971907496,0.0004223845317028463,0.0031765999738126993,60.62174362848173,27.305221177271303,156.38082663877762,35.65256847149246,28.72491397500635,43.88367009015124,0.8273092369477911,2.235548608295881,True,True,False,0.0003632797743193805,0.00044593377970159054,0.00040339058614335954,8.265400538221002e-05,4.616868682205677e-05,0.000603809196036309,1.685094866948043,0.9412564680661507,5.0272577357574235,4.532487113432496,-0.5258405284774752,14.026623021243072,0.10040160642570281,1.227521627200594,True,False
IMG_9422.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9422.MOV,30.003759869657852,30.003759869657852,399,13.26500415802002,151,149,2,0.06665827333927155,0.013245033112582781,auto_platform,0.033329155296087265,5.032702445983887,4.96604136377573,True,0.0007773244869895279,0.0011161527363583446,0.0011844935361295938,0.0003388282493688166,0.00041113770566880703,0.0013275662204250693,19.281577183841023,23.39646537680337,31.53825110535903,25.702851104017004,27.383005025724835,29.976752133471557,0.8629032258064516,1.4358903585824916,True,True,False,0.0033261869102716446,0.003452842589467764,0.0034233350306749344,0.0001266556791961193,0.00010395096614956856,0.0037999842315912247,2.824577133035608,2.318234158994003,10.71797372722084,9.019068777370787,7.303146016700683,20.602253762610534,0.2217741935483871,1.0380783409389869,False,False,True,0.0007709640776738524,0.0013196965446695685,0.0012967828661203384,0.0005487324669957161,0.0005305878003127873,0.0018080505542457104,28.039204284780567,27.112045703136328,53.236869754538226,28.95531369542709,28.663245758518556,34.524250234213156,0.842741935483871,1.711748423676688,True,True,True,0.0007620799005962908,0.001918533118441701,0.001230376772582531,0.0011564532178454101,0.00047089235158637166,0.0037114217411726713,73.28858323874948,29.842135222751033,187.0748428616913,37.30072652622372,29.496597878883016,45.440307781968905,0.8387096774193549,2.5174960223206795,True,True,False,0.0003632890875451267,0.00047145961434580386,0.0004099860670976341,0.00010817052680067718,4.957281635142863e-05,0.0006104047643020749,2.0412113837015053,0.9354544167575115,4.717417381532207,6.197759633973635,-0.5795474028945998,13.474086057782888,0.09274193548387097,1.2977533058634483,False,False
IMG_9423.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9423.MOV,30.003695036334523,30.003695036334523,406,13.498337745666504,151,149,2,0.06665849685668945,0.013245033112582781,auto_platform,0.033329229801893234,5.032713890075684,4.966058015823364,True,0.0007751389057375491,0.0011175384279340506,0.0011665377533063293,0.0003423995221965015,0.00039176089921966195,0.0013466328382492065,22.32891004469314,25.547914966667864,37.292461002783696,26.977350481913888,28.147109239770316,31.432420885065792,0.8470588235294118,1.4417266630046217,True,True,False,0.003327718935906887,0.003460157662630081,0.0034193464089185,0.00013243872672319412,9.910459630191326e-05,0.0037859389558434486,2.9334208309132905,2.1950942479151103,10.31485075882448,9.347487433719841,6.829063434348614,20.269258974660605,0.2235294117647059,1.0397986516511801,False,False,True,0.0007679265108890831,0.0013160756789147854,0.0013139875372871757,0.0005481491680257022,0.0005478082457557321,0.0017705793725326657,33.04436206179634,33.023810066863284,60.5487737052366,30.381947440233713,30.376543556341147,35.64210703597547,0.8470588235294118,1.7138041990386175,True,True,True,0.0007609879830852151,0.0018617550376802683,0.0013676672242581844,0.0011007670545950532,0.0006074552075006068,0.0033907985780388117,77.65034924835513,42.851127146521094,185.5669320396422,37.80286826794766,32.63924499989908,45.370011753150564,0.8431372549019608,2.4464972891323433,True,True,False,0.00036469128099270165,0.0004465363163035363,0.0004033905570395291,8.184503531083465e-05,4.553038161247969e-05,0.0006090004462748766,1.7026931706066257,0.9472079709203813,5.224688613217397,4.622727882116608,-0.4710931188384013,14.361208239810189,0.10980392156862745,1.2244227914855814,True,False
IMG_9424.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9424.MOV,30.00365898280278,30.00365898280278,410,13.631670951843262,151,147,4,0.1333169937133789,0.026490066225165563,auto_platform,0.03332927078008652,5.032719612121582,4.899399518966675,True,0.0007760479929856956,0.0011130974162369967,0.0011473732301965356,0.00033704942325130105,0.00037382112350314856,0.0013575793709605932,21.335889258493456,23.663609973312706,36.97007078114887,26.58221497063112,27.481619972277098,31.35700564107152,0.8378378378378378,1.4343151793416387,True,True,False,0.003335116431117058,0.0034423223696649075,0.003431441495195031,0.00010720593854784966,0.00010329135693609715,0.003654586151242256,2.23040840969851,2.1489659461039494,6.79146732399982,6.967687878347296,6.644590668727677,16.63927230997242,0.14671814671814673,1.0321445864820804,False,False,True,0.0007695125532336533,0.001283116522245109,0.0012818792602047324,0.0005136039690114558,0.0005155701073817909,0.0017053746851161122,29.811680218241396,29.925802950731295,54.50721381024262,29.487729080496052,29.52091623914191,34.729079664123006,0.8378378378378378,1.6674406633825323,True,True,True,0.0007615360664203763,0.0017783351941034198,0.001216958393342793,0.0010167991276830435,0.0004582327092066407,0.0033927501644939184,67.32318423422862,30.339999577266397,174.40112854214777,36.56329297871095,29.640311407991902,44.8309858181284,0.833976833976834,2.335194973053002,True,True,False,0.0003618722257670015,0.00043689963058568537,0.0004042416112497449,7.502740481868386e-05,4.8934511141851544e-05,0.0005662786425091326,1.4712819880999763,0.9596022281921539,4.137136704738001,3.3539183646666606,-0.3581750454631815,12.333997433295597,0.08108108108108109,1.2073312055371492,False,False
IMG_9425.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9425.MOV,30.003546518501004,30.003546518501004,423,14.065004348754883,151,144,7,0.23330578207969666,0.046357615894039736,auto_platform,0.03332939371466637,5.03273868560791,4.79943323135376,True,0.0007812407566234469,0.0011176762636750937,0.0011423592222854495,0.0003364355070516467,0.0003659715875983238,0.001370501471683383,17.181257969064006,18.689621410588657,30.34050474005454,24.7010991724679,25.432010082196722,29.640456027364355,0.8602941176470589,1.4306425441828383,True,True,False,0.0033292307052761316,0.0034326082095503807,0.00341256195679307,0.00010337750427424908,9.317882359027863e-05,0.0037142587825655937,1.960027328180617,1.7666613440402046,7.486803530591249,5.845242533204036,4.943066128670262,17.48592872961131,0.1875,1.0310514690707429,False,False,True,0.0007754001417197287,0.0012672055745497346,0.001232366543263197,0.0004918054328300059,0.0004616964142769575,0.0016960492357611656,22.694899691330175,21.305486093489698,42.70263116830769,27.118565351096578,26.56982894515985,32.60909270737255,0.8308823529411765,1.6342601791885805,True,True,True,0.0007656344096176326,0.0017134941881522536,0.0011382409138604999,0.000947859778534621,0.0003776027588173747,0.0032912336755543947,54.16864512123851,21.57938368352433,144.61941924352257,34.67495946096742,26.680780737737898,43.20453226360315,0.8345588235294118,2.2380057199989145,True,True,False,0.0003624876553658396,0.00042846164433285594,0.00040168844861909747,6.597398896701634e-05,4.340271698310971e-05,0.0005474281497299671,1.385109813308705,0.9112307768387535,3.97100468710308,2.829684123943577,-0.8074324075186181,11.978007993515394,0.0625,1.1820034089172837,False,False
IMG_9426.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9426.MOV,30.003704161007533,30.003704161007533,405,13.465003967285156,151,133,18,0.5999264717102051,0.11920529801324503,auto_platform,0.03332921862602234,5.032711982727051,4.432790040969849,True,0.0007792048854753375,0.0011138751870021224,0.001160718034952879,0.0003346703015267849,0.00038949574809521437,0.0013343647588044405,12.932642090794292,15.051258157719841,21.761476900064704,22.23374517391916,23.55145609576241,26.753767331352307,0.8031496062992126,1.4295023141732823,True,True,False,0.003321540541946888,0.003441653912886977,0.003414288628846407,0.00012011337094008923,0.00010176817886531353,0.0037456692662090063,2.2492344165133864,1.9057036582873492,8.111113836092377,7.040694404336626,5.601107353364129,18.18160993170403,0.17716535433070865,1.0361619463689238,False,False,True,0.000775909167714417,0.0012779623502865434,0.0013077155454084277,0.0005020531825721264,0.0005424176924861968,0.0017001093365252018,16.520518827550294,17.848749917698676,30.7608262454435,24.360473644679956,25.03215609203789,29.759959931441948,0.7716535433070866,1.6470514893528276,True,True,True,0.000762194162234664,0.0017750377301126719,0.0012530309613794088,0.0010128435678780079,0.0004959223442710936,0.003130316734313965,50.86533248426332,24.905380976623565,119.18328137179556,34.12843775269381,27.925863790093082,41.5243067662704,0.7874015748031497,2.3288524342779917,True,True,False,0.00036546189221553504,0.00043643012759275734,0.00040679468656890094,7.09682353772223e-05,5.106208845973015e-05,0.0005861077224835753,1.2639574501596198,0.9094252771867578,4.103023743463897,2.0346490822197203,-0.8246595777190675,12.262080603172109,0.07086614173228346,1.194187785071085,False,False
IMG_9427.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9427.MOV,30.003731807438736,30.003731807438736,402,13.36500358581543,151,148,3,0.09998756647109985,0.019867549668874173,auto_platform,0.03332918509840965,5.0327067375183105,4.932719945907593,True,0.0007847178494557738,0.0011057149386033416,0.0011549529153853655,0.00032099708914756775,0.0003733783960342407,0.0013474432053044438,18.808064819020753,21.877223538951245,33.1557365605001,25.486882256934138,26.799844087940635,30.41117360566489,0.8366533864541833,1.4090605169363601,True,True,False,0.0033237149473279715,0.003423691261559725,0.003418882843106985,9.997631423175335e-05,0.00010267971083521843,0.003631225787103176,2.2960202581766223,2.3581054972168736,7.234697566473917,7.219514311936028,7.451264614284451,17.18840761868839,0.18725099601593626,1.0300796896894324,False,False,True,0.0007778282160870731,0.001240587793290615,0.0012558174785226583,0.000462759577203542,0.00048214406706392765,0.0016491800779476762,23.998192622825947,25.003450524511987,45.402793718364414,27.603570697989994,27.959998925720356,33.14165153253445,0.7808764940239044,1.594938017974574,True,True,True,0.0007686282624490559,0.0017847254639491439,0.001203022780828178,0.001016097201500088,0.0004374198615550995,0.0035482633393257856,68.12618785976359,29.327654497916566,186.56881078559195,36.666281755658915,29.345546626577118,45.41678086582465,0.8127490039840638,2.321961800184825,True,True,False,0.0003629174898378551,0.0004421176854521036,0.00040381605504080653,7.920019561424851e-05,4.0424143662676215e-05,0.0005859375232830644,1.5403771907015777,0.7862155941497166,4.328324972058702,3.752541582735212,-2.089166928812422,12.726397205896125,0.07569721115537849,1.2182319613464585,False,False
IMG_9428.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9428.MOV,30.00365898280278,30.00365898280278,410,13.631670951843262,151,150,1,0.03332924842834473,0.006622516556291391,auto_platform,0.0,5.032719612121582,4.999387264251709,True,0.0007830248214304447,0.0011007590219378471,0.0011429331498220563,0.0003177342005074024,0.00036251480923965573,0.0013387398794293404,16.97516934234471,19.36760432501058,29.828714234319545,24.596282308922977,25.741518080078073,29.492690670342295,0.803088803088803,1.405777941913718,True,True,False,0.0033290351275354624,0.0034073363058269024,0.0034070718102157116,7.830117829144001e-05,8.606491610407829e-05,0.0036600923631340265,1.4813694422484989,1.628250551884736,6.415112302022492,3.413267635260709,4.234424680947643,16.144085269469993,0.14285714285714285,1.0235206825076093,False,False,True,0.0007766062626615167,0.0012269255239516497,0.0012221502838656306,0.000450319261290133,0.00044966465793550014,0.0016584143741056323,23.176902040683732,23.14321110376408,45.59672564896143,27.301107703689613,27.28847233682081,33.178673132391545,0.7683397683397684,1.579855304986646,True,True,True,0.0007668302278034389,0.0016427492955699563,0.0012045458424836397,0.0008759190677665174,0.0004415098810568452,0.0029918812215328217,50.71567164234122,25.563400750737735,129.05003271747114,34.102843626945074,28.152372568002733,42.215162379692345,0.7374517374517374,2.1422594415397005,True,True,False,0.0003617210313677788,0.0004282118461560458,0.00039785882108844817,6.649081478826702e-05,3.4892436815425754e-05,0.000565087131690234,1.150230963691195,0.6036076013137293,3.4965061388405227,1.215701088555726,-4.384905994634672,10.87268590141633,0.05019305019305019,1.1838179398550446,False,False
IMG_9429.MOV,C:\Users\happen\master_project\mobicomexperiment_data\light_source_distribution\single_light\light_on_person\IMG_9429.MOV,30.00358894604618,30.00358894604618,418,13.898337364196777,151,146,5,0.1666468381881714,0.033112582781456956,auto_platform,0.03332934528589249,5.032731056213379,4.8660876750946045,True,0.0007574017508886755,0.0010902711655944586,0.0011155245592817664,0.00033286941470578313,0.00036055262899026275,0.001313321408815682,17.4763590988578,18.929787297642054,29.31454666080801,24.84901919757613,25.542914681833437,29.341663647215324,0.8277153558052435,1.4394885730264293,True,True,False,0.0032918236684054136,0.003266824409365654,0.003254777519032359,-2.4999259039759636e-05,-3.313901834189892e-05,0.003445433219894767,-0.501289185470665,-0.664508955464932,3.158549993548384,-120.0,-120.0,9.989755106009444,0.02247191011235955,0.9924056506186222,False,False,True,0.0007502130465582013,0.0012458949349820614,0.001219338271766901,0.0004956818884238601,0.0004738665884360671,0.001636468106880784,21.056007848675854,20.129318497114557,37.84852367122881,26.46752067636338,26.076581431252713,31.560978879393808,0.8277153558052435,1.660721498643526,True,True,True,0.000736427609808743,0.001591226551681757,0.001212465693242848,0.000854798941873014,0.0004773911787196994,0.002804266754537821,52.41429314509646,29.272522415001607,126.87808012963072,34.38899466623852,29.3292029445532,42.06773196891956,0.8277153558052435,2.1607372272408596,True,True,False,0.0003770783660002053,0.00040968882967717946,0.00039317813934758306,3.261046367697418e-05,1.9148283172398806e-05,0.0005160675500519574,0.8204938626347387,0.48177937543521127,3.57373195435342,-1.7184932631826637,-6.343035914333431,11.062439507820274,0.052434456928838954,1.0864819268813646,False,False
