source_condition_index,repository_condition_path,included_video,source_video_count,included_video_size_mb,copied_detection_results,copied_trajectory_nte_results
1,data/test,2026-08-20_145519_115.mp4,7,34.98,yes,no
2,data/test/angle_test,img_0102.mov,5,9.07,yes,no
3,data/brightness_second_run/lux100,img_9245.mov,10,6.09,yes,yes
4,data/brightness_second_run/lux200,img_9260.mov,10,6.48,yes,yes
5,data/brightness_second_run/lux300,img_9272.mov,10,7.81,yes,yes
6,data/brightness_second_run/lux400,img_9283.mov,10,6.23,yes,yes
7,data/brightness_second_run/lux500,img_9294.mov,10,6.78,yes,yes
8,data/brightness_second_run/lux600,img_9301.mov,10,5.13,yes,yes
9,data/brightness/lux100,vid20260813170004.mp4,10,92.68,yes,yes
10,data/brightness/lux200,vid20260813171708.mp4,10,101.34,yes,yes
11,data/brightness/lux300,vid20260813172447.mp4,10,92.57,yes,yes
12,data/brightness/lux400,vid20260813173526.mp4,10,95.46,yes,yes
13,data/brightness/lux500,vid20260813174224.mp4,10,98.55,yes,yes
14,data/light_source_distribution/single_light/bottom_to_top,img_9399.mov,10,2.00,yes,yes
15,data/light_source_distribution/single_light/light_on_person,img_9421.mov,10,2.84,yes,yes
16,data/light_source_distribution/single_light/wall_right_lit,img_9412.mov,10,3.11,yes,yes
17,data/light_source_distribution/single_light/wall_left_lit,img_9395.mov,10,1.52,yes,yes
18,data/light_source_distribution/single_light/back_light,img_9379.mov,10,2.29,yes,yes
19,data/light_source_distribution/single_light/top_light,img_9433.mov,10,3.91,yes,yes
20,data/light_source_distribution/dual_light/1+2,img_9514.mov,10,1.96,yes,yes
21,data/light_source_distribution/dual_light/1+4,img_9498.mov,10,4.62,yes,yes
22,data/light_source_distribution/dual_light/1+5,img_9500.mov,10,1.68,yes,yes
23,data/light_source_distribution/dual_light/2+4,img_9536.mov,10,11.53,yes,yes
24,data/light_source_distribution/dual_light/2+5,img_9545.mov,10,9.79,yes,yes
25,data/light_source_distribution/dual_light/4+5,img_9555.mov,10,11.82,yes,yes
26,data/light_source_distribution/dual_light/6+1,img_9482.mov,10,3.97,yes,yes
27,data/light_source_distribution/dual_light/6+2,img_9450.mov,10,4.40,yes,yes
28,data/light_source_distribution/dual_light/6+4,img_9456.mov,10,2.37,yes,yes
29,data/light_source_distribution/dual_light/6+5,img_9474.mov,10,2.33,yes,yes
30,data/localization_test/template/old_template,img_0657.mov,10,19.31,no,no
31,data/localization_test/template/counterclockwise_template,img_0679.mov,10,19.55,no,no
32,data/localization_test/template/clockwise_template,img_0691.mov,10,22.70,no,no
33,data/localization_test/trajectory_test,img_0693.mov,6,7.95,no,no
34,data/layout/dense_front,img_0436.mov,10,8.65,yes,yes
35,data/layout/dense_back,img_0495.mov,10,7.03,yes,yes
36,data/layout/dense_uniform,img_0363.mov,10,9.37,yes,yes
37,data/layout/sparse_front,img_0160.mov,10,6.91,yes,yes
38,data/layout/sparse_back,img_0231.mov,10,9.51,yes,yes
39,data/layout/sparse_uniform,img_0294.mov,10,9.55,yes,yes
40,data/layout/empty,img_9584.mov,10,8.02,yes,yes
41,data/material/wall,vid20260813170004.mp4,10,92.68,yes,yes
42,data/material/wood_board,vid20260813181726.mp4,10,98.19,yes,yes
43,data/material/foam_board,vid20260813180808.mp4,10,99.54,yes,yes
44,data/material/cardboard,vid20260813180149.mp4,10,98.62,yes,yes
45,data/material/black_cloth,vid20260813175435.mp4,10,98.50,yes,yes
46,data/angle,img_9341.mov,10,3.48,yes,yes
47,data/distance_brightness/brightness_0/distance_1,img_9584.mov,10,8.02,yes,yes
48,data/distance_brightness/brightness_0/distance_2,img_9590.mov,10,6.92,yes,yes
49,data/distance_brightness/brightness_0/distance_3,img_9605.mov,10,7.29,yes,yes
50,data/distance_brightness/brightness_0/distance_4,img_9618.mov,10,6.97,yes,yes
51,data/distance_brightness/brightness_0/distance_5,img_9630.mov,10,2.84,yes,yes
52,data/distance_brightness/brightness_0/distance_6,img_9633.mov,10,2.14,yes,yes
53,data/distance_brightness/brightness_1/distance_1,img_9652.mov,10,4.49,yes,yes
54,data/distance_brightness/brightness_1/distance_2,img_9661.mov,10,4.08,yes,yes
55,data/distance_brightness/brightness_1/distance_3,img_9668.mov,10,4.02,yes,yes
56,data/distance_brightness/brightness_1/distance_4,img_9676.mov,10,4.05,yes,yes
57,data/distance_brightness/brightness_1/distance_5,img_9691.mov,10,4.01,yes,yes
58,data/distance_brightness/brightness_1/distance_6,img_9704.mov,10,3.99,yes,yes
59,data/distance_brightness/brightness_second_run/distance_1,img_9716.mov,10,6.74,yes,yes
60,data/distance_brightness/brightness_second_run/distance_2,img_9720.mov,10,5.87,yes,yes
61,data/distance_brightness/brightness_second_run/distance_3,img_9731.mov,10,5.80,yes,yes
62,data/distance_brightness/brightness_second_run/distance_4,img_9743.mov,10,7.01,yes,yes
63,data/distance_brightness/brightness_second_run/distance_5,img_9751.mov,10,7.32,yes,yes
64,data/distance_brightness/brightness_second_run/distance_6,img_9763.mov,10,6.88,yes,yes
65,data/distance_brightness/brightness_3/distance_1,img_9778.mov,10,6.30,yes,yes
66,data/distance_brightness/brightness_3/distance_2,img_9791.mov,10,6.86,yes,yes
67,data/distance_brightness/brightness_3/distance_3,img_9798.mov,10,15.24,yes,yes
68,data/distance_brightness/brightness_3/distance_4,img_9818.mov,10,5.78,yes,yes
69,data/distance_brightness/brightness_3/distance_5,img_9825.mov,10,6.75,yes,yes
70,data/distance_brightness/brightness_3/distance_6,img_9833.mov,10,6.74,yes,yes
71,data/distance_brightness/brightness_4/distance_1,vid20260820151403.mp4,10,39.01,yes,yes
72,data/distance_brightness/brightness_4/distance_2,vid20260820151517.mp4,10,39.24,yes,yes
73,data/distance_brightness/brightness_4/distance_3,vid20260820151955.mp4,10,38.06,yes,yes
74,data/distance_brightness/brightness_4/distance_4,vid20260820152454.mp4,10,38.87,yes,yes
75,data/distance_brightness/brightness_4/distance_5,vid20260820152917.mp4,10,39.16,yes,yes
76,data/distance_brightness/brightness_4/distance_6,vid20260820153157.mp4,10,41.71,yes,yes
77,data/distance_brightness/brightness_5/distance_1,vid20260820154156.mp4,10,39.99,yes,yes
78,data/distance_brightness/brightness_5/distance_2,vid20260820154428.mp4,10,40.01,yes,yes
79,data/distance_brightness/brightness_5/distance_3,vid20260820154755.mp4,10,40.08,yes,yes
80,data/distance_brightness/brightness_5/distance_4,vid20260820155220.mp4,10,39.52,yes,yes
81,data/distance_brightness/brightness_5/distance_5,vid20260820155910.mp4,10,39.15,yes,yes
82,data/distance_brightness/brightness_5/distance_6,vid20260820160228.mp4,10,39.54,yes,yes
83,data/distance_layout/dense_front/distance_1,img_0436.mov,10,8.65,yes,yes
84,data/distance_layout/dense_front/distance_2,img_0444.mov,10,8.24,yes,yes
85,data/distance_layout/dense_front/distance_3,img_0454.mov,10,8.03,yes,yes
86,data/distance_layout/dense_front/distance_4,img_0464.mov,10,7.51,yes,yes
87,data/distance_layout/dense_front/distance_5,img_0474.mov,10,8.27,yes,yes
88,data/distance_layout/dense_front/distance_6,img_0494.mov,10,6.74,yes,yes
89,data/distance_layout/dense_back/distance_1,img_0495.mov,10,7.03,yes,yes
90,data/distance_layout/dense_back/distance_2,img_0509.mov,10,6.54,yes,yes
91,data/distance_layout/dense_back/distance_3,img_0522.mov,10,6.39,yes,yes
92,data/distance_layout/dense_back/distance_4,img_0531.mov,10,6.32,yes,yes
93,data/distance_layout/dense_back/distance_5,img_0536.mov,10,6.55,yes,yes
94,data/distance_layout/dense_back/distance_6,img_0554.mov,10,6.43,yes,yes
95,data/distance_layout/dense_uniform/distance_1,img_0363.mov,10,9.37,yes,yes
96,data/distance_layout/dense_uniform/distance_2,img_0374.mov,10,8.27,yes,yes
97,data/distance_layout/dense_uniform/distance_3,img_0390.mov,10,8.02,yes,yes
98,data/distance_layout/dense_uniform/distance_4,img_0401.mov,10,7.90,yes,yes
99,data/distance_layout/dense_uniform/distance_5,img_0409.mov,10,7.94,yes,yes
100,data/distance_layout/dense_uniform/distance_6,img_0415.mov,10,7.90,yes,yes
101,data/distance_layout/sparse_front/distance_1,img_0160.mov,10,6.91,yes,yes
102,data/distance_layout/sparse_front/distance_2,img_0176.mov,10,7.00,yes,yes
103,data/distance_layout/sparse_front/distance_3,img_0181.mov,10,6.87,yes,yes
104,data/distance_layout/sparse_front/distance_4,img_0192.mov,10,6.67,yes,yes
105,data/distance_layout/sparse_front/distance_5,img_0210.mov,10,6.83,yes,yes
106,data/distance_layout/sparse_front/distance_6,img_0221.mov,10,6.72,yes,yes
107,data/distance_layout/sparse_back/distance_1,img_0231.mov,10,9.51,yes,yes
108,data/distance_layout/sparse_back/distance_2,img_0238.mov,10,8.62,yes,yes
109,data/distance_layout/sparse_back/distance_3,img_0257.mov,10,8.17,yes,yes
110,data/distance_layout/sparse_back/distance_4,img_0264.mov,10,6.67,yes,yes
111,data/distance_layout/sparse_back/distance_5,img_0276.mov,10,6.78,yes,yes
112,data/distance_layout/sparse_back/distance_6,img_0287.mov,10,6.73,yes,yes
113,data/distance_layout/sparse_uniform/distance_1,img_0294.mov,10,9.55,yes,yes
114,data/distance_layout/sparse_uniform/distance_2,img_0304.mov,10,8.25,yes,yes
115,data/distance_layout/sparse_uniform/distance_3,img_0315.mov,10,8.19,yes,yes
116,data/distance_layout/sparse_uniform/distance_4,img_0331.mov,10,8.27,yes,yes
117,data/distance_layout/sparse_uniform/distance_5,img_0346.mov,10,8.37,yes,yes
118,data/distance_layout/sparse_uniform/distance_6,img_0351.mov,10,8.23,yes,yes
119,data/distance_material/wood_board/distance_1,img_9984.mov,10,12.28,yes,yes
120,data/distance_material/wood_board/distance_2,img_9991.mov,10,11.52,yes,yes
121,data/distance_material/wood_board/distance_3,img_0003.mov,10,11.65,yes,yes
122,data/distance_material/wood_board/distance_4,img_0014.mov,10,11.95,yes,yes
123,data/distance_material/wood_board/distance_5,img_0032.mov,10,11.51,yes,yes
124,data/distance_material/wood_board/distance_6,img_0036.mov,10,12.47,yes,yes
125,data/distance_material/foam_board/distance_1,img_9913.mov,10,16.04,yes,yes
126,data/distance_material/foam_board/distance_2,img_9922.mov,10,16.03,yes,yes
127,data/distance_material/foam_board/distance_3,img_9935.mov,10,15.28,yes,yes
128,data/distance_material/foam_board/distance_4,img_9945.mov,10,15.45,yes,yes
129,data/distance_material/foam_board/distance_5,img_9954.mov,10,15.83,yes,yes
130,data/distance_material/foam_board/distance_6,img_9963.mov,10,15.79,yes,yes
131,data/distance_material/white_wall/distance_1,img_9584.mov,10,8.02,yes,yes
132,data/distance_material/white_wall/distance_2,img_9590.mov,10,6.92,yes,yes
133,data/distance_material/white_wall/distance_3,img_9605.mov,10,7.29,yes,yes
134,data/distance_material/white_wall/distance_4,img_9618.mov,10,6.97,yes,yes
135,data/distance_material/white_wall/distance_5,img_9630.mov,10,2.84,yes,yes
136,data/distance_material/white_wall/distance_6,img_9633.mov,10,2.14,yes,yes
137,data/distance_material/cardboard/distance_1,img_9850.mov,10,13.77,yes,yes
138,data/distance_material/cardboard/distance_2,img_9857.mov,10,15.03,yes,yes
139,data/distance_material/cardboard/distance_3,img_9869.mov,10,15.28,yes,yes
140,data/distance_material/cardboard/distance_4,img_9887.mov,10,15.65,yes,yes
141,data/distance_material/cardboard/distance_5,img_9891.mov,10,16.66,yes,yes
142,data/distance_material/cardboard/distance_6,img_9906.mov,10,15.41,yes,yes
143,data/distance_material/black_cloth/distance_1,vid20260820170000.mp4,10,34.63,yes,yes
144,data/distance_material/black_cloth/distance_2,vid20260820170456.mp4,10,38.30,yes,yes
145,data/distance_material/black_cloth/distance_3,vid20260820170540.mp4,10,39.49,yes,yes
146,data/distance_material/black_cloth/distance_4,vid20260820170919.mp4,10,39.40,yes,yes
147,data/distance_material/black_cloth/distance_5,vid20260820171207.mp4,10,39.35,yes,yes
148,data/distance_material/black_cloth/distance_6,vid20260820171606.mp4,10,41.59,yes,yes
149,data/distance_angle/angle_0_180/distance_1,img_0056.mov,10,6.19,yes,yes
150,data/distance_angle/angle_0_180/distance_2,img_0064.mov,10,6.14,yes,yes
151,data/distance_angle/angle_0_180/distance_3,img_0074.mov,10,6.66,yes,yes
152,data/distance_angle/angle_0_180/distance_4,img_0089.mov,10,7.41,yes,yes
153,data/distance_angle/angle_0_180/distance_5,img_0098.mov,10,8.20,yes,yes
154,data/distance_angle/angle_180_360/distance_1,img_0109.mov,10,5.41,yes,yes
155,data/distance_angle/angle_180_360/distance_2,img_0122.mov,10,6.98,yes,yes
156,data/distance_angle/angle_180_360/distance_3,img_0133.mov,10,8.55,yes,yes
157,data/distance_angle/angle_180_360/distance_4,img_0147.mov,10,10.13,yes,yes
158,data/distance_angle/angle_180_360/distance_5,img_0156.mov,10,11.43,yes,yes
159,data/distance/150,img_8786.mov,10,2.59,yes,yes
160,data/distance/200,img_8805.mov,10,2.72,yes,yes
161,data/distance/250,img_8809.mov,10,2.58,yes,yes
162,data/distance/300,img_8819.mov,10,2.45,yes,yes
163,data/distance/350,img_8828.mov,10,2.42,yes,yes
164,data/distance/400,img_8845.mov,10,2.71,yes,yes
165,data/distance/450,img_8856.mov,10,2.30,yes,yes
166,data/distance/500,img_8868.mov,10,2.34,yes,yes
167,data/distance/550,img_8876.mov,10,2.25,yes,yes
168,data/distance/600,img_8894.mov,10,2.27,yes,yes
169,data/distance/650,img_8905.mov,10,2.17,yes,yes
170,data/distance/700,img_8914.mov,10,2.14,yes,yes
171,data/distance/750,img_8920.mov,10,2.18,yes,yes
172,data/distance/800,img_8929.mov,10,2.30,yes,yes
173,data/distance/850,img_8941.mov,10,2.25,yes,yes
174,data/occluder/single_edge,img_9351.mov,10,8.81,yes,yes
175,data/occluder/double_edge,img_9359.mov,10,8.07,yes,yes
176,data/occluder/multi_edge,img_9366.mov,10,7.82,yes,yes
